family,cutoff,mode,max_train_target_end,temporal_proof,target_safe,runtime_seconds,runtime_lt_6h,config_changed,recorded_sha256,actual_sha256,sha256_match
cap,2025-07-03,exact frozen pipeline replay,2025-06-28,recorded by exact replay,True,98.19440793991089,True,False,5cc81e2fd0b2736dda46169fd6adfa9a25bcc802c2771a16d985dea3ec27a593,5cc81e2fd0b2736dda46169fd6adfa9a25bcc802c2771a16d985dea3ec27a593,True
unc,2025-07-03,exact frozen pipeline replay,2025-06-28,recorded by exact replay,True,167.81949996948242,True,False,d10be49e7e0e58dbc45b7a9597ca414ea0ddf1624a271a3be0e3f5b8dad76779,d10be49e7e0e58dbc45b7a9597ca414ea0ddf1624a271a3be0e3f5b8dad76779,True
dist,2025-07-03,exact frozen pipeline replay,2025-06-28,recorded by exact replay,True,674.4890418052673,True,False,1025509554ad5518f9b84a12f7217e6bfdec585e4b304b99b61cd4a6a948f879,1025509554ad5518f9b84a12f7217e6bfdec585e4b304b99b61cd4a6a948f879,True
seq,2025-07-03,frozen single-seed production approximation,2025-06-28,recorded by exact replay,True,1949.712501525879,True,False,89e4af98c2675120992549f98b3cb4258c69fe8d82e36a2a390c3dedf2dfcab9,89e4af98c2675120992549f98b3cb4258c69fe8d82e36a2a390c3dedf2dfcab9,True
etx,2025-07-03,frozen single-seed production approximation,2025-06-28,recorded by exact replay,True,2467.9036197662354,True,False,b73ed02aeaa0825bfa4cd8231ce758093029780eadeecdebe74431bcd835cd90,b73ed02aeaa0825bfa4cd8231ce758093029780eadeecdebe74431bcd835cd90,True
cap,2025-08-07,exact frozen pipeline replay,2025-08-02,recorded by exact replay,True,109.80922150611877,True,False,c3063c227cdc9cf372ed85f7bdfc33488a0c8f6de89346b393030b9882c6805e,c3063c227cdc9cf372ed85f7bdfc33488a0c8f6de89346b393030b9882c6805e,True
unc,2025-08-07,exact frozen pipeline replay,2025-08-02,recorded by exact replay,True,134.02637672424316,True,False,747469ade2a03531d99c16453d5cd3139af82d2a9c64fe6aa42eab0ef28d5527,747469ade2a03531d99c16453d5cd3139af82d2a9c64fe6aa42eab0ef28d5527,True
dist,2025-08-07,exact frozen pipeline replay,2025-08-02,recorded by exact replay,True,995.6566081047058,True,False,3a7e1a52e7681c8deab0b8d368c574a69e64dbb8c6dbbda95ffef5308763b9b3,3a7e1a52e7681c8deab0b8d368c574a69e64dbb8c6dbbda95ffef5308763b9b3,True
seq,2025-08-07,frozen single-seed production approximation,2025-08-02,recorded by exact replay,True,2807.354533433914,True,False,48a2e09452b507d6b8ba54083eef99b713105a77290b78a4c14a281a524cb0e4,48a2e09452b507d6b8ba54083eef99b713105a77290b78a4c14a281a524cb0e4,True
etx,2025-08-07,frozen single-seed production approximation,2025-08-02,recorded by exact replay,True,4176.019729137421,True,False,663429e1cd5874b44e383887f30b5289f575e1a028077334fa55077da34a29b9,663429e1cd5874b44e383887f30b5289f575e1a028077334fa55077da34a29b9,True
cap,2025-09-11,exact frozen pipeline replay,2025-09-06,recorded by exact replay,True,155.4704611301422,True,False,b6fa778b7696366aaa60b8d6af6c52d2ff84eecf815fb482aa31ffe9e427ac80,b6fa778b7696366aaa60b8d6af6c52d2ff84eecf815fb482aa31ffe9e427ac80,True
unc,2025-09-11,exact frozen pipeline replay,2025-09-06,recorded by exact replay,True,193.92088413238525,True,False,b27c171d00acc529916f0e02676646e74b905a2d9f0d8f3af2c903e788f9f92e,b27c171d00acc529916f0e02676646e74b905a2d9f0d8f3af2c903e788f9f92e,True
dist,2025-09-11,exact frozen pipeline replay,2025-09-06,recorded by exact replay,True,1300.4960260391235,True,False,606b6daf775828829a995969da3b2d67b965cceb030678aac301c9c670159940,606b6daf775828829a995969da3b2d67b965cceb030678aac301c9c670159940,True
seq,2025-09-11,frozen single-seed production approximation,2025-09-06,recorded by exact replay,True,3684.566763162613,True,False,0aa9022cedb571f34b9403397f8393667fc12e6fbb40defae1b7387841128265,0aa9022cedb571f34b9403397f8393667fc12e6fbb40defae1b7387841128265,True
