cutoff,eligibility_min_days_bucket,n,share,P_target_positive,E_target_GMV,E_target_log,E_production_residual,E_max_block_end_gap
2025-09-04,1,24613,0.1305604769836302,0.3010604152277252,33.21080330736234,1.1590973615107298,-0.09250305068855538,17.786088652338194
2025-09-04,2,19696,0.10447808697312723,0.3739845653939886,40.86863051147842,1.465458883680938,-0.13006365847250007,12.806965881397238
2025-09-04,3-4,30821,0.16349101942520078,0.4786022517114954,58.54694265221742,1.9079347079309688,-0.1266275920807143,9.156873560234905
2025-09-04,5-7,34110,0.18093762929799806,0.6028730577543242,85.58676653078453,2.4829773279996417,-0.1320269073200498,5.913397830548226
2025-09-04,8+,79278,0.42053278732004373,0.795353061378945,180.1831333415882,3.6291007731705975,-0.12830088172713575,2.444700925855849
2025-09-18,1,24559,0.12856432404135584,0.3139785821898286,34.370583960403415,1.2125469763376673,0.2107678978026691,17.77621238649782
2025-09-18,2,19508,0.10212275880120403,0.38722575353701044,43.19791376810829,1.5089100182946795,0.18020390255761903,12.755997539470986
2025-09-18,3-4,31006,0.16231383326789686,0.48419660710830165,59.52337441136902,1.9336902561817364,0.15430351883661478,8.99148551893182
2025-09-18,5-7,34305,0.1795838241067923,0.6081037749599184,86.75312968715102,2.5074373097625564,0.15628862189052437,5.832619151727154
2025-09-18,8+,81647,0.42741525978275097,0.8016828542383676,183.74632872852575,3.665449370542934,0.14488827367261733,2.388648694991855
2025-10-02,1,24131,0.12458310531043812,0.3126683519124777,32.859548876926866,1.1986313807135223,0.15963031070877792,17.54212423853135
2025-10-02,2,19481,0.1005761665307134,0.3884297520661157,43.89548484413724,1.513824809500278,0.13193577154997665,12.571428571428571
2025-10-02,3-4,31314,0.16166737224694622,0.4837772242447468,59.2386333183308,1.9245802170228306,0.11075861193418167,8.944433799578464
2025-10-02,5-7,34604,0.17865292678141811,0.6048144723153392,85.01788125410185,2.478077246779045,0.08193278155669854,5.750288983932493
2025-10-02,8+,84164,0.43452042913048416,0.8011976617080937,178.78651839587488,3.641113855699718,0.07846278679260521,2.3494130507105178
2025-10-16,1,23958,0.12138069399480188,0.3100425745053844,32.56775736279511,1.1910045794601416,0.09531944152570385,17.565239168544952
2025-10-16,2,19602,0.0993114769048379,0.3764411794714825,41.97836239505335,1.462503231961318,0.041550144931404055,12.601724313845526
2025-10-16,3-4,31109,0.15761048541131528,0.4822398662766402,58.376910009089386,1.9048154860780262,0.050756693551711245,8.859719052364268
2025-10-16,5-7,35021,0.1774302230733766,0.5975843065589218,83.14319237829561,2.44212172658068,0.024283540654226582,5.710173895662602
2025-10-16,8+,87689,0.4442671206156683,0.8008872264480151,175.5444785534901,3.6198621071104147,0.01839740183729146,2.259587861647413
