comparison,anchor,candidate,anchor_LB,candidate_LB,Delta_MSE,G,b,optimal_scale_from_anchor_toward_candidate,maximum_MSE_gain_on_full_Gram,predicted_optimal_RMSLE,direction_in_current_scored_span,evidence
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_008_recency_lightgbm_scale064.csv,1.6459363044782171,1.6577160296099915,0.038916116426503944,0.039161477509998946,0.00012268054174750104,0.0031326841975300216,3.843193944768186e-07,1.645936187730258,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_009_recency_long_buy_lgbm_logens.csv,1.6459363044782171,1.6568530995317488,0.0360558750285529,0.03629135199175072,0.0001177384815989127,0.0032442572441411244,3.81973921841449e-07,1.6459361884427623,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_010_logens_wrec055_scale100.csv,1.6459363044782171,1.6568415196348911,0.03601750278664495,0.036255090012647616,0.0001187936130013327,0.0032766051045492223,3.892397587480116e-07,1.6459361862355575,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_010_logens_wrec055_scale101.csv,1.6459363044782171,1.6564975604437144,0.034877849356567125,0.03511629613442914,0.00011922338893100709,0.003395101478658413,4.0477550405032927e-07,1.6459361815161322,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_011_dense8_logens_scale100.csv,1.6459363044782171,1.661242797071839,0.050621312423657194,0.05074241446512839,6.0551020735596234e-05,0.0011933019225407297,7.225564945559057e-08,1.6459362825285069,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_011_dense8_logens_scale120.csv,1.6459363044782171,1.6549097093483665,0.0296198276960844,0.02986845509162447,0.00012431369777003536,0.004162039763646652,5.173985532848393e-07,1.6459361473036724,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_011_dense8_logens_scale140.csv,1.6459363044782171,1.6598855449125254,0.046113703810140905,0.0464872593601221,0.00018677777499059856,0.004017827197419624,7.504408242307497e-07,1.6459360765104416,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_013_dense8_logens_scale127.csv,1.6459363044782171,1.6557083162306878,0.032263710036049,0.032559689805928514,0.00014798988493975804,0.0045451871876497985,6.726417289299561e-07,1.6459361001441342,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_013_dense8_logens_scale130.csv,1.6459363044782171,1.656279619331512,0.03415585901352802,0.03446750044742502,0.00015582071694849806,0.004520801187372989,7.044344821980805e-07,1.6459360904861793,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_015_dense8_logens_wrec0525_scale120.csv,1.6459363044782171,1.654929901858313,0.029686661665355274,0.02994001151295658,0.00012667492380065253,0.004230957751830983,5.359562508169699e-07,1.6459361416662432,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_016_post_order_wrec050_scale120.csv,1.6459363044782171,1.6547788658437297,0.029186776443649975,0.029437656397713674,0.00012543997703184928,0.0042612080030118085,5.345258340257336e-07,1.6459361421007732,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_017_dist_post_order_wrec050_scale120.csv,1.6459363044782171,1.6546318190731422,0.02870013828988549,0.028952407597431208,0.00012613465377285873,0.00435662054523058,5.495208240923823e-07,1.6459361375456176,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_019_behavior_v1_dist_wrec050_scale120.csv,1.6459363044782171,1.654502353530087,0.028271719437186427,0.028531086496647165,0.00012968352973036917,0.004545341438210177,5.894559215368084e-07,1.6459361254141938,True,LB+realized full-population Gram; public membership unknown
relative_to_JOINT_V2,SUBMIT_JOINT_V2.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.6459363044782171,1.6547357224929944,0.029043992895001924,0.02927954699704102,0.00011777705101954743,0.004022502500856654,4.737584822696512e-07,1.6459361605605876,True,LB+realized full-population Gram; public membership unknown
sequential_post_order,exp_011_dense8_logens_scale120.csv,exp_016_post_order_wrec050_scale120.csv,1.6549097093483665,1.6547788658437297,-0.00043305125243442433,0.0008530376136790597,0.000643044433056742,0.7538289317435375,0.0004847454980347925,1.654763246086116,True,LB+realized full-population Gram; sequential provenance diagnostic
sequential_dist_head,exp_016_post_order_wrec050_scale120.csv,exp_017_dist_post_order_wrec050_scale120.csv,1.6547788658437297,1.6546318190731422,-0.0004866381537644848,0.003375464869334492,0.0019310515115494884,0.5720846124315361,0.001104724855570121,1.6544450338368726,True,LB+realized full-population Gram; sequential provenance diagnostic
sequential_behavior_v1,exp_017_dist_post_order_wrec050_scale120.csv,exp_019_behavior_v1_dist_wrec050_scale120.csv,1.6546318190731422,1.654502353530087,-0.000428418852699064,0.0029405384187590846,0.0016844786357290743,0.5728470082155666,0.0009649485468804393,1.6543402032660681,True,LB+realized full-population Gram; sequential provenance diagnostic
sequential_behavior_slim_ablation,exp_019_behavior_v1_dist_wrec050_scale120.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.654502353530087,1.6547357224929944,0.0007722734578154977,0.002071503501426743,0.0006496150218056227,0.3135959081692123,0.0002037166127234969,1.6544407880682444,True,LB+realized full-population Gram; sequential provenance diagnostic
