original_path,filename,extension,type,purpose,size_bytes,sha256,experiment_association,schema_or_arrays,last_write_utc,copied,evidence_excluded
artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144/latest_reconstructed.csv,latest_reconstructed.csv,.csv,test_prediction,test_prediction,6613022,a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,team_a:exp_067,columns=user_id|predict,1787663139705346200,no,no
artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144_V2/latest_reconstructed.csv,latest_reconstructed.csv,.csv,test_prediction,test_prediction,6613022,a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,team_a:exp_067,columns=user_id|predict,1787663212993460200,no,no
artifacts/availcurve_SEQ-03A-A25-S42-V1016_on1016.csv,availcurve_SEQ-03A-A25-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1364,f20a3602c114a3ba1d96c012a9636fd5db5dd361f7dd34742e912a23ac6122d6,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786663039802753400,no,no
artifacts/availcurve_SEQ-03A-B-S42-V1016_on1016.csv,availcurve_SEQ-03A-B-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1342,6ff2d301ede63c5ea246402b8426cbbdd0dc1f263553fc96bb75b2cc9014af51,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786656261601367800,no,no
artifacts/availcurve_SEQ-03A-BASE-S42-V1016_on1016.csv,availcurve_SEQ-03A-BASE-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1309,01f801e4af4bd6fdb996ff298eba891ca9ff4a61c8b091d481aeea78afb8d563,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786650972041354200,no,no
artifacts/BLOCK4_SAF_fold_20250904.npz,BLOCK4_SAF_fold_20250904.npz,.npz,fold_artifact,unclassified,10174616,f4c439ba7531adbe1dc7fbedabe781ac8b1a74c8245c13d511412f39be9ab6b6,team_a:exp_039,"arrays=uid:(188518,):int64|y:(188518,):float32|activity:(188518,):int8|z_base:(188518,):float32|q:(188518,):float32|q_seed:(3, 188518):float32|nu_c:(3, 188518):float32|nu_f:(3, 188518):float32|nu_shuf:(3, 188518):float32|w180:(188518,):float32|rec:(188518,):float32",1787307204689257900,no,no
artifacts/BLOCK4_SAF_fold_20250918.npz,BLOCK4_SAF_fold_20250918.npz,.npz,fold_artifact,unclassified,10304634,35f29cec48a4a18066265219d36e87a2b295ea95acb843047cce373e093db8de,team_a:exp_039,"arrays=uid:(191025,):int64|y:(191025,):float32|activity:(191025,):int8|z_base:(191025,):float32|q:(191025,):float32|q_seed:(3, 191025):float32|nu_c:(3, 191025):float32|nu_f:(3, 191025):float32|nu_shuf:(3, 191025):float32|w180:(191025,):float32|rec:(191025,):float32",1787307521837702100,no,no
artifacts/BLOCK4_SAF_fold_20251002.npz,BLOCK4_SAF_fold_20251002.npz,.npz,fold_artifact,unclassified,10436049,c91369206b0f8e20e281772d7ad0a263e70dae01ebaa6141e4155dbb539236fc,team_a:exp_039,"arrays=uid:(193694,):int64|y:(193694,):float32|activity:(193694,):int8|z_base:(193694,):float32|q:(193694,):float32|q_seed:(3, 193694):float32|nu_c:(3, 193694):float32|nu_f:(3, 193694):float32|nu_shuf:(3, 193694):float32|w180:(193694,):float32|rec:(193694,):float32",1787307908812945400,no,no
artifacts/BLOCK4_SAF_fold_20251016.npz,BLOCK4_SAF_fold_20251016.npz,.npz,fold_artifact,unclassified,10626232,576e59bf34bd386d5f3b72d3ace2bdf6678ea15fc8ea7661ffd326fa9333c5ae,team_a:exp_039,"arrays=uid:(197379,):int64|y:(197379,):float32|activity:(197379,):int8|z_base:(197379,):float32|q:(197379,):float32|q_seed:(3, 197379):float32|nu_c:(3, 197379):float32|nu_f:(3, 197379):float32|nu_shuf:(3, 197379):float32|w180:(197379,):float32|rec:(197379,):float32",1787308379013570000,no,no
artifacts/BLOCK4_SAF_test_raw.npz,BLOCK4_SAF_test_raw.npz,.npz,test_prediction,test_prediction,12927670,658bb6435b35fbe445ecd9cef9faa4376fd62282f6b158205c3496591be465a2,team_a:exp_039,"arrays=uid:(250000,):int64|z_base:(250000,):float32|q:(250000,):float32|q_seed:(3, 250000):float32|nu_c:(3, 250000):float32|nu_f:(3, 250000):float32|nu_shuf:(3, 250000):float32|w180:(250000,):float32|rec:(250000,):float32",1787308991354996200,no,no
