date_first_seen,research_line,baseline_id_or_recipe,introduced_or_first_referenced_by,validation_protocol,comparison_class,score_if_directly_measured,referenced_by,evidence,notes
2026-08-10,team_a_current,EXP-001 S1-B0,team_a_current:EXP-002,same 4 temporal folds and equal-weight mean as EXP-001,team_a_current:exp-002:comparability_unconfirmed,unknown,"[""team_a_current:EXP-002"",""team_a_current:EXP-003"",""team_a_current:EXP-006""]","[""experiments/team_a_current/exp_002_s1_e01_panel_rule.md"",""experiments/team_a_current/exp_003_s1_e02_dense_cutoffs.md"",""experiments/team_a_current/exp_006_s1_best_submission.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-10,team_a_current,EXP-003 S1-E02,team_a_current:EXP-004,mixed: E03 variants on 4 folds; E04 comparison only 2 folds,team_a_current:exp-004:comparability_unconfirmed,unknown,"[""team_a_current:EXP-004"",""team_a_current:EXP-005""]","[""experiments/team_a_current/exp_004_s1_e03_history_depth.md"",""experiments/team_a_current/exp_005_s1_e10_normalized_long.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-10,team_a_current,EXP-005 S1-E10 direct; secondary EXP-006 S1-BEST,team_a_current:EXP-013,4 temporal folds; equal-weight mean and calibrated OOF reconstructed from log/artifacts,team_a_current:exp-013:comparability_unconfirmed,unknown,"[""team_a_current:EXP-013""]","[""experiments/team_a_current/exp_013_s1_e11_two_part.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-10,team_a_current,EXP-006 S1-BEST,team_a_current:EXP-007,4 temporal folds; equal-weight mean and calibrated OOF,team_a_current:exp-007:comparability_unconfirmed,unknown,"[""team_a_current:EXP-007"",""team_a_current:EXP-008""]","[""experiments/team_a_current/exp_007_radical_minimalism.md"",""experiments/team_a_current/exp_008_cohort_similarity.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-10,team_a_current,team_a_current:EXP-001,team_a_current:EXP-001,4 temporal folds; report gives equal-weight mean and calibrated OOF,team_a_current:exp-001:comparability_unconfirmed,mean=1.76879; OOF=1.76861; calibrated_OOF=1.76570,"[""team_a_current:EXP-001""]","[""experiments/team_a_current/exp_001_s1_b0_baseline.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_current,EXP-005 S1-E10; ensemble baseline EXP-006,team_a_current:EXP-014,"4 temporal folds; equal-weight mean, calibrated OOF, and ensemble OOF",team_a_current:exp-014:comparability_unconfirmed,unknown,"[""team_a_current:EXP-014""]","[""experiments/team_a_current/exp_014_s1_dist_head.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_current,EXP-014 DIST mix,team_a_current:EXP-016,4 temporal folds; fold-calibrated wCV with weights 1:2:4:8; LOFO,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-016"",""team_a_current:EXP-023"",""team_a_current:EXP-025""]","[""experiments/team_a_current/exp_016_validator_calibration.md"",""experiments/team_a_current/exp_023_holiday_yoy.md"",""experiments/team_a_current/exp_025_sequence_encoder.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_current,EXP-014 distribution-head production recipe,team_a_current:EXP-015,production-only/last-fold construction; no comparable full CV,team_a_current:no_comparable_cv,unknown,"[""team_a_current:EXP-015""]","[""experiments/team_a_current/exp_015_last_fold_only.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_s2,S1-BEST benchmark and prior S2 screens,team_a_s2:EXP-012,4 temporal folds; equal-weight mean/OOF; separate S1 blend ablation,team_a_s2:structural_four_fold_rmsle,unknown,"[""team_a_s2:EXP-012""]","[""experiments/team_a_s2/exp_012_s2_best_submission.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_s2,S2 hurdle with K=3,team_a_s2:EXP-011,two temporal folds 2025-09-18/2025-10-16; nested train-only calibration,team_a_s2:exp-011:comparability_unconfirmed,unknown,"[""team_a_s2:EXP-011""]","[""experiments/team_a_s2/exp_011_s2_k_calibration.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
