namespace,source_ref,source_path,sha256,size_bytes,referenced_by,clean_snapshot_path,status
team_a_s2,team-a-strategy-2-impl,src/config.py,d3e0116d31b04703f3b28932fc7f057acf534ad7100137733f11f251dc2d4247,976,experiments/exp_009_s2_aggregation.md;experiments/exp_010_s2_count_hurdle.md;experiments/exp_011_s2_k_calibration.md;experiments/exp_012_s2_best_submission.md;protocol_dependency,code_index/snapshots/team_a_s2/src/config.py,snapshotted
team_a_s2,team-a-strategy-2-impl,src/strategy_2.py,4147284dd0d27f6dd786e92534387290a06a521be331589e9d4fd53e4b1f762c,47591,experiments/exp_009_s2_aggregation.md,code_index/snapshots/team_a_s2/src/strategy_2.py,snapshotted
team_a_s2,team-a-strategy-2-impl,src/validation.py,f35e53da674c6c7164b6cb68693f4458e312981cd885f7697d92d55c61e6440b,628,protocol_dependency,code_index/snapshots/team_a_s2/src/validation.py,snapshotted
team_b_core,origin/team-b-B2,src/config.py,d3e0116d31b04703f3b28932fc7f057acf534ad7100137733f11f251dc2d4247,976,experiments/exp_002_sply.md;experiments/exp_003_calendar.md;experiments/exp_004_ewm.md;experiments/exp_005_multicutoff.md;experiments/exp_006_hurdle.md;experiments/exp_007_tweedie.md;experiments/exp_008_huber.md;experiments/exp_009_search_catalog.md;experiments/exp_010_aov_intensity.md;experiments/exp_011_trends.md;experiments/exp_012_clip_target.md;experiments/exp_013_seed_bagging.md;experiments/exp_014_second_lgbm_blend.md;experiments/exp_015_calibration_shift.md;experiments/exp_016_num_leaves31.md;experiments/exp_017_min_leaf50.md;experiments/exp_018_min_leaf300.md;experiments/exp_019_num_leaves127.md;experiments/exp_020_lr003.md;experiments/exp_021_g15_combo.md;experiments/exp_022_classifier_feature.md;experiments/exp_023_catboost_blend.md;experiments/exp_024_post_g14_diagnostics.md;experiments/exp_025_funnel.md;experiments/exp_026_activity_trend.md;experiments/exp_028_hurdle_log_threshold.md;experiments/exp_029_variance_predictability_hurdle.md;experiments/exp_034_temporal_ensemble.md;protocol_dependency,code_index/snapshots/team_b_core/src/config.py,snapshotted
team_b_core,origin/team-b-B2,src/features.py,491166bafef819c2e1b85af9a5cda4deebc43c16a9867f69ec00356d3b75894b,19304,experiments/exp_029_variance_predictability_hurdle.md,code_index/snapshots/team_b_core/src/features.py,snapshotted
team_b_core,origin/team-b-B2,src/temporal_ensemble.py,bee6c7883d790c531c6c98870917bcce91e178f36c3d18471d042cdd3515abc0,6089,experiments/exp_034_temporal_ensemble.md,code_index/snapshots/team_b_core/src/temporal_ensemble.py,snapshotted
team_b_core,origin/team-b-B2,src/train.py,07b82cc8430bf2ac32926f42747d1f9e0f5a5df2484fe299ea6c252e0c682a64,11909,experiments/exp_002_sply.md;experiments/exp_003_calendar.md;experiments/exp_004_ewm.md;experiments/exp_005_multicutoff.md;experiments/exp_006_hurdle.md;experiments/exp_009_search_catalog.md;experiments/exp_010_aov_intensity.md;experiments/exp_011_trends.md;experiments/exp_022_classifier_feature.md;experiments/exp_034_temporal_ensemble.md,code_index/snapshots/team_b_core/src/train.py,snapshotted
team_b_core,origin/team-b-B2,src/validation.py,202288abc72c0a12a2f138035d9c73ea29424a4e5af6291dd29314910cb629da,3604,protocol_dependency,code_index/snapshots/team_b_core/src/validation.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/classifier_gate.py,dc81108ab2622a1ba32b4aa5e8929d832d80f20a385dbac08b2b4341cc49013c,6814,experiments/exp_014_classifier_gate.md,code_index/snapshots/team_b_alt/src/classifier_gate.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/config.py,d3e0116d31b04703f3b28932fc7f057acf534ad7100137733f11f251dc2d4247,976,protocol_dependency,code_index/snapshots/team_b_alt/src/config.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/dense_ensemble.py,7fab84242f69750e1fe4ca9a4da4b6c1a0f636651ffdf02831014e373a20bd87,8246,experiments/exp_011_dense_clean_ensemble.md,code_index/snapshots/team_b_alt/src/dense_ensemble.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/dist_head_ensemble.py,0f89e54215b58dff10777c984cd97bb3e06b535d136d3c31a08b7eac7dbf6650,7639,experiments/exp_017_dist_head_post_order.md,code_index/snapshots/team_b_alt/src/dist_head_ensemble.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/validation.py,f35e53da674c6c7164b6cb68693f4458e312981cd885f7697d92d55c61e6440b,628,experiments/exp_012_lb_validation_alignment.md;protocol_dependency,code_index/snapshots/team_b_alt/src/validation.py,snapshotted
team_b_alt,origin/team-b-strategy-1-impl,src/weight_grid.py,cbe9544fd11b6f9157e64f9493d681c1cf736443d7e2f85a1c88fde7eec312e1,4484,experiments/exp_015_ensemble_weight_grid.md,code_index/snapshots/team_b_alt/src/weight_grid.py,snapshotted
independent_renewal,codex/renewal-01,research/strategies/results/MHZ/analyze.py,55dde1dfae71618fddc00691f76262d8eb46f90ecc1498cb117d9aa0b0e7ecd6,11854,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_renewal/research/strategies/results/MHZ/analyze.py,snapshotted
independent_renewal,codex/renewal-01,research/strategies/results/MHZ/run.sh,c034a439094fc2b2158e462e71ad10c6ed0937fe567208d1366d9c235c26a6c1,1480,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_renewal/research/strategies/results/MHZ/run.sh,snapshotted
independent_renewal,codex/renewal-01,research/strategies/results/SEQ/run.sh,a01ba80864b725180791fb3bbc8bb55183f21f4adbfb452c2046ef6ef99c8000,2768,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_renewal/research/strategies/results/SEQ/run.sh,snapshotted
independent_renewal,codex/renewal-01,research/strategies/results/STRATEGY_08/run.sh,664ede01a6577a34c07ce606d54642636c7d7b10cbfd3a6654503dbb699ab015,3570,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/research/strategies/results/STRATEGY_08/run.sh,snapshotted
independent_renewal,codex/renewal-01,src/blend.py,de0c325c07425ef23e107675816f4ee7fca0bbfc2ca88193d15cbfb18197d739,8786,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_renewal/src/blend.py,snapshotted
independent_renewal,codex/renewal-01,src/calval.py,d791fcfb34ab24d3b09b76e96f0b6bc16700d354ab36693f691004ac96499d0d,47487,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/calval.py,snapshotted
independent_renewal,codex/renewal-01,src/config.py,8dd82be5291da32971ac285b13e3eb02c5702bc0e5eaec9152e7002159dcf324,6093,experiments/exp_016_validator_calibration.md;experiments/exp_017_capacity_curve.md;experiments/exp_018_seed_average.md;protocol_dependency,code_index/snapshots/independent_renewal/src/config.py,snapshotted
independent_renewal,codex/renewal-01,src/final_experiments.py,d27b343a9e67cd6adf33ed17b81e2354c5fed1247a130f801ce946a0a618bd2b,16551,experiments/exp_007_radical_minimalism.md;experiments/exp_008_cohort_similarity.md,code_index/snapshots/independent_renewal/src/final_experiments.py,snapshotted
independent_renewal,codex/renewal-01,src/holiday_yoy.py,676bee6a5ffe74cae85ae72405f47dbee1b9123cd99986fac8e6502ff3538bfb,38104,experiments/exp_023_holiday_yoy.md,code_index/snapshots/independent_renewal/src/holiday_yoy.py,snapshotted
independent_renewal,codex/renewal-01,src/mhz.py,9558f81cd1d0774e7939d73a1060cd7e2b246b6a585f84fcdd638458644254f2,34439,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_renewal/src/mhz.py,snapshotted
independent_renewal,codex/renewal-01,src/models.py,c0dd7b75dc15d72a12b2f2c672ca6f7050f02034e0763fc8057d1e7b9db0ada4,7625,experiments/exp_013_s1_e11_two_part.md,code_index/snapshots/independent_renewal/src/models.py,snapshotted
independent_renewal,codex/renewal-01,src/predict.py,1d0c1be8fe5b2eda0712ea6851c2bf4625edc11ebc251b6d1192851f0707b39b,7447,experiments/exp_015_last_fold_only.md,code_index/snapshots/independent_renewal/src/predict.py,snapshotted
independent_renewal,codex/renewal-01,src/ptime.py,ff0ef1c1c7acbdcae1b21c11bf07fac17b41c8c8f73acf47af80c17be76e68af,17170,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/src/ptime.py,snapshotted
