feature,anchor_mean,anchor_std,real_smd,score_weight
w7_days_present,2.8183546,2.1053467,-0.0896150011069828,-0.08028260873166317
w7_days_search,2.2750242,1.9440607,-0.1089447155506084,-0.09759935126810279
w7_days_cat,0.43678406,0.9281593,-0.0795638285149737,-0.07127815248515416
w7_days_buy,0.48271093,0.8689299,-0.101518265180202,-0.09094628200528274
w7_days_cart,1.1002336,1.3984492,-0.1116260393228233,-0.10000144538882542
w7_days_presence_only,0.42219284,0.7833848,0.0446206273094828,0.039973891864064734
w7_searches,9.607334,16.859459,-0.0645196877949578,-0.0578006894688087
w7_carts,3.185516,7.087731,-0.0495602304429943,-0.04439909100214186
w7_orders,0.82854813,2.153116,-0.074960759929263,-0.0671544416145773
w7_gmv,27.81265,121.48766,-0.0655700573037174,-0.05874167483123421
w7_gmv_cat,2.076099,32.219765,-0.0214188727065111,-0.019188338511733186
w7_gmv_max,72.85734,171.33504,-0.0494401189163645,-0.04429148773731491
w7_lgmv_mean,3.281552,0.99863386,-0.0940042919509006,-0.08421480440291074
w7_lgmv_std,0.8134841,0.5782453,-0.0062031060148348,-0.005557122434395689
w14_days_present,5.540346,3.7946365,-0.0827956499337202,-0.0741734161268082
w14_days_search,4.481718,3.4793038,-0.1094289761499024,-0.09803318158375349
w14_days_cat,0.8563221,1.604837,-0.0815317114609241,-0.07304110260095947
w14_days_buy,0.9282396,1.4348348,-0.1059739780315454,-0.09493798258047999
w14_days_cart,2.1404152,2.426767,-0.108239483451673,-0.09696756114407824
w14_days_presence_only,0.82096374,1.2754589,0.0647798159619038,0.05803372821889563
w14_searches,18.585655,29.147076,-0.0604110899723048,-0.054119955804162095
w14_carts,6.07745,11.849332,-0.0364475844726771,-0.032651979325882916
w14_orders,1.5785012,3.5741065,-0.0748500795792885,-0.06705528737564939
w14_gmv,53.212616,191.4161,-0.0695450041133545,-0.06230267572958048
w14_gmv_cat,4.0509167,53.85303,-0.0273931873182267,-0.024540495589091618
w14_gmv_max,84.822586,196.60735,-0.0453014013249569,-0.040583770938369984
w14_lgmv_mean,3.2678645,0.93077064,-0.1196208203148148,-0.10716366004426194
w14_lgmv_std,0.82680964,0.5396813,-0.0232370327771924,-0.02081715770230357
w30_days_present,11.720122,7.473986,-0.0766458305761756,-0.06866403114490376
w30_days_search,9.463474,6.8156304,-0.1025925409244295,-0.09190868403818314
w30_days_cat,1.782216,3.0330575,-0.0702211287945123,-0.06290838964533897
w30_days_buy,1.9509269,2.6591098,-0.1103423720781615,-0.09885145762035118
w30_days_cart,4.4729986,4.638142,-0.0984207006675338,-0.08817129392605759
w30_days_presence_only,1.7581708,2.3305573,0.0617155403997937,0.05528856242120517
w30_searches,38.540092,55.62907,-0.0570834332778865,-0.051138837050703004
w30_carts,12.392306,22.263136,-0.0110292532208614,-0.009880680801150564
w30_orders,3.3028133,6.6982584,-0.0764754874260437,-0.06851142731403582
w30_gmv,111.488556,312.92395,-0.085701543483824,-0.07677669361402645
w30_gmv_cat,8.147565,76.28453,-0.0330640785998287,-0.02962082745648896
w30_gmv_max,107.23619,238.24799,-0.0554346357305445,-0.04966174318543641
w30_lgmv_mean,3.257447,0.8449858,-0.124646011627311,-0.1116655343170889
w30_lgmv_std,0.84848243,0.48814428,-0.0172992491861875,-0.015497727351565205
w60_days_present,22.946484,13.97269,-0.0702406805637552,-0.06292590531816997
w60_days_search,18.48381,12.688501,-0.0856224408700361,-0.07670582864595259
w60_days_cat,3.4692395,5.5319486,-0.0587037238235237,-0.05259039259720925
w60_days_buy,3.8400083,4.8249855,-0.0844935541901441,-0.07569450279085427
w60_days_cart,8.748646,8.554359,-0.0836291072744116,-0.07492007827879969
w60_days_presence_only,3.474017,4.1591935,0.0388243489811902,0.03478123059773715
w60_searches,74.885216,102.649376,-0.0369906558429433,-0.03313849593352544
w60_carts,24.111506,40.503277,0.0102651730862693,0.00919617100114662
w60_orders,6.5587573,12.300235,-0.0583711379735335,-0.05229244181514571
w60_gmv,221.82217,531.048,-0.0686538611696611,-0.061504335280004284
w60_gmv_cat,15.875704,116.39514,-0.0263421271849355,-0.023598891522895918
w60_gmv_max,139.00557,283.2528,-0.0396495114400892,-0.03552046168638893
w60_lgmv_mean,3.274388,0.76306516,-0.0975875004627938,-0.08742486213220615
w60_lgmv_std,0.86825246,0.4417465,0.0195662879119254,0.0175286795442753
w90_days_present,33.498623,20.102839,0.0034194490845063,0.003063352000649279
w90_days_search,27.002144,18.195656,-0.0163748647562172,-0.014669607141865576
w90_days_cat,5.0685587,7.8880677,-0.023363561250076,-0.02093050966075305
w90_days_buy,5.5987873,6.79109,-0.0487640754345902,-0.04368584656493926
w90_days_cart,12.767108,12.173848,-0.0290660473481894,-0.026039146100605908
w90_days_presence_only,5.0525537,5.8180265,0.0715479803018911,0.0640970645222688
w90_searches,109.42716,146.30551,0.0050415792482402,0.0045165555897605444
w90_carts,35.267044,57.610416,0.0387989642412126,0.034758489392334
w90_orders,9.590808,17.39074,-0.0348399367561693,-0.031211750000341012
w90_gmv,324.45688,712.6708,-0.0490834081586597,-0.04397192438477974
w90_gmv_cat,23.27538,144.18637,-0.0220576070015953,-0.019760555828725927
w90_gmv_max,163.12865,315.94775,-0.026560852589763,-0.023794839141916508
w90_lgmv_mean,3.282804,0.7191269,-0.0952970546978963,-0.08537294047966006
w90_lgmv_std,0.8800591,0.41057697,0.0319766333789083,0.028646627399468966
w180_days_present,62.679768,38.432392,0.0086834708703003,0.007779185244676553
w180_days_search,50.633873,34.609364,-0.0070727289890377,-0.006336183976766821
w180_days_cat,9.528881,14.49791,-0.0112946735912658,-0.010118460631350547
w180_days_buy,10.1593075,12.191741,-0.0065754588889919,-0.005890698953246342
w180_days_cart,23.622837,22.461868,-0.0041283677188215,-0.0036984447489422593
w180_days_presence_only,9.303381,10.232024,0.0624189657624546,0.0559187339601757
w180_searches,201.76031,266.64325,0.017648549379689,0.01581065186663939
w180_carts,64.7996,104.95789,0.0374434689237106,0.03354415363528032
w180_orders,17.35936,31.763214,-0.004267859445828,-0.0038234099846977967
w180_gmv,594.54156,1235.4215,-0.0221856458869989,-0.019875260907254288
w180_gmv_cat,42.791065,230.40317,-0.0128197796021096,-0.011484744039601712
w180_gmv_max,214.83943,449.839,-0.0124256251139218,-0.011131636299110435
w180_lgmv_mean,3.2918394,0.6562933,-0.0945320076852266,-0.08468756449103326
w180_lgmv_std,0.8987797,0.3654071,0.0352335045810897,0.03156433217193231
rec_any,3.1584263,5.1904693,0.1339068768025799,0.11996198475729165
rec_search,4.8698115,9.416872,0.1202289283518435,0.10770844048280785
rec_cart,15.014779,24.666025,0.1179921752982419,0.10570462005081036
rec_buy,27.148521,35.2573,0.1030425722331282,0.0923118496580789
rec_cat,34.259434,40.318455,0.0706320009189487,0.0632764740686767
gap_mean,4.320904,3.7480063,0.0712525032353696,0.06383235806210365
gap_std,4.587049,4.21246,0.040991996975959,0.03672314248394297
gap_max,20.405321,14.215832,-0.0015948851165917,-0.0014287958065684547
buygap_mean,20.710135,20.584446,-0.0219970687562133,-0.019706321959314908
buygap_std,16.36007,13.691053,-0.034215640678283,-0.03065246732294837
weekend_share,0.27560076,0.07710574,0.0446670263824038,0.04001545899647353
w7_aov,11.506895,55.06055,-0.0500738975282363,-0.04485926544964967
w7_gmv_per_day,7.3219934,33.409336,-0.0539801408178948,-0.04835871752531228
w7_cart2ord,0.17471476,0.3182911,-0.1148051349284266,-0.1028494740165382
w7_srch2cart,15411.869,329297.3,-4.648852331730941e-05,-4.16472675544668e-05
w7_buyday_rate,0.12996988,0.23506711,-0.1039230250326087,-0.0931006132214806
