model,group_fold,train_n,train_positive_rate,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability,cutoff_a,cutoff_b
p07_early,0,180000,0.50035,48071,0.4985958270058871,0.5165152031734411,0.5119898543905699,0.692771904537696,0.2498122434555201,0.0016449719350632,0.5002407989409504,2025-07-03,2025-07-10
p07_early,1,180000,0.4996888888888889,47948,0.5012513556352716,0.5178136989297222,0.5168076623545832,0.6926859810134559,0.2497694018154343,0.0017340877715318,0.4995172678637397,2025-07-03,2025-07-10
p07_early,2,180000,0.49975,48128,0.5009973404255319,0.5126103064944096,0.5139162089969527,0.6929515029488633,0.249902120048946,0.005084720712051,0.4996430381341153,2025-07-03,2025-07-10
p07_early,3,180000,0.5003333333333333,48093,0.4986588484810679,0.5175734940505561,0.5137714738620114,0.6926669519531717,0.2497598867741404,0.001501760834172,0.4999392798326026,2025-07-03,2025-07-10
p07_early,4,180000,0.4998777777777777,47760,0.5005025125628141,0.5126630181089324,0.5152921006334201,0.6929103652647395,0.2498816653507194,0.0037898967713367,0.4997205872406912,2025-07-03,2025-07-10
p07_mid,0,180000,0.5004277777777778,48309,0.4982922436813016,0.5280291793678666,0.52295467926613,0.6917542409209619,0.2493052645719136,0.0019980274513603,0.5002354235971531,2025-09-18,2025-09-25
p07_mid,1,180000,0.4999388888888889,47850,0.5002507836990595,0.5297215279460261,0.5274829421963703,0.6916977638034253,0.2492769848014595,0.0019175359348268,0.4999470679575622,2025-09-18,2025-09-25
p07_mid,2,180000,0.4995,48153,0.5019832616867069,0.5258150037666686,0.5238601770208557,0.6920316228544614,0.249443104627606,0.002695095513594,0.4993143475959549,2025-09-18,2025-09-25
p07_mid,3,180000,0.4998333333333333,48193,0.500674371796734,0.5295178302277408,0.5238400524400874,0.6918116428978968,0.2493331167896852,0.0038255945117371,0.4995964750150664,2025-09-18,2025-09-25
p07_mid,4,180000,0.5003,47495,0.4987893462469733,0.5252707205166787,0.5195302926221016,0.6921309222426424,0.2494924917503272,0.0029848949873317,0.5001031122278924,2025-09-18,2025-09-25
p07_late,0,180000,0.5000722222222223,48247,0.4997201898563641,0.5259410057069672,0.5225030686465559,0.6921251059504645,0.2494893614529429,0.00256488532403,0.4998488549681172,2025-10-09,2025-10-16
p07_late,1,180000,0.4999111111111111,48048,0.5003538128538129,0.5220587482485364,0.5198082549463463,0.6923403801414361,0.2495972993046641,0.0015128181203381,0.4996291836063107,2025-10-09,2025-10-16
p07_late,2,180000,0.5001444444444444,48236,0.4994195206899411,0.5196214544377659,0.5145277051167505,0.6926548326207735,0.249753544791544,0.0045498698382632,0.4999084280043388,2025-10-09,2025-10-16
p07_late,3,180000,0.4999333333333333,48036,0.500270630360563,0.5254950873139275,0.52295822141677,0.6920576066728061,0.2494561555637232,0.0010160023360658,0.4997885405808843,2025-10-09,2025-10-16
p07_late,4,180000,0.4999388888888889,47433,0.500242447241372,0.5251173213454944,0.5223951691436124,0.6920850305684063,0.249469713067987,0.0017043286984562,0.4997349862739925,2025-10-09,2025-10-16
p28_early,0,180000,0.4999055555555555,48242,0.5003731188590854,0.547386198834996,0.5409726491174798,0.6897962076435169,0.2483297645979257,0.0073672434439642,0.4995929763900379,2025-07-03,2025-07-31
p28_early,1,180000,0.4998222222222222,47897,0.5007202956343821,0.550067262281288,0.5470705075664326,0.6893746304911279,0.2481210408758653,0.010194513290255,0.4995595246486843,2025-07-03,2025-07-31
p28_early,2,180000,0.4999166666666667,48063,0.500322493394087,0.5471837901511827,0.5441612883693282,0.689662241485621,0.2482639278061107,0.0056878231443959,0.5000330989132574,2025-07-03,2025-07-31
p28_early,3,180000,0.4997277777777777,48327,0.5010863492457632,0.5498894392903694,0.5442156350317333,0.6895099714407222,0.2481875312170746,0.0093903551573667,0.4993152426367703,2025-07-03,2025-07-31
p28_early,4,180000,0.5006277777777778,47471,0.4974616081397063,0.5469909486206532,0.5426662045752964,0.6897225248622232,0.2482932565314588,0.0068299323072407,0.5003973879272431,2025-07-03,2025-07-31
p28_mid,0,180000,0.49905,48148,0.503780011630805,0.5514540586553298,0.5498348375737305,0.6889996650438454,0.2479357472379668,0.0059470099972571,0.4986453933934243,2025-08-21,2025-09-18
p28_mid,1,180000,0.4999888888888888,48037,0.5000520432166872,0.5538677904557253,0.5480587343148676,0.6885462434875023,0.2477108752628963,0.0056563756649154,0.5001219919276212,2025-08-21,2025-09-18
p28_mid,2,180000,0.5003666666666666,48374,0.4985529416628767,0.5531731210125275,0.5454862604747651,0.6887196945090184,0.2477965879886607,0.00599706567112,0.5001398207208629,2025-08-21,2025-09-18
p28_mid,3,180000,0.5005166666666667,48002,0.4979375859339194,0.5499823197489333,0.5429374609710114,0.6890414882175281,0.2479577853433729,0.0029289202333057,0.5002691434280887,2025-08-21,2025-09-18
p28_mid,4,180000,0.5000777777777777,47439,0.4996732646135036,0.5531111510397777,0.5443225680795342,0.6888909905084372,0.2478799880691169,0.0066239421182796,0.5000443930623554,2025-08-21,2025-09-18
p28_late,0,180000,0.5003333333333333,48347,0.4986865782778663,0.5585914923121866,0.5512366758051745,0.6878019437893839,0.2473417389648552,0.0075938805614452,0.5001478132148597,2025-09-18,2025-10-16
p28_late,1,180000,0.4996666666666666,47954,0.5013346123368227,0.5548147256619048,0.5499453768385449,0.6883204815509902,0.2476008913586926,0.0028576062727388,0.4993283898707262,2025-09-18,2025-10-16
p28_late,2,180000,0.4997166666666666,48071,0.5011337396767281,0.5622197689401578,0.5553746897776319,0.6874004672084286,0.2471412613194427,0.0111094188336557,0.4996098046139521,2025-09-18,2025-10-16
p28_late,3,180000,0.5000833333333333,48095,0.499656928994698,0.5584453751545544,0.5538401655984848,0.6876638624656979,0.2472759831978863,0.0057227534419447,0.4999386851449731,2025-09-18,2025-10-16
p28_late,4,180000,0.5002,47533,0.4991900363957671,0.5580567592485188,0.5526707097221718,0.687738080737118,0.2473126547919046,0.0077182711251661,0.4999070706852375,2025-09-18,2025-10-16
p56_early,0,180000,0.4997666666666667,48296,0.500931754182541,0.5821797266854853,0.5757879268086386,0.6828980036110295,0.2449235134633758,0.0131197472534739,0.4991902676308384,2025-07-03,2025-08-28
p56_early,1,180000,0.4999055555555555,47864,0.5003760655189704,0.5870859026333575,0.5789903038462494,0.6821461196295435,0.2445460542673016,0.0159085013748171,0.5000246789243515,2025-07-03,2025-08-28
p56_early,2,180000,0.5006388888888889,47787,0.4974365413187687,0.582383697597196,0.573058495234382,0.6829130021722362,0.2449293216645464,0.013635903858187,0.5006386026461614,2025-07-03,2025-08-28
p56_early,3,180000,0.4998944444444444,48263,0.5004247560242836,0.5846182764917073,0.5791034888785874,0.6823440255925146,0.2446524087189124,0.0146212832815763,0.4994278914206506,2025-07-03,2025-08-28
p56_early,4,180000,0.4997944444444444,47790,0.5008160703075958,0.5804765520366566,0.5745399460793896,0.683269796933268,0.2451040057075326,0.0128797976242046,0.4997742403879353,2025-07-03,2025-08-28
p56_late,0,180000,0.4994333333333333,48002,0.50227073871922,0.5804146092436009,0.5747510361326345,0.6831468264770978,0.2450456513476585,0.0079007163419708,0.4994516375611104,2025-08-21,2025-10-16
p56_late,1,180000,0.4999333333333333,48057,0.5002601077886676,0.5807523737485326,0.5736758871547826,0.6830945390663069,0.2450186794544761,0.0060349058008006,0.4996718671915869,2025-08-21,2025-10-16
p56_late,2,180000,0.5004333333333333,48347,0.4982729021449107,0.5832366491701659,0.5734711400853127,0.6825742714492514,0.2447627635074334,0.0102245473767011,0.5006672652092661,2025-08-21,2025-10-16
p56_late,3,180000,0.5001777777777778,48131,0.4992832062496104,0.5806372189379865,0.5729258234679768,0.683118490999514,0.245031657533722,0.0098035034805487,0.5000851359348002,2025-08-21,2025-10-16
p56_late,4,180000,0.5000166666666667,47463,0.4999262583486084,0.5771326321937225,0.5693180567352959,0.6838182590843829,0.2453781592260328,0.0076138947648897,0.499384377186341,2025-08-21,2025-10-16
p105_max,0,180000,0.4999833333333333,48213,0.5000725945284467,0.6261766387868131,0.6186092607354685,0.6694728912494414,0.2383899335630564,0.0241547270271344,0.4997228239259126,2025-07-03,2025-10-16
p105_max,1,180000,0.4996666666666666,47955,0.5013241580648524,0.6222210306674913,0.6144104890341738,0.6705664142024286,0.2389242389580179,0.0180196238128376,0.4991991803601591,2025-07-03,2025-10-16
p105_max,2,180000,0.4998055555555555,48106,0.5007691348272565,0.6258773641012536,0.619971516408893,0.6693957788464867,0.2383597468320003,0.0207604079043469,0.5001239908363291,2025-07-03,2025-10-16
p105_max,3,180000,0.5002111111111112,48142,0.4991691246728428,0.6221066922287439,0.6160188702152476,0.6702861593998592,0.2387999701761753,0.0185834367050596,0.5002033148518201,2025-07-03,2025-10-16
p105_max,4,180000,0.5003333333333333,47584,0.4986550100874243,0.6206011398874818,0.6120393419569332,0.671063088909962,0.2391649761266393,0.0183798841137511,0.4998477008694779,2025-07-03,2025-10-16
real_20251016_to_20260213,0,180000,0.5004388888888889,48079,0.49824247592504,0.6451802116740403,0.6327919859078461,0.6622515296615124,0.2348962160785714,0.0275012245252779,0.5006865793967912,2025-10-16,2026-02-13
real_20251016_to_20260213,1,180000,0.4999888888888888,48014,0.5000416545174324,0.6471032546645594,0.6329962150365092,0.6619121429106377,0.234718877511172,0.0317870125481148,0.4998224652462884,2025-10-16,2026-02-13
real_20251016_to_20260213,2,180000,0.5001,48053,0.4995941980729611,0.6425794315148198,0.6306554271994675,0.6632037381159964,0.2353566233734621,0.0244767580334781,0.5006819394942394,2025-10-16,2026-02-13
real_20251016_to_20260213,3,180000,0.5003944444444445,48195,0.4984334474530553,0.639575571356643,0.6258486109274078,0.6639220662797428,0.2357162480375395,0.0195307102780555,0.4994244139930224,2025-10-16,2026-02-13
real_20251016_to_20260213,4,180000,0.4990777777777778,47659,0.5037243752491659,0.6475540350071666,0.6371284915627243,0.6615526853225973,0.2345545558771106,0.0307191275509628,0.4986684066771575,2025-10-16,2026-02-13
