task_left,task_right,cosine,signed_rank_spearman,top_n,top_overlap_n,top_overlap_fraction,overlap_sign_agreement
p07_early,p07_early,1.0,0.9999999999999999,20,20,1.0,1.0
p07_early,p07_late,-0.40638122773404856,-0.49244484653000253,20,1,0.05,0.0
p07_early,p07_mid,0.26367118526871725,0.19170175249781712,20,4,0.2,1.0
p07_early,p105_max,-0.0344051423256022,-0.1264603136968665,20,5,0.25,0.6
p07_early,p28_early,0.2763281408003821,0.2611381161194679,20,9,0.45,1.0
p07_early,p28_late,-0.16815933665212474,-0.2247756273573187,20,4,0.2,0.5
p07_early,p28_mid,0.11073581116703135,0.08186496129162253,20,3,0.15,1.0
p07_early,p56_early,-0.03991496836007181,-0.09300125669719261,20,5,0.25,0.8
p07_early,p56_late,-0.04895692374595541,-0.1449862799092718,20,3,0.15,0.6666666666666666
p07_early,real_20251016_to_20260213,0.17568201819768314,0.20002524723271717,20,3,0.15,0.3333333333333333
p07_late,p07_early,-0.40638122773404856,-0.49244484653000253,20,1,0.05,0.0
p07_late,p07_late,1.0,0.9999999999999999,20,20,1.0,1.0
p07_late,p07_mid,0.21278951970222673,0.24566447560607518,20,0,0.0,
p07_late,p105_max,0.6627995439692282,0.48973076901290596,20,7,0.35,1.0
p07_late,p28_early,0.2332704078400577,-0.1089426183807946,20,0,0.0,
p07_late,p28_late,0.8177931132629899,0.7549739880674455,20,7,0.35,1.0
p07_late,p28_mid,-0.07443160746968021,-0.15743025249660333,20,1,0.05,0.0
p07_late,p56_early,0.6322922798122342,0.4032865099665878,20,4,0.2,1.0
p07_late,p56_late,0.5604546088095647,0.43191622450292483,20,4,0.2,1.0
p07_late,real_20251016_to_20260213,-0.45606101123038056,-0.1932424810585064,20,1,0.05,0.0
p07_mid,p07_early,0.26367118526871725,0.19170175249781712,20,4,0.2,1.0
p07_mid,p07_late,0.21278951970222673,0.24566447560607518,20,0,0.0,
p07_mid,p07_mid,1.0,0.9999999999999999,20,20,1.0,1.0
p07_mid,p105_max,0.3757844024062124,0.45211077385195897,20,0,0.0,
p07_mid,p28_early,0.2697472025336079,0.2680276975090206,20,3,0.15,1.0
p07_mid,p28_late,0.5431826694870451,0.5781656752542323,20,2,0.1,1.0
p07_mid,p28_mid,-0.09727556418653345,0.038473707677505437,20,6,0.3,0.16666666666666666
p07_mid,p56_early,0.3324999452681086,0.4503386123246956,20,2,0.1,0.5
p07_mid,p56_late,0.3121695662003578,0.3065103064544712,20,1,0.05,1.0
p07_mid,real_20251016_to_20260213,-0.07742925458867463,-0.13390339211137264,20,4,0.2,0.75
p105_max,p07_early,-0.0344051423256022,-0.1264603136968665,20,5,0.25,0.6
p105_max,p07_late,0.6627995439692282,0.48973076901290596,20,7,0.35,1.0
p105_max,p07_mid,0.3757844024062124,0.45211077385195897,20,0,0.0,
p105_max,p105_max,1.0000000000000002,0.9999999999999999,20,20,1.0,1.0
p105_max,p28_early,0.6994903807189629,0.5270044239301687,20,1,0.05,1.0
p105_max,p28_late,0.8314599568227855,0.7675927491889729,20,12,0.6,1.0
p105_max,p28_mid,0.5123258865576596,0.5501962729581907,20,8,0.4,1.0
p105_max,p56_early,0.9285421477890372,0.8698845020023807,20,10,0.5,1.0
p105_max,p56_late,0.9002363552742804,0.8745066876844484,20,15,0.75,1.0
p105_max,real_20251016_to_20260213,-0.6032761745910442,-0.39676592659367077,20,3,0.15,0.0
p28_early,p07_early,0.2763281408003821,0.2611381161194679,20,9,0.45,1.0
p28_early,p07_late,0.2332704078400577,-0.1089426183807946,20,0,0.0,
p28_early,p07_mid,0.2697472025336079,0.2680276975090206,20,3,0.15,1.0
p28_early,p105_max,0.6994903807189629,0.5270044239301687,20,1,0.05,1.0
p28_early,p28_early,1.0,0.9999999999999999,20,20,1.0,1.0
p28_early,p28_late,0.3694602237601667,0.13329486906639454,20,2,0.1,1.0
p28_early,p28_mid,0.35045552722141426,0.3497235347096851,20,2,0.1,1.0
p28_early,p56_early,0.8049544098490535,0.6711547938587723,20,6,0.3,1.0
p28_early,p56_late,0.4552539496292905,0.3302200474356661,20,0,0.0,
p28_early,real_20251016_to_20260213,-0.48558730499322605,-0.29144612426655575,20,5,0.25,0.0
p28_late,p07_early,-0.16815933665212474,-0.2247756273573187,20,4,0.2,0.5
p28_late,p07_late,0.8177931132629899,0.7549739880674455,20,7,0.35,1.0
p28_late,p07_mid,0.5431826694870451,0.5781656752542323,20,2,0.1,1.0
p28_late,p105_max,0.8314599568227855,0.7675927491889729,20,12,0.6,1.0
p28_late,p28_early,0.3694602237601667,0.13329486906639454,20,2,0.1,1.0
p28_late,p28_late,0.9999999999999998,0.9999999999999999,20,20,1.0,1.0
p28_late,p28_mid,0.14921890042673586,0.14646227197581443,20,5,0.25,0.6
p28_late,p56_early,0.6937289340986058,0.5637423843583682,20,7,0.35,1.0
p28_late,p56_late,0.8135294713408322,0.7394534135957965,20,9,0.45,1.0
p28_late,real_20251016_to_20260213,-0.3694769212511943,-0.13192245539048647,20,0,0.0,
p28_mid,p07_early,0.11073581116703135,0.08186496129162253,20,3,0.15,1.0
p28_mid,p07_late,-0.07443160746968021,-0.15743025249660333,20,1,0.05,0.0
p28_mid,p07_mid,-0.09727556418653345,0.038473707677505437,20,6,0.3,0.16666666666666666
p28_mid,p105_max,0.5123258865576596,0.5501962729581907,20,8,0.4,1.0
p28_mid,p28_early,0.35045552722141426,0.3497235347096851,20,2,0.1,1.0
p28_mid,p28_late,0.14921890042673586,0.14646227197581443,20,5,0.25,0.6
p28_mid,p28_mid,1.0000000000000002,0.9999999999999999,20,20,1.0,1.0
p28_mid,p56_early,0.3306919597265328,0.32008231245230734,20,2,0.1,1.0
p28_mid,p56_late,0.6864727745571518,0.7098202834001871,20,9,0.45,1.0
p28_mid,real_20251016_to_20260213,-0.1286607128094867,-0.01690998147727061,20,2,0.1,0.0
p56_early,p07_early,-0.03991496836007181,-0.09300125669719261,20,5,0.25,0.8
p56_early,p07_late,0.6322922798122342,0.4032865099665878,20,4,0.2,1.0
