bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,632862,0.022285235178639257,0.03457309808457452,D0-linear
1,0.1,0.2,92892,0.1430261470118377,0.2025578090685958,D0-linear
2,0.2,0.30000000000000004,48062,0.24588371457897973,0.35077608089551,D0-linear
3,0.30000000000000004,0.4,32958,0.34773205550931974,0.4869227501668791,D0-linear
4,0.4,0.5,26239,0.4483395359700053,0.5869126109988948,D0-linear
5,0.5,0.6000000000000001,23255,0.5492557655224567,0.673188561599656,D0-linear
6,0.6000000000000001,0.7000000000000001,22105,0.6499515861333481,0.7496946392218955,D0-linear
7,0.7000000000000001,0.8,23152,0.7509531849749391,0.8074464409122322,D0-linear
8,0.8,0.9,27750,0.8525657532301035,0.8620900900900901,D0-linear
9,0.9,1.0,91341,0.9750909402797978,0.9432018480200567,D0-linear
