bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,702312,0.020078446126953402,0.013082504641811616,D1-depth-raw
1,0.1,0.2,43769,0.1477836519224414,0.15079165619502388,D1-depth-raw
2,0.2,0.30000000000000004,39693,0.24580818069573418,0.25210994381880936,D1-depth-raw
3,0.30000000000000004,0.4,14172,0.33663087064831937,0.3372142252328535,D1-depth-raw
4,0.4,0.5,2265,0.43389266068835397,0.4609271523178808,D1-depth-raw
5,0.5,0.6000000000000001,66,0.5084688609296625,0.6515151515151515,D1-depth-raw
6,0.6000000000000001,0.7000000000000001,0,,,D1-depth-raw
7,0.7000000000000001,0.8,0,,,D1-depth-raw
8,0.8,0.9,45,0.8979774898952908,1.0,D1-depth-raw
9,0.9,1.0,218294,0.9798941191400904,1.0,D1-depth-raw
