bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,67,0.09796680710208949,0.0,D1-fixed-L180
1,0.1,0.2,292447,0.1669169762201947,0.13939961770850787,D1-fixed-L180
2,0.2,0.30000000000000004,517642,0.24787232186672978,0.24396397510248397,D1-fixed-L180
3,0.30000000000000004,0.4,188413,0.33499514106876893,0.3763009983387558,D1-fixed-L180
4,0.4,0.5,19785,0.4315954451612791,0.5314632297194845,D1-fixed-L180
5,0.5,0.6000000000000001,2154,0.5320171523448374,0.6680594243268339,D1-fixed-L180
6,0.6000000000000001,0.7000000000000001,108,0.6174022880969224,0.8611111111111112,D1-fixed-L180
7,0.7000000000000001,0.8,0,,,D1-fixed-L180
8,0.8,0.9,0,,,D1-fixed-L180
9,0.9,1.0,0,,,D1-fixed-L180
