bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,685829,0.01986576804946317,0.0005103312924941932,D1-production
1,0.1,0.2,57784,0.13915180197731125,0.032171535373113666,D1-production
2,0.2,0.30000000000000004,20377,0.24427595452178405,0.16052412033174657,D1-production
3,0.30000000000000004,0.4,12294,0.34717909566547805,0.42720026028957214,D1-production
4,0.4,0.5,10037,0.44956936003487935,0.7042941117863903,D1-production
5,0.5,0.6000000000000001,10130,0.5508831455759329,0.8758144126357355,D1-production
6,0.6000000000000001,0.7000000000000001,11855,0.652013090259161,0.9537747785744412,D1-production
7,0.7000000000000001,0.8,16086,0.7531736962285102,0.9852045256744996,D1-production
8,0.8,0.9,23881,0.8533885277828616,0.9978644110380638,D1-production
9,0.9,1.0,172343,0.9790313856859013,0.9999941976175417,D1-production
