model,group_fold,train_n,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability,train_positive_rate
D0-linear,0,150000,205011,0.24450395344640044,0.9359128814672303,0.8484314512516211,0.2801904687189245,0.08185556716244816,0.03261852869232045,0.21730786388172332,
D0-linear,1,150000,203909,0.24538397030047718,0.934173498036448,0.8454362710859118,0.2881840658051556,0.08405066378433995,0.03833809872050065,0.21288492009508472,
D0-linear,2,150000,204569,0.24495891361838792,0.9347888790615299,0.8454143612153306,0.28438484760649124,0.08326525552102772,0.034942281174989744,0.21620012733528232,
D0-linear,3,150000,204621,0.24462787299446292,0.9359680746345513,0.8459688039005162,0.2825858968539482,0.08281250360107098,0.03475461372573385,0.21566249403422388,
D0-linear,4,150000,202506,0.24528162128529524,0.9368600241553962,0.8498417058405956,0.2811126537774147,0.08232416797273727,0.036438217647991065,0.21414555696629878,
D1-production,0,450000,205011,0.2445039534464004,0.9986266416101482,0.9962005711097068,0.0737002905366953,0.0169855854591882,0.0415934641883315,0.2444103298427306,0.2450622222222222
D1-production,1,450000,203909,0.2453839703004771,0.9986409790150184,0.9962344358003536,0.0735158174677295,0.0169441811268379,0.0413749007680779,0.2455723383244301,0.2448422222222222
D1-production,2,450000,204569,0.2449589136183879,0.998642476662614,0.9961982622447154,0.0741450775260026,0.0171951748878278,0.0416802446448367,0.2450177773374523,0.2449466666666666
D1-production,3,450000,204621,0.2446278729944629,0.9982800828756132,0.9953670369046724,0.0759916930821855,0.017797002359384,0.040695319269545,0.2445602309681216,0.2450311111111111
D1-production,4,450000,202506,0.2452816212852952,0.9986407280552484,0.9962211240174116,0.0742192303556693,0.0172030526421978,0.0422224770458145,0.2449882988047399,0.2448711111111111
D1-behavior,0,300000,205011,0.2445039534464004,0.6375654220396463,0.3568130943569112,0.5351444812930576,0.1769053432014062,0.0138973092393182,0.2453870540150936,0.2450633333333333
D1-behavior,1,300000,203909,0.2453839703004771,0.6421982450540118,0.3640526805856248,0.5352028254547093,0.1769815442329576,0.0173483830375405,0.2446993495792979,0.24484
D1-behavior,2,300000,204569,0.2449589136183879,0.6400784511837734,0.3599417480016752,0.5354465674775077,0.1770307939482941,0.0181061765454425,0.2455062605351203,0.24495
D1-behavior,3,300000,204621,0.2446278729944629,0.637664475962253,0.358011792730866,0.5353250696749624,0.176974428094147,0.0145336864166997,0.2448817613517556,0.24503
D1-behavior,4,300000,202506,0.2452816212852952,0.6390559539900593,0.3623816433432908,0.5358183096262341,0.1771932265861563,0.0164643593914176,0.2444636325522691,0.2448633333333333
D1-depth-raw,0,300000,205011,0.2445039534464004,0.9862394879311598,0.9751062587761642,0.0979770578921592,0.0249486394733927,0.0097164114049733,0.2450570514211242,0.2450633333333333
D1-depth-raw,1,300000,203909,0.2453839703004771,0.9860313223222076,0.9748880624352564,0.0994224607958093,0.0254668602717379,0.01022132190242,0.2451072899454416,0.24484
D1-depth-raw,2,300000,204569,0.2449589136183879,0.986174438360534,0.9750939813583612,0.0985659985840728,0.0252120716258435,0.0098662347199553,0.2445259064881058,0.24495
D1-depth-raw,3,300000,204621,0.2446278729944629,0.9857832824751886,0.9747278825269942,0.0987527318816321,0.0251064877383287,0.0098282296610272,0.245550286676868,0.24503
D1-depth-raw,4,300000,202506,0.2452816212852952,0.9863887068703872,0.974982637764444,0.0993616513900711,0.025528591855858,0.0094450257186451,0.2447970719659108,0.2448633333333333
D1-fixed-L180,0,300000,205011,0.2445039534464004,0.6455033430678665,0.368473804912239,0.5329939430589735,0.1760249301009815,0.0185472490573103,0.2453309874199827,0.2450633333333333
D1-fixed-L180,1,300000,203909,0.2453839703004771,0.6499483107665136,0.3743086539859911,0.5329732788857422,0.1760954630315517,0.0200480597725922,0.2447871038490406,0.24484
D1-fixed-L180,2,300000,204569,0.2449589136183879,0.6477692477160815,0.370886968567242,0.5332429145188251,0.176154692943022,0.0204772943187818,0.245198192595085,0.24495
D1-fixed-L180,3,300000,204621,0.2446278729944629,0.6459197511293417,0.3688049942525053,0.5330376752360171,0.1760706938395768,0.0189449491037745,0.2448493449070102,0.24503
D1-fixed-L180,4,300000,202506,0.2452816212852952,0.64828356827991,0.374979836810529,0.5333171416049721,0.176185955014449,0.0207348593018954,0.244576187671173,0.2448633333333333
D1-missingness,0,300000,205011,0.2445039534464004,0.5592842020289199,0.2966713106619004,0.5505739410988729,0.1824980271661938,0.0042991907305203,0.2448779112397271,0.2450633333333333
D1-missingness,1,300000,203909,0.2453839703004771,0.5596060896139312,0.2961127188108469,0.5517988292773733,0.1830463333542506,0.0029666829222841,0.2449501027246373,0.24484
D1-missingness,2,300000,204569,0.2449589136183879,0.5600447735416594,0.2953835462364665,0.5512924214387067,0.1828151320620454,0.003032544311607,0.2449961313732679,0.24495
D1-missingness,3,300000,204621,0.2446278729944629,0.5606254200096461,0.2963865605519741,0.5507194498650373,0.1825667480869111,0.0036858010762986,0.2446097354636137,0.24503
D1-missingness,4,300000,202506,0.2452816212852952,0.5592317941471574,0.2961510004129065,0.5516166624069198,0.1829618630075024,0.0031287214386868,0.2448076890701517,0.2448633333333333
