feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share
tenure_frac,0.9327251414911449,0.8965998082344234,-0.21162951361570728,0.1743,1.3657385600171517,0.0,0.0,0.8145454525947571,0.5892420411109924,0.984674334526062,0.9853300452232361,0.996363639831543,0.9975550174713135,0.01639275863559081,1788308.7090011598,891.4,0.5009015465613671
w365_days_cat,19.65193927231908,17.21447,-0.08636502401904271,0.09976000000000002,0.0650140829544791,0.0,0.0,1.3272727727890015,1.0,9.78927230834961,8.0,48.76518249511719,43.0,-0.09444743135839137,321136.96577911376,234.0,0.0899497955845824
gap_max_frac,0.09541332882130985,0.09168122249942506,-0.04462419237543659,0.10472999999999999,0.07806395006019622,0.0,0.0,0.028340080752968788,0.02200488932430744,0.07287449389696121,0.06356967985630035,0.18545454740524292,0.19315403699874878,-0.12096258388045338,304831.3364013672,500.2,0.0853826227402855
trend_gmv_90_365,1.1481773769032175,1.1748218613725974,0.024391426798760576,0.09758,0.04053925310277629,0.0,0.0,0.0,0.0,1.0034109354019165,0.852224737405777,2.744396710395813,3.169887304306032,-0.09784373041437079,213728.40466461185,79.6,0.0598648812152758
gap_cv,1.0659720825472287,1.1913041654420085,0.277345171280983,0.11670000000000003,0.07993059568918848,0.0,0.0,0.6864368736743928,0.7175888538360595,1.014032006263733,1.0935710668563843,1.4802512764930726,1.7356118202209474,0.21304813752870314,201338.17610473637,275.0,0.0563944039891391
gap_std,5.235865214104466,7.211859595524892,0.2680039960796958,0.09301999999999999,0.06106131466435142,0.0,0.0,1.1029046058654786,1.1812143325805666,3.574933886528015,4.336202383041382,11.245853233337408,16.002609825134286,0.15934567193040478,151484.61927490233,325.4,0.042430526504252
w365_days_buy,18.734063912038803,17.59332,-0.05008854944452456,0.08746999999999999,0.04541831227525657,0.0,0.0,0.0,0.0,11.187739372253418,9.0,46.1494255065918,45.0,-0.10209125069382165,105783.99613113404,225.4,0.0296298770994199
w365_days_presence_only,16.692471708542108,17.12083,0.022931376203731122,0.049980000000000024,0.014710675964635909,0.0,0.0,1.3984674215316772,2.0,11.187739372253418,11.0,38.490909576416016,41.0,-0.010463517969440004,80334.3645500183,228.4,0.022501488273579
rec_cat,43.611979026475304,53.7724449220849,0.1548315416884476,0.04873848272277015,0.012200879178605177,0.07121,0.0695,1.0,2.0,21.0,25.0,126.0,145.0,0.07692307692307693,58517.3141418457,30.0,0.0163905778721166
first_buy_frac,0.7762524790791627,0.7624257076020297,-0.05341891278214388,0.03995266266305886,0.02157500061120326,0.10602,0.12250000000000005,0.3486590087413788,0.3007335066795349,0.8825910687446594,0.8850855827331543,0.9861591458320618,0.9902200698852539,0.008555409209652398,42608.30150680542,48.8,0.0119344965517908
dlog_buyd_90_365,-0.9367702980819345,-0.8824425356309861,0.09095394407597208,0.09460000000000002,0.141132101537854,0.0,0.0,-1.6199091672897339,-1.6185306072235102,-0.9546268582344055,-0.9162907600402832,0.0,0.0,0.05043833869903618,37059.4471572876,115.0,0.0103802739998749
trend_srch_90_365,1.208554731575977,1.436788146348931,0.3185989244852063,0.11651999999999996,0.08178992046610045,0.0,0.0,0.5777702927589417,0.6069368064403536,1.1025627255439758,1.2452490329742432,2.0039243698120117,2.567410159111023,0.2145209240834894,34306.47429351807,27.6,0.0096091720317623
rec_buy,32.69389695518915,43.618176638176635,0.19094797265717017,0.07048450538005124,0.024535758172456207,0.10602,0.12250000000000005,1.0,1.0,14.0,18.0,91.0,119.0,0.1111111111111111,29695.28706970215,33.4,0.0083175880897574
w365_orders,31.856395674717426,29.92582,-0.032738664744702405,0.07802999999999999,0.022381286428950622,0.0,0.0,0.0,0.0,15.155709266662598,13.0,75.65454864501953,74.0,-0.06468662924218538,27717.819940948488,80.8,0.0077637036636058
dlog_gmv_90_365,-1.4457311957255659,-1.5024740789693047,-0.03992689604569627,0.11336000000000002,0.0888199354117805,0.0,0.0,-3.2018980503082273,-3.6397341489791866,-1.1290162801742554,-1.169654667377472,0.0,0.0,-0.030157993083025456,23141.99885253906,37.0,0.0064820257025045
gap_mean,4.537564192830324,5.468104419714212,0.1872698266974248,0.06359999999999999,0.029084270499768215,0.0,0.0,1.540880560874939,1.5637065172195435,3.25,3.561403512954712,9.034482955932617,11.428571701049805,0.09175677574361064,20427.60106887817,59.2,0.0057217285340263
trend_pres_60_180,1.1343133780661971,1.1066645856683701,-0.0685530613772624,0.04847000000000001,0.010873928436493681,0.0,0.0,0.7037021517753601,0.6734669208526611,1.071414828300476,1.038454294204712,1.6499851942062378,1.632348656654358,-0.08010093262732641,20279.634320831297,58.6,0.0056802833559296
w180_days_present,62.20226,63.23054,0.025916942543504268,0.03269999999999998,0.020659028306410754,0.0,0.0,18.0,16.0,55.0,55.0,118.0,125.0,0.0,19407.96265640259,66.0,0.0054361299373345
buygap_std,22.117372977195377,28.137127240345105,0.24865600475430416,0.09592489777335211,0.041944968848282194,0.23572000000000004,0.24019000000000001,5.778062772750855,6.385620594024658,16.05972194671631,19.345706939697266,45.345183181762714,59.8426513671875,0.18049519315559825,18896.11653442383,51.6,0.0052927629041091
trend_pres_90_365,1.2023930858499556,1.4270911357630789,0.36719949410622227,0.1444700000000001,0.11876200704151496,0.0,0.0,0.7484528422355652,0.8042650818824768,1.0897414684295654,1.2135926485061646,1.7952269315719604,2.36572265625,0.28090560470002407,17591.165950012208,38.6,0.0049272489620096
trend_gmv_60_180,1.0363011822125887,0.8753893309726519,-0.16888247758817784,0.08150000000000002,0.03259126382817372,0.0,0.0,0.0,0.0,0.846646785736084,0.6159282326698303,2.6506818294525156,2.4239385366439823,-0.13558706549663904,12262.726182556153,11.6,0.0034347640756789
w180_days_presence_only,9.15341,10.09527,0.08687369833747971,0.02907000000000004,0.007479262436606909,0.0,0.0,1.0,1.0,6.0,6.0,21.0,24.0,0.0,9127.046611785889,34.8,0.002556466755639
w180_days_cat,9.53204,9.37835,-0.01047329288729987,0.03342999999999996,0.006752762683991831,0.0,0.0,0.0,0.0,5.0,4.0,24.0,24.0,-0.1111111111111111,7165.394771575928,13.6,0.0020070121588849
w180_days_buy,9.96048,10.07871,0.009489938460095689,0.04520000000000002,0.017148814351819395,0.0,0.0,0.0,0.0,6.0,5.0,25.0,26.0,-0.08333333333333333,3313.3467109680178,23.8,0.0009280615161489
w365_days_present,120.59934177326679,112.50428,-0.1045104768433605,0.07877,0.04284781824044659,0.0,0.0,34.100345611572266,25.0,104.91902923583984,94.0,232.38754272460938,232.0,-0.09916902111665249,3003.8496383666998,14.0,0.0008413720304119
trend_srch_60_180,1.1454142022387124,1.0929089006042854,-0.09666628717604803,0.0514,0.01364286254380555,0.0,0.0,0.5185173749923706,0.469878950715065,1.076918125152588,1.0169482231140137,1.8749788999557495,1.8214168548583984,-0.09126052622233978,2895.0021560668947,7.8,0.0008108840772141
buygap_cv,1.019368872098686,1.0765867632609005,0.16880334389388787,0.07422084828873465,0.024497002369696663,0.23572000000000004,0.24019000000000001,0.6577965319156647,0.7137179374694824,0.9947989583015442,1.0422453880310059,1.416890037059784,1.4913883209228516,0.12749033655123967,2489.3805702209474,6.6,0.0006972703154255
dlog_buyd_60_180,-0.6982051310656965,-0.7317417787563801,-0.0619365686202585,0.04654999999999998,0.02881310582936491,0.0,0.0,-1.3862943649291992,-1.3862943649291992,-0.6931471824645996,-0.6931471824645996,0.0,0.0,0.0,2235.9291450500486,9.2,0.0006262790988602
w180_presence_rate,0.3455681128872372,0.35128077952276915,0.02591694255289737,0.03269999999999998,0.020659028306410754,0.0,0.0,0.10000000149011612,0.08888889104127884,0.3055555522441864,0.3055555522441864,0.6555555462837219,0.6944444179534912,0.0,2176.955325317382,10.8,0.0006097606547224
w90_days_buy,5.47765,5.27124,-0.03039996211856643,0.053649999999999975,0.017274747975093933,0.0,0.0,0.0,0.0,3.0,3.0,14.0,14.0,0.0,1690.6890747070313,8.6,0.0004735584902162
buygap_mean,26.19077135661808,31.934923108937816,0.1695434879386244,0.06298190901984901,0.02082805021892109,0.17356000000000005,0.18649000000000004,6.085106372833252,6.360655784606934,17.25,19.450000762939453,55.0,69.4000015258789,0.1033084648867485,1536.3298637390135,11.0,0.0004303227965629
w30_aov,22.748190404975265,18.173448437244613,-0.07165527801256427,0.09611999999999998,0.03608153791546603,0.0,0.0,0.0,0.0,10.470662593841553,6.073444843292236,50.64800148010257,42.18301963806157,-0.1745809479190278,769.364598083496,4.4,0.0002154974222906
w365_presence_rate,0.33040915567484685,0.3082309032468032,-0.10451048155833703,0.07877,0.04284781824044659,0.0,0.0,0.09342560917139053,0.06849315017461777,0.2874493896961212,0.2575342357158661,0.6366782188415527,0.6356164216995239,-0.09916903527672973,706.4660018920898,3.4,0.0001978796564371
rec_cart,16.911195307513854,21.183982925961686,0.12217575792234107,0.047130709005450466,0.016154162236979012,0.012889999999999957,0.01605000000000001,0.0,0.0,6.0,7.0,45.0,56.0,0.058823529411764705,474.6502571105957,5.8,0.0001329485489086
