scheme,cutoff,n,mean,std,min,max,neff,neff_fraction
ordinary,2025-09-04,188518,1.0,0.0,1.0,1.0,188518.0,1.0
ordinary,2025-09-18,191025,1.0,0.0,1.0,1.0,191025.0,1.0
ordinary,2025-10-02,193694,1.0,0.0,1.0,1.0,193694.0,1.0
ordinary,2025-10-16,197379,1.0,0.0,1.0,1.0,197379.0,1.0
ordinary,ALL,770616,1.0,0.0,1.0,1.0,770616.0,1.0
primary_t05_clip4,2025-09-04,188518,0.9999999999999999,0.8244314941530669,0.25,4.0,112233.98622167081,0.5953489121551832
primary_t05_clip4,2025-09-18,191025,0.9999999999999999,0.8370977366510772,0.25,4.0,112319.24270416042,0.587981901343596
primary_t05_clip4,2025-10-02,193694,1.0,0.8690235673141374,0.25,4.0,110354.25230472811,0.5697350062713771
primary_t05_clip4,2025-10-16,197379,1.0,0.8998155721037056,0.25,4.0,109069.1734845021,0.5525875269633654
primary_t05_clip4,ALL,770616,1.0,0.8585900534322832,0.25,4.0,443602.49605974247,0.5756466204435704
primary_t10_clip4,2025-09-04,188518,0.9999999999999999,1.14774360225386,0.25,4.0,81351.89621170098,0.4315338387406029
primary_t10_clip4,2025-09-18,191025,0.9999999999999999,1.1693360651262201,0.25,4.0,80691.59842598719,0.42241381194077837
primary_t10_clip4,2025-10-02,193694,1.0,1.1934256197064816,0.25,4.0,79898.04051482183,0.41249620801275116
primary_t10_clip4,2025-10-16,197379,0.9999999999999999,1.2074342290757287,0.25,4.0,80304.00235224247,0.40685180466129867
primary_t10_clip4,ALL,770616,1.0,1.1800875525243106,0.25,4.0,322082.19680362556,0.4179542039143043
primary_t10_clip10,2025-09-04,188518,0.9999999999999997,1.6690058180421161,0.1,10.0,49798.968467617604,0.2641602842572996
primary_t10_clip10,2025-09-18,191025,1.0,1.7312291646270164,0.1,10.0,47790.24773785145,0.25017797533229397
primary_t10_clip10,2025-10-02,193694,1.0,1.8006286187633396,0.1,10.0,45658.17364455077,0.2357232213932841
primary_t10_clip10,2025-10-16,197379,1.0,1.8628431836155326,0.1,10.0,44154.55111266007,0.22370440174821066
primary_t10_clip10,ALL,770616,0.9999999999999999,1.7686612030548075,0.1,10.0,186672.88632927003,0.242238529084875
behavior_t05_clip4,2025-09-04,188518,0.9999999999999997,0.1829379436725511,0.5789642258685546,2.2983948003371837,182413.30326767964,0.9676174331770953
behavior_t05_clip4,2025-09-18,191025,0.9999999999999999,0.18233330972439601,0.5794360298655732,2.211298323603201,184878.62938936352,0.9678242606431803
behavior_t05_clip4,2025-10-02,193694,1.0,0.18229133342067844,0.5727049591627286,2.264310558040625,187464.52927670078,0.9678385973582082
behavior_t05_clip4,2025-10-16,197379,1.0,0.18406540296727467,0.5612375671723061,2.222734716946326,190910.92403923924,0.967230171594948
behavior_t05_clip4,ALL,770616,0.9999999999999999,0.18291573935037175,0.5612375671723061,2.2983948003371837,745667.3371825725,0.9676250391668126
behavior_t10_clip4,2025-09-04,188518,1.0,0.3726079637184173,0.3243538640785,4.0,165535.58634835397,0.8780890225249258
behavior_t10_clip4,2025-09-18,191025,0.9999999999999997,0.3712742842225172,0.3249493642670046,4.0,167883.20741366918,0.8788546389931642
behavior_t10_clip4,2025-10-02,193694,1.0,0.3718870162642096,0.31744721362362893,4.0,170160.77310056708,0.8785030672120308
behavior_t10_clip4,2025-10-16,197379,1.0,0.37667417150249055,0.304672357291284,4.0,172853.89607998743,0.8757461334791818
behavior_t10_clip4,ALL,770616,1.0,0.37314370159261134,0.304672357291284,4.0,676432.1438281448,0.8777810788098673
