model,feature,abs_standardized_coef
D0-linear,gap_max_frac,13.405527
D0-linear,gap_std,10.938479
D0-linear,gap_cv,4.8354616
D0-linear,w365_gmv30eq,1.8111541
D0-linear,w365_gmv_max,1.3038555
D0-linear,dlog_gmv_90_365,1.2792518
D0-linear,trend_pres_90_365,1.2408521
D0-linear,trend_pres_60_180,1.0453917
D0-linear,w365_gmv,1.018451
D0-linear,w365_days_cart,0.9944269
D0-linear,w180_gmv_max,0.98590344
D0-linear,rec_buy,0.9604764
D0-linear,w365_lgmv,0.95344144
D0-linear,w90_gmv30eq,0.94638044
D0-linear,w365_carts,0.9076886
D0-linear,w365_aov,0.8294798
D0-linear,w180_searches,0.8046907
D0-linear,w60_days_cart,0.78823644
D0-linear,w180_gmv,0.7336184
D0-linear,w180_srch_per_day,0.7124577
D0-linear,w365_lgmv_mean,0.70877045
D0-linear,tenure_frac,0.6290208
D0-linear,dlog_buyd_90_365,0.6055522
D0-linear,buygap_std,0.5903446
D0-linear,w60_searches,0.5777208
D0-linear,trend_gmv_90_365,0.5694999
D0-linear,gap_mean,0.56532145
D0-linear,trend_pres_30_90,0.55947393
D0-linear,dlog_buyd_30_60,0.556526
D0-linear,trend_pres_30_60,0.52621806
D0-linear,w90_days_search,0.518612
D0-linear,w180_days_cat,0.50924706
D0-linear,w90_carts,0.49345818
D0-linear,w60_carts,0.4620486
D0-linear,w365_gmv_per_day,0.42721915
D0-linear,w180_aov,0.4251484
D0-linear,buygap_mean,0.41674662
D0-linear,dlog_buyd_60_180,0.4108041
D0-linear,dlog_gmv_30_90,0.40437642
D0-linear,w365_days_cat,0.40280026
D0-linear,w90_days_cart,0.3856934
D0-linear,w180_days_cart,0.3693661
D0-linear,w60_srch_per_day,0.36930868
D0-linear,w365_orders,0.36248937
D0-linear,w365_days_buy,0.36154398
D0-linear,w180_gmv_per_day,0.35855097
D0-linear,w90_lgmv_mean,0.3537857
D0-linear,w90_searches,0.3452502
D0-linear,w180_presence_rate,0.32949266
D0-linear,w180_days_present,0.32947236
D0-linear,trend_gmv_60_180,0.32851535
D0-linear,w90_orders,0.3109365
D0-linear,rec_cat,0.3077665
D0-linear,dlog_gmv_60_180,0.27657333
D0-linear,w365_days_search,0.27057388
D0-linear,w365_days_presence_only,0.26865646
D0-linear,w60_days_presence_only,0.247992
D0-linear,w60_cart2ord,0.23999771
D0-linear,w90_cart2ord,0.23693271
D0-linear,w30_days_buy,0.22292499
D0-linear,w90_lgmv,0.21958534
D0-linear,w180_lgmv_mean,0.21156101
D0-linear,w365_buyday_rate,0.20416276
D0-linear,w30_gmv,0.20153157
D0-linear,dlog_buyd_30_90,0.20101044
D0-linear,w180_days_search,0.19184431
D0-linear,w60_presence_rate,0.18972558
D0-linear,w60_days_present,0.18966062
D0-linear,w180_cart2ord,0.18304667
D0-linear,w180_gmv30eq,0.18271732
D0-linear,w30_lgmv_mean,0.18057096
D0-linear,w90_buyday_rate,0.17769046
D0-linear,w90_srch_per_day,0.1724289
D0-linear,w60_buyday_rate,0.1709991
D0-linear,dlog_buyd_14_30,0.16935468
D0-linear,w60_gmv30eq,0.16823976
D0-linear,w180_orders,0.16450883
D0-linear,trend_pres_14_30,0.1578115
D0-linear,w30_days_cart,0.1564345
D0-linear,w365_ponly_share,0.15612993
D0-linear,w14_gmv30eq,0.1522866
D0-linear,trend_srch_30_90,0.14906952
D0-linear,dlog_buyd_7_30,0.14857215
D0-linear,w365_lgmv_std,0.14447235
D0-linear,w30_searches,0.14184326
D0-linear,w180_carts,0.1344828
D0-linear,w90_gmv_max,0.1333946
D0-linear,w7_gmv30eq,0.13252373
D0-linear,w365_srch2cart,0.13153552
D0-linear,w90_gmv,0.12968455
D0-linear,w60_gmv,0.12781738
D0-linear,rec_any,0.122663066
D0-linear,trend_pres_7_30,0.118451536
D0-linear,w7_lgmv,0.114681736
D0-linear,w60_lgmv,0.11430715
D0-linear,trend_gmv_30_90,0.114077166
D0-linear,w180_buyday_rate,0.11369016
D0-linear,w90_srch2cart,0.11196427
D0-linear,w60_days_cat,0.11193397
D0-linear,w14_gmv_max,0.11039986
D0-linear,trend_srch_60_180,0.10997136
D0-linear,w60_gmv_per_day,0.10985197
D0-linear,w30_carts,0.10723306
D0-linear,dlog_gmv_30_60,0.10629375
D0-linear,w365_cart2ord,0.0997105
D0-linear,w30_days_present,0.098320894
D0-linear,w30_presence_rate,0.09785807
D0-linear,rec_over_gap,0.09741621
D0-linear,w7_days_buy,0.096489735
D0-linear,w30_days_presence_only,0.09636184
D0-linear,w60_orders,0.0960497
D0-linear,w14_carts,0.095703214
D0-linear,w180_lgmv_std,0.091336936
D0-linear,w365_days_present,0.09120613
D0-linear,w365_presence_rate,0.09118225
D0-linear,w14_gmv,0.09078279
D0-linear,w90_days_cat,0.09048177
D0-linear,w7_gmv,0.08857839
D0-linear,w14_days_present,0.087823935
D0-linear,w180_ponly_share,0.087778345
D0-linear,w14_presence_rate,0.08773791
D0-linear,w7_cart2ord,0.08647359
D0-linear,weekend_share,0.086435296
D0-linear,w30_days_search,0.08643075
D0-linear,w90_days_buy,0.08502835
D0-linear,w365_searches,0.08410014
D0-linear,rec_cart,0.083978966
D0-linear,w60_days_search,0.08174427
D0-linear,w90_gmv_cat,0.079651475
D0-linear,w14_lgmv,0.079632446
D0-linear,w60_gmv_max,0.07957406
D0-linear,w14_orders,0.07925294
D0-linear,buygap_cv,0.07923851
D0-linear,w14_lgmv_mean,0.07693432
D0-linear,w7_lgmv_mean,0.07450722
D0-linear,w180_srch2cart,0.073121786
D0-linear,w30_srch_per_day,0.072741754
D0-linear,rec_over_buygap,0.072374925
D0-linear,w90_days_presence_only,0.06887591
D0-linear,w365_srch_per_day,0.06806233
D0-linear,w7_days_search,0.06768864
D0-linear,w180_lgmv,0.067374125
D0-linear,w7_gmv_per_day,0.0673682
D0-linear,w90_lgmv_std,0.06479855
D0-linear,w30_orders,0.06416584
D0-linear,w180_days_buy,0.06408945
D0-linear,dlog_buyd_7_14,0.06406333
D0-linear,w7_srch_per_day,0.06343349
D0-linear,w60_srch2cart,0.06325939
D0-linear,w30_gmv_max,0.06100014
D0-linear,trend_srch_90_365,0.059506137
D0-linear,w90_days_present,0.059452422
D0-linear,w90_presence_rate,0.059364744
D0-linear,w14_cart2ord,0.05893576
D0-linear,w180_gmv_cat,0.058842175
D0-linear,w60_days_buy,0.057582658
D0-linear,trend_srch_7_30,0.05660676
D0-linear,w14_days_buy,0.056541134
D0-linear,w90_ponly_share,0.056197535
D0-linear,w30_lgmv,0.05573081
D0-linear,w30_gmv30eq,0.05573081
D0-linear,w14_days_search,0.055086665
D0-linear,w7_gmv_cat,0.055074155
D0-linear,w7_carts,0.05505941
D0-linear,w14_srch2cart,0.053132586
D0-linear,w7_gmv_max,0.05251345
D0-linear,w14_gmv_cat,0.052044254
D0-linear,w14_gmv_per_day,0.05109155
D0-linear,w90_gmv_per_day,0.050689936
D0-linear,w90_aov,0.050005384
D0-linear,w60_aov,0.04995238
D0-linear,w365_gmv_cat,0.048056733
D0-linear,w14_days_cart,0.047527634
D0-linear,dlog_gmv_7_30,0.04668135
D0-linear,rec_search,0.04644477
D0-linear,w90_cat_gmv_share,0.04643529
D0-linear,w30_aov,0.04550197
D0-linear,w60_gmv_cat,0.040526904
D0-linear,w30_buyday_rate,0.04049051
D0-linear,w14_srch_per_day,0.04021825
D0-linear,w30_srch2cart,0.039959222
D0-linear,w30_ponly_share,0.039297577
D0-linear,dlog_gmv_14_30,0.03886586
D0-linear,w60_ponly_share,0.038148224
D0-linear,trend_srch_14_30,0.037470095
D0-linear,trend_gmv_14_30,0.037443526
D0-linear,w7_srch2cart,0.03743819
D0-linear,w180_days_presence_only,0.03723288
D0-linear,trend_gmv_30_60,0.036931783
D0-linear,w365_cat_gmv_share,0.036556683
D0-linear,w30_gmv_per_day,0.03639028
D0-linear,w60_lgmv_mean,0.03632989
D0-linear,w30_gmv_cat,0.036047004
D0-linear,trend_srch_30_60,0.034555547
D0-linear,w60_cat_gmv_share,0.034372035
