scheme,model,weighted_wcv,rank,ordinary_wcv,delta_vs_ordinary
behavior_t05_clip4,SEQ-01-MIX,1.734007272542306,1.0,1.7483427843591761,-0.014335511816870206
behavior_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,1.7340127179706082,2.0,1.7483471314893495,-0.014334413518741318
behavior_t05_clip4,S1-DIST-MIX,1.7351517877481784,3.0,1.7494835972519431,-0.01433180950376478
behavior_t05_clip4,S1-SEEDAVG3,1.7361194144568748,4.0,1.750456402868583,-0.014336988411708163
behavior_t05_clip4,S1-DIST,1.7362843098879281,5.0,1.7506161139914842,-0.014331804103556056
behavior_t05_clip4,S1-ROUNDS,1.7367245197362473,6.0,1.7510761354262978,-0.014351615690050501
behavior_t05_clip4,S1-E02,1.7371753007257362,7.0,1.7515059932485448,-0.014330692522808608
behavior_t05_clip4,S1-E10,1.7373343636209702,8.0,1.7516982379457107,-0.014363874324740511
behavior_t05_clip4,SEQ-01-S42,1.7383457916152059,9.0,1.7526995451684064,-0.014353753553200566
behavior_t05_clip4,S1-E03a,1.7464122321752802,10.0,1.760642087514469,-0.014229855339188857
behavior_t10_clip4,SEQ-01-MIX,1.7181673260490764,1.0,1.7483427843591761,-0.030175458310099712
behavior_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,1.718174752618105,2.0,1.7483471314893495,-0.030172378871244465
behavior_t10_clip4,S1-DIST-MIX,1.7193123748127255,3.0,1.7494835972519431,-0.03017122243921766
behavior_t10_clip4,S1-SEEDAVG3,1.7202599213926002,4.0,1.750456402868583,-0.03019648147598275
behavior_t10_clip4,S1-DIST,1.7204339257137986,5.0,1.7506161139914842,-0.030182188277685595
behavior_t10_clip4,S1-ROUNDS,1.7208544858627886,6.0,1.7510761354262978,-0.030221649563509256
behavior_t10_clip4,S1-E02,1.721346957198936,7.0,1.7515059932485448,-0.0301590360496089
behavior_t10_clip4,S1-E10,1.7214458941111515,8.0,1.7516982379457107,-0.030252343834559214
behavior_t10_clip4,SEQ-01-S42,1.722515068837785,9.0,1.7526995451684064,-0.03018447633062138
behavior_t10_clip4,S1-E03a,1.7306826400573463,10.0,1.760642087514469,-0.029959447457122756
ordinary,SEQ-01-MIX,1.7483427843591761,1.0,1.7483427843591761,0.0
ordinary,SEQ-MIX-ROUNDS-CONTROL,1.7483471314893495,2.0,1.7483471314893495,0.0
ordinary,S1-DIST-MIX,1.7494835972519431,3.0,1.7494835972519431,0.0
ordinary,S1-SEEDAVG3,1.750456402868583,4.0,1.750456402868583,0.0
ordinary,S1-DIST,1.7506161139914842,5.0,1.7506161139914842,0.0
ordinary,S1-ROUNDS,1.7510761354262978,6.0,1.7510761354262978,0.0
ordinary,S1-E02,1.7515059932485448,7.0,1.7515059932485448,0.0
ordinary,S1-E10,1.7516982379457107,8.0,1.7516982379457107,0.0
ordinary,SEQ-01-S42,1.7526995451684064,9.0,1.7526995451684064,0.0
ordinary,S1-E03a,1.760642087514469,10.0,1.760642087514469,0.0
primary_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,1.7573701478255317,1.0,1.7483471314893495,0.009023016336182188
primary_t05_clip4,SEQ-01-MIX,1.7573717814083933,2.0,1.7483427843591761,0.009028997049217224
primary_t05_clip4,S1-DIST-MIX,1.758592534589792,3.0,1.7494835972519431,0.009108937337848788
primary_t05_clip4,S1-SEEDAVG3,1.7594933772738648,4.0,1.750456402868583,0.009036974405281839
primary_t05_clip4,S1-DIST,1.7596593025481302,5.0,1.7506161139914842,0.009043188556645987
primary_t05_clip4,S1-ROUNDS,1.760051340224469,6.0,1.7510761354262978,0.008975204798171266
primary_t05_clip4,S1-E10,1.760724481116813,7.0,1.7516982379457107,0.009026243171102344
primary_t05_clip4,S1-E02,1.7612737950555852,8.0,1.7515059932485448,0.0097678018070404
primary_t05_clip4,SEQ-01-S42,1.7614557226690495,9.0,1.7526995451684064,0.008756177500643059
primary_t05_clip4,S1-E03a,1.7693484665469776,10.0,1.760642087514469,0.008706379032508593
primary_t10_clip10,SEQ-MIX-ROUNDS-CONTROL,1.7449037151492954,1.0,1.7483471314893495,-0.003443416340054073
primary_t10_clip10,SEQ-01-MIX,1.7449224741420764,2.0,1.7483427843591761,-0.0034203102170997646
primary_t10_clip10,S1-DIST-MIX,1.7462284677678035,3.0,1.7494835972519431,-0.0032551294841396405
primary_t10_clip10,S1-SEEDAVG3,1.7470647788892981,4.0,1.750456402868583,-0.00339162397928483
primary_t10_clip10,S1-DIST,1.7472682552179544,5.0,1.7506161139914842,-0.0033478587735298326
primary_t10_clip10,S1-ROUNDS,1.7475014331708372,6.0,1.7510761354262978,-0.003574702255460638
primary_t10_clip10,S1-E10,1.7482970173375079,7.0,1.7516982379457107,-0.003401220608202804
primary_t10_clip10,SEQ-01-S42,1.7488819922570262,8.0,1.7526995451684064,-0.0038175529113801954
primary_t10_clip10,S1-E02,1.7494501236337503,9.0,1.7515059932485448,-0.0020558696147945366
primary_t10_clip10,S1-E03a,1.7564073136681386,10.0,1.760642087514469,-0.00423477384633042
