arm,group,cohort,n,base,score,delta,base_offset,offset,correction_mean,correction_var,correction_residual_corr,shrink
ANNIV_REAL,A,all,124787,1.6694247265888973,1.668498673529395,-0.0009260530595023297,-0.21286764299530292,-0.2133327261125589,0.00014179393816238925,0.006211460144902294,0.034910563156335166,1.0
ANNIV_REAL,A,target_zero,57369,1.5941846867714922,1.5867086072017873,-0.007476079569704863,,,,,,
ANNIV_REAL,A,target_positive,67418,1.7308760547168558,1.735063820367904,0.004187765651048281,,,,,,
ANNIV_REAL,A,annual_buyer,45820,1.7026086305764232,1.7015644474185867,-0.001044183157836498,,,,,,
ANNIV_REAL,A,annual_nonbuyer,78967,1.6498640556267437,1.6490085633803526,-0.0008554922463910319,,,,,,
ANNIV_REAL,A,recent_buyer,70204,1.7527524097410727,1.7515801640018624,-0.0011722457392102648,,,,,,
ANNIV_REAL,A,recent_nonbuyer,54583,1.5557014028260694,1.5551281664551881,-0.0005732363708812471,,,,,,
ANNIV_REAL,A,rec_buy_15_60,39144,1.8861013320800646,1.884945868861981,-0.0011554632180836855,,,,,,
ANNIV_REAL,A,base_low,41732,1.3628304232131359,1.361983169478428,-0.0008472537347079534,,,,,,
ANNIV_REAL,A,base_mid,41366,1.9435145033875612,1.9425805073630418,-0.000933996024519379,,,,,,
ANNIV_REAL,A,base_high,41689,1.6537873901889344,1.6527772614203127,-0.0010101287686217209,,,,,,
ANNIV_REAL,B,all,125213,1.6677722897960259,1.6664193987739149,-0.0013528910221110024,-0.21209629964567853,-0.21185444359437366,-0.00023739764922262247,0.004311503665547663,0.04214999513512383,0.75
ANNIV_REAL,B,target_zero,57466,1.5973071330837565,1.5912596926502278,-0.0060474404335286724,,,,,,
ANNIV_REAL,B,target_positive,67747,1.7252894336739262,1.727611931247774,0.002322497573847837,,,,,,
ANNIV_REAL,B,annual_buyer,45999,1.701391693478222,1.6995432297020685,-0.0018484637761535527,,,,,,
ANNIV_REAL,B,annual_nonbuyer,79214,1.6479349963343775,1.6468788948885504,-0.001056101445827018,,,,,,
ANNIV_REAL,B,recent_buyer,70566,1.7521964253571733,1.7504798845017353,-0.0017165408554380424,,,,,,
ANNIV_REAL,B,recent_nonbuyer,54647,1.5519756223815704,1.55114689004402,-0.0008287323375504307,,,,,,
ANNIV_REAL,B,rec_buy_15_60,39577,1.8919128513214372,1.8907847798381443,-0.0011280714832928584,,,,,,
ANNIV_REAL,B,base_low,41602,1.3494139993335277,1.3485579969171524,-0.00085600241637529,,,,,,
ANNIV_REAL,B,base_mid,41967,1.94959500339637,1.948348811504852,-0.0012461918915180892,,,,,,
ANNIV_REAL,B,base_high,41644,1.6473246580045477,1.6453929929651085,-0.001931665039439201,,,,,,
