model,feature,gain,split,gain_share
p07_early,trend_pres_30_60,665.4006346702575,62.0,0.028921793910358925
p07_early,rec_cat,615.4054320335388,64.2,0.026748740757377844
p07_early,rec_over_gap,437.3917151451111,45.4,0.019011332999094844
p07_early,trend_pres_30_90,385.42823390960694,39.0,0.016752728157362444
p07_early,weekend_share,375.10353832244874,37.8,0.01630396285357376
p07_early,rec_over_buygap,362.0114323616028,37.6,0.015734911411896358
p07_early,trend_srch_30_90,314.5812810897827,33.2,0.013673348815250333
p07_early,dlog_buyd_30_60,313.4557218551636,24.4,0.013624426120378412
p07_early,rec_buy,304.85512790679934,31.4,0.013250599296776813
p07_early,buygap_cv,297.8829853057861,31.6,0.012947553491117092
p07_early,trend_srch_14_30,296.93494720458983,30.8,0.012906346793748137
p07_early,trend_pres_7_14,292.60452823638917,31.8,0.012718124122445948
p07_early,trend_srch_60_180,283.0539510726929,29.0,0.012303006056635436
p07_early,trend_pres_7_30,278.96137647628785,29.6,0.012125121346473335
p07_early,trend_pres_14_30,276.9386408805847,30.0,0.012037202671639094
p07_early,w14_srch2cart,253.42799692153932,27.0,0.011015307043871473
p07_early,trend_srch_7_14,252.90013694763184,26.2,0.010992363486887272
p07_early,trend_pres_60_180,247.66350975036622,27.0,0.01076475226337266
p07_early,w180_ponly_share,245.2755989074707,25.6,0.010660961161176373
p07_early,rec_cart,244.62718534469604,27.0,0.010632777714311247
p07_early,trend_srch_30_60,244.2020791053772,26.2,0.010614300372386738
p07_early,w7_lgmv_mean,232.66438751220704,24.0,0.010112811914047184
p07_early,w60_lgmv_std,232.6606731414795,24.6,0.010112650468056466
p07_early,w7_gmv_max,225.22581405639647,23.8,0.00978949258240478
p07_early,dlog_gmv_30_60,222.29645757675172,16.8,0.009662167419217575
p07_early,w7_srch_per_day,221.72042541503907,23.6,0.009637130046845594
p07_early,rec_search,204.39152631759643,21.8,0.008883925402491739
p07_early,w14_days_presence_only,203.0897087097168,19.8,0.008827341596282071
p07_early,w14_lgmv_std,202.84721450805665,21.2,0.008816801529201512
p07_early,w14_lgmv_mean,202.63413190841675,21.4,0.00880753984426831
p07_early,w180_lgmv_std,198.9139814376831,21.2,0.008645842635663448
p07_early,buygap_std,197.76371507644654,21.6,0.008595846039765717
p07_early,w90_lgmv_std,194.69512128829956,20.8,0.00846246889446231
p07_early,w180_days_presence_only,194.43648357391356,20.2,0.008451227145832742
p07_early,trend_srch_7_30,192.55973653793336,20.0,0.008369653897824954
p07_early,gap_cv,187.62953023910524,21.0,0.008155361330188734
p07_early,w180_lgmv_mean,184.53717203140258,19.4,0.008020951258842012
p07_early,dlog_buyd_60_180,181.4070701599121,19.6,0.007884900650338252
p07_early,w7_searches,175.91556949615477,17.8,0.007646211292107486
p07_early,buygap_mean,174.74360790252686,18.8,0.007595271707869549
p07_early,w30_lgmv_std,174.35269536972046,18.6,0.007578280603380438
p07_early,trend_gmv_60_180,172.79367389678956,17.4,0.00751051737113724
p07_early,w90_srch_per_day,169.90001173019408,17.8,0.0073847436695988426
p07_early,w30_srch_per_day,169.67945356369017,19.4,0.0073751570574068755
p07_early,w14_carts,166.7544075012207,17.0,0.0072480192475083745
p07_early,w180_days_cat,165.82439775466918,18.2,0.007207596156782414
p07_early,w30_lgmv_mean,165.18432064056395,17.8,0.007179775055604681
p07_early,w60_srch2cart,160.57176628112794,17.0,0.006979289303663604
p07_early,w14_srch_per_day,159.2647744178772,17.4,0.006922480597236406
p07_early,w180_cart2ord,154.81337394714356,16.2,0.006728999436685918
p07_early,w180_srch_per_day,152.6134687423706,17.0,0.0066333800434367676
p07_early,w90_buyday_rate,151.45074558258057,16.2,0.006582842009882121
p07_early,w7_srch2cart,144.27390203475952,15.4,0.006270898829786072
p07_early,trend_gmv_30_60,140.6266881942749,15.4,0.006112371828840577
p07_early,w7_aov,140.23524589538573,15.0,0.006095357697945015
p07_early,w14_ponly_share,138.65122365951538,14.4,0.006026507801704728
p07_early,w30_srch2cart,138.4636854171753,15.0,0.00601835640822438
p07_early,w90_srch2cart,134.6758683204651,13.6,0.005853718053926034
p07_early,dlog_gmv_7_14,132.80012140274047,13.6,0.005772188276291682
p07_early,w180_srch2cart,132.29628400802613,14.4,0.005750288866319701
p07_early,w30_gmv_max,131.780672454834,13.2,0.005727877689801041
p07_early,w60_days_present,131.62271957397462,13.6,0.005721012230963561
p07_early,w30_ponly_share,129.22885971069337,14.0,0.005616962553207527
p07_early,w14_searches,128.85056753158568,13.0,0.005600519995337899
p07_early,w90_ponly_share,128.0432580947876,13.4,0.005565430102217294
p07_early,w90_gmv_max,127.9332468032837,13.6,0.00556064843575215
p07_early,w60_srch_per_day,127.6073842048645,14.0,0.00554648474184578
