model,feature,gain,split,gain_share,task
p07_late,trend_pres_7_14,916.144489479065,44.6,0.03633429336663171,p07_late
p07_late,rec_cat,671.9314723968506,60.8,0.026648804332406413,p07_late
p07_late,trend_srch_30_60,578.5170568466186,52.6,0.02294398831457003,p07_late
p07_late,rec_buy,576.4812702178955,44.0,0.022863249010399843,p07_late
p07_late,w14_srch2cart,523.0447661399842,48.0,0.02074395708870957,p07_late
p07_late,trend_pres_60_180,399.43223037719724,39.8,0.015841483527195027,p07_late
p07_late,trend_pres_7_30,398.30627155303955,25.2,0.015796827996647705,p07_late
p07_late,trend_srch_7_14,363.70447664260865,36.6,0.014424520700445441,p07_late
p07_late,rec_over_buygap,333.50378131866455,30.8,0.013226761027841392,p07_late
p07_late,trend_pres_14_30,328.1780591964722,33.2,0.013015542871536235,p07_late
p07_late,weekend_share,323.92708721160886,33.2,0.012846949309095902,p07_late
p07_late,w60_lgmv_std,298.2472576141357,29.0,0.011828487185582772,p07_late
p07_late,rec_over_gap,296.8288228034973,28.8,0.011772232056481374,p07_late
p07_late,w30_lgmv_std,294.6720983505249,28.6,0.011686696357816804,p07_late
p07_late,trend_pres_30_60,293.97044534683226,31.0,0.011658868797458675,p07_late
p07_late,trend_srch_14_30,292.0664113044739,29.6,0.011583354801282765,p07_late
p07_late,trend_srch_30_90,292.03671045303344,28.8,0.01158217686542017,p07_late
p07_late,w30_lgmv_mean,283.69320611953736,27.6,0.011251273457016339,p07_late
p07_late,w7_srch_per_day,274.46671905517576,25.6,0.010885350950697965,p07_late
p07_late,trend_gmv_60_180,271.91471061706545,27.0,0.010784138287925585,p07_late
p07_late,w14_srch_per_day,242.36027164459227,25.2,0.009612009144276358,p07_late
p07_late,buygap_cv,240.71996326446532,24.8,0.009546954508703354,p07_late
p07_late,buygap_std,239.97484979629516,23.4,0.009517403306185815,p07_late
p07_late,trend_pres_30_90,232.3308374404907,23.8,0.009214241751842042,p07_late
p07_late,w90_lgmv_std,231.4645380973816,23.6,0.00917988431713898,p07_late
p07_late,trend_srch_60_180,230.07745895385742,23.2,0.009124872753895062,p07_late
p07_late,w90_srch2cart,224.65447120666505,23.0,0.00890979704259304,p07_late
p07_late,w14_carts,220.40591850280762,20.0,0.008741299428845096,p07_late
p07_late,w7_days_presence_only,220.11606245040895,19.6,0.008729803736885047,p07_late
p07_late,gap_cv,214.92198696136475,21.8,0.008523806686469262,p07_late
p07_late,w14_ponly_share,213.54877119064332,19.0,0.008469344944634796,p07_late
p07_late,w60_lgmv_mean,213.51715250015258,20.8,0.008468090947269366,p07_late
p07_late,rec_cart,211.34551753997803,21.6,0.008381963897841734,p07_late
p07_late,w7_carts,209.4850609779358,14.2,0.008308178184673765,p07_late
p07_late,w180_lgmv_std,207.07432622909545,21.6,0.008212568436867167,p07_late
p07_late,w7_gmv_max,206.45399074554444,19.0,0.008187965929616493,p07_late
p07_late,w14_cart2ord,204.83151483535767,18.6,0.008123618529858033,p07_late
p07_late,w60_srch2cart,202.04595785140992,20.2,0.008013143331014915,p07_late
p07_late,w60_srch_per_day,199.78313598632812,20.0,0.007923399808648632,p07_late
p07_late,trend_srch_7_30,195.47233180999757,20.0,0.007752433301304406,p07_late
p07_late,dlog_gmv_30_60,195.08777437210082,17.6,0.007737181752094297,p07_late
p07_late,w180_cart2ord,193.34390258789062,19.0,0.0076680197915859555,p07_late
p07_late,w180_srch_per_day,190.5470742225647,18.6,0.007557097569721529,p07_late
p07_late,dlog_buyd_30_60,189.4667860031128,16.6,0.007514253335502098,p07_late
p07_late,trend_gmv_7_14,188.56603832244872,14.2,0.00747852967962204,p07_late
p07_late,w30_ponly_share,188.09833583831787,19.2,0.007459980597613835,p07_late
p07_late,w180_srch2cart,188.02810096740723,19.6,0.007457195082410129,p07_late
p07_late,dlog_gmv_7_30,186.77407455444336,17.8,0.007407460390883422,p07_late
p07_late,w30_srch2cart,186.66307830810547,19.2,0.0074030582794006265,p07_late
p07_late,w90_ponly_share,183.9612858772278,19.2,0.007295905182998688,p07_late
p07_late,w7_srch2cart,181.13367080688477,18.0,0.007183761960315362,p07_late
p07_late,w60_ponly_share,177.6871780395508,17.2,0.007047074046200971,p07_late
p07_late,dlog_buyd_60_180,172.33625717163085,17.4,0.006834856507560111,p07_late
p07_late,w180_lgmv_mean,172.20690975189208,17.2,0.0068297265884818695,p07_late
p07_late,w180_carts,164.3444561958313,16.4,0.006517901655441154,p07_late
p07_late,w90_srch_per_day,163.32236557006837,17.0,0.006477365537972532,p07_late
p07_late,w7_ponly_share,161.80893983840943,16.8,0.006417343068641332,p07_late
p07_late,buygap_mean,159.621902179718,16.6,0.006330605148141532,p07_late
p07_late,w14_lgmv_mean,157.3889705657959,15.2,0.0062420470732313105,p07_late
p07_late,dlog_gmv_14_30,156.0232466697693,15.6,0.0061878824591710705,p07_late
p07_late,dlog_gmv_60_180,148.67128562927246,15.2,0.005896303660921296,p07_late
p07_late,w14_searches,145.04845247268676,14.4,0.005752622086408313,p07_late
p07_late,w60_buyday_rate,141.99201612472535,14.0,0.005631403811126852,p07_late
p07_late,w60_carts,140.94366025924683,13.6,0.00558982601416757,p07_late
p07_late,w30_srch_per_day,138.842849445343,14.2,0.0055065078506063,p07_late
p07_late,w14_buyday_rate,137.7836067199707,13.4,0.005464498280749003,p07_late
p07_late,w180_ponly_share,136.6784101486206,13.4,0.0054206661812140665,p07_late
p07_late,w90_gmv_max,131.73527851104737,13.0,0.005224621564745772,p07_late
p07_late,w30_aov,126.27170820236206,12.4,0.005007936348925865,p07_late
p07_late,w180_gmv_max,126.24756193161011,12.8,0.005006978707751042,p07_late
