task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks
p07_late,2025-10-09,2025-10-16,trend_pres_7_14,0.9343643691847722,0.9609487584590912,0.04693568396918085,0.025800000000000045,0.003274564657799264,0.0,0.0,0.0,0.0,0.9999964833259583,0.9999976754188538,1.9999719858169556,1.9999719858169556,2.235167817517323e-06,916.144489479065,44.6,0.03633429336663171,0.01980251,0.025800000000000045
p07_late,2025-10-09,2025-10-16,rec_cat,34.78284688769245,34.16612643351341,-0.015253470083397279,0.011480703140763715,0.0016740624322774042,0.11775000000000002,0.12075000000000002,1.0,1.0,18.0,18.0,97.0,96.0,0.0,671.9314723968506,60.8,0.026648804332406413,0.0029468762,-0.011480703140763715
p07_late,2025-10-09,2025-10-16,trend_srch_30_60,1.0084009814316561,1.0202519540786898,0.027196751277127815,0.013316666666666643,0.0012088259736654167,0.0,0.0,0.4363635152578354,0.45161202549934387,0.9999986290931702,1.0136979818344116,1.5833293199539185,1.5909332156181333,0.02355445506706661,578.5170568466186,52.6,0.02294398831457003,0.033468187,0.013316666666666643
p07_late,2025-10-09,2025-10-16,rec_buy,27.66186995145724,27.260154478730353,-0.011374600588238653,0.02036106015068928,0.003068547637049144,0.13134999999999997,0.13256666666666672,1.0,1.0,13.0,13.0,76.20000000000437,76.0,0.0,576.4812702178955,44.0,0.022863249010399843,-0.014344063,-0.02036106015068928
p07_late,2025-10-09,2025-10-16,w14_srch2cart,15983.666961993225,15250.34525737458,-0.0019279747152705366,0.012733333333333374,0.0009367228727770007,0.0,0.0,0.0,0.0,0.18564064800739288,0.19999995827674866,0.882352888584137,0.9411764144897461,0.030982175210816428,523.0447661399842,48.0,0.02074395708870957,0.019407133,-0.012733333333333374
p07_late,2025-10-09,2025-10-16,trend_pres_60_180,1.149147705547015,1.1537825417509924,0.011602564937256738,0.010166666666666657,0.0005243878823585566,0.0,0.0,0.7183080315589905,0.7272687554359436,1.0833278894424438,1.0882333517074585,1.6666500568389893,1.6666333675384521,0.011836462373353089,399.43223037719724,39.8,0.015841483527195027,0.008161091,0.010166666666666657
p07_late,2025-10-09,2025-10-16,trend_pres_7_30,1.0220933833273749,1.0513757399799923,0.03768418658170435,0.02626666666666666,0.0027878498688017708,0.0,0.0,0.0,0.0,0.9890087246894836,1.020406723022461,1.836730718612671,1.9047555923461914,0.04159400015365676,398.30627155303955,25.2,0.015796827996647705,-0.02220186,0.02626666666666666
p07_late,2025-10-09,2025-10-16,trend_srch_7_14,0.8932702267806356,0.9193755071118473,0.03831958517409221,0.02021666666666666,0.0017118784804459439,0.0,0.0,0.0,0.0,0.901960551738739,0.9444440603256226,1.9999719858169556,1.9999719858169556,0.03521666999952456,363.70447664260865,36.6,0.014424520700445441,-0.0036297974,0.02021666666666666
p07_late,2025-10-09,2025-10-16,rec_over_buygap,1.9381459661549396,1.935268197424037,-0.0004447183502276973,0.021219330664332903,0.001778552463366177,0.21591666666666665,0.21706666666666663,0.05052774846553806,0.035087719559669495,0.7100590467453003,0.6685712933540344,3.672078227996826,3.6042184829711914,-0.028024018879370397,333.50378131866455,30.8,0.013226761027841392,0.0053728493,-0.021219330664332903
p07_late,2025-10-09,2025-10-16,trend_pres_14_30,1.0114707966712615,1.0165911523292461,0.011083323384797589,0.01043333333333335,0.0008509335616590028,0.0,0.0,0.42857056856155396,0.47618889808654785,1.0150359869003296,1.020406723022461,1.571425437927246,1.5584373474121094,0.012061890377969842,328.1780591964722,33.2,0.013015542871536235,0.020727834,0.01043333333333335
