model,feature,gain,split,gain_share
p07_mid,rec_cat,1553.4351961135865,117.0,0.05897231383187619
p07_mid,trend_pres_14_30,731.5511917114258,54.8,0.02777152633699871
p07_mid,trend_srch_14_30,606.3271073341369,43.4,0.02301770459941858
p07_mid,w7_lgmv_mean,593.1392043113708,40.2,0.022517058574538604
p07_mid,trend_pres_60_180,543.8358771324158,47.0,0.020645380058030724
p07_mid,trend_pres_30_60,458.4030375480652,43.0,0.017402134224460547
p07_mid,dlog_buyd_14_30,411.06946792602537,23.6,0.015605232667499951
p07_mid,trend_srch_30_60,402.154420375824,37.4,0.015266795001563268
p07_mid,dlog_gmv_14_30,356.5221343994141,22.4,0.013534478458073545
p07_mid,trend_pres_7_30,339.9540383338928,31.8,0.012905511789095644
p07_mid,w14_days_cat,339.3586835861206,24.6,0.012882910622909404
p07_mid,dlog_gmv_30_60,317.5157509803772,23.8,0.012053697869228346
p07_mid,trend_pres_7_14,298.040514087677,28.0,0.011314368810082662
p07_mid,w7_gmv_max,287.73815393447876,22.0,0.010923265262484787
p07_mid,rec_over_buygap,277.36197996139526,27.4,0.010529359556314549
p07_mid,weekend_share,267.5536195755005,27.4,0.010157009484486489
p07_mid,trend_srch_7_14,267.08148155212405,25.8,0.010139085935595505
p07_mid,rec_over_gap,260.1325707435608,25.6,0.009875287773935761
p07_mid,w7_days_cat,257.7848430633545,22.4,0.009786162116235146
p07_mid,trend_srch_30_90,249.74342746734618,22.6,0.009480889720343279
p07_mid,buygap_cv,248.8691722869873,25.4,0.009447700791063027
p07_mid,w7_aov,247.0865873336792,22.8,0.009380029375118889
p07_mid,w30_lgmv_std,243.30637035369872,23.6,0.00923652281452742
p07_mid,dlog_buyd_30_60,241.22741489410402,20.4,0.009157600427476813
p07_mid,w180_lgmv_std,239.96599369049073,23.4,0.009109713700512102
p07_mid,w60_lgmv_std,236.96873626708984,24.4,0.008995930257308337
p07_mid,trend_pres_30_90,232.96617403030396,22.6,0.00884398291058291
p07_mid,trend_gmv_14_30,231.1054720878601,21.0,0.00877334597692008
p07_mid,w7_srch_per_day,227.88530073165893,23.0,0.008651100159208848
p07_mid,w30_carts,224.09142274856566,20.0,0.008507074992521133
p07_mid,trend_srch_7_30,223.63664951324463,20.8,0.008489810654734281
p07_mid,w7_ponly_share,223.59464673995973,20.2,0.008488216123636903
p07_mid,w30_srch_per_day,222.96800956726074,22.6,0.008464427397786235
p07_mid,rec_buy,221.90625200271606,21.2,0.008424120405601206
p07_mid,w90_lgmv_std,215.0187219619751,21.8,0.008162652412533182
p07_mid,w180_lgmv_mean,214.5333065032959,21.8,0.008144224818746399
p07_mid,trend_srch_60_180,206.2767360687256,21.0,0.007830784603112926
p07_mid,w14_ponly_share,196.3145167350769,18.8,0.007452593657989677
