model,feature,gain,split,gain_share,task
p105_max,w180_days_cat,11044.264381980896,276.6,0.11819890185452239,p105_max
p105_max,trend_pres_60_180,8484.527123260497,41.4,0.09080385565203462,p105_max
p105_max,w180_days_presence_only,6784.667193412781,151.0,0.07261146455513946,p105_max
p105_max,w90_days_cat,6134.573171615601,146.0,0.06565397088956003,p105_max
p105_max,w180_ponly_share,5035.820614433289,129.0,0.0538948042147123,p105_max
p105_max,trend_pres_30_90,3399.8780628204345,66.2,0.03638647532924944,p105_max
p105_max,trend_srch_60_180,3284.522015762329,31.4,0.03515190165254603,p105_max
p105_max,gap_cv,2806.5245769500734,89.8,0.030036235239392924,p105_max
p105_max,rec_cat,2767.628964805603,80.6,0.029619963183289605,p105_max
p105_max,weekend_share,2604.509161758423,72.0,0.02787420801806922,p105_max
p105_max,w7_days_present,2418.862903213501,15.8,0.025887368230965643,p105_max
p105_max,dlog_buyd_30_90,2119.0997926712034,46.6,0.022679216990000844,p105_max
p105_max,w90_ponly_share,2081.785697555542,64.8,0.022279870785145203,p105_max
p105_max,w180_buyday_rate,2055.7741607666017,45.0,0.022001487818415662,p105_max
p105_max,w30_lgmv_mean,1913.8758422851563,61.8,0.02048285109989645,p105_max
p105_max,w7_searches,1618.039719772339,33.6,0.01731672761710789,p105_max
p105_max,w7_lgmv_mean,1099.3814422607422,16.2,0.011765897184286141,p105_max
p105_max,w90_days_presence_only,1042.4367610931397,36.2,0.01115645878733432,p105_max
p105_max,w90_srch_per_day,1006.3555194854737,36.2,0.010770306936195014,p105_max
p105_max,dlog_gmv_30_90,835.1382818222046,22.2,0.008937890690946334,p105_max
p105_max,w180_orders,764.0537826538086,25.2,0.008177123884757644,p105_max
p105_max,w14_searches,751.211757850647,24.0,0.008039684832519926,p105_max
p105_max,w90_orders,741.8575399398803,18.8,0.007939573295298447,p105_max
p105_max,rec_over_gap,718.636100769043,18.0,0.007691050757758264,p105_max
p105_max,w30_lgmv_std,693.2717624664307,29.8,0.007419594295838828,p105_max
p105_max,w30_srch2cart,671.483842086792,30.0,0.007186413689734472,p105_max
p105_max,w7_srch_per_day,628.6162006378174,14.6,0.006727631830742664,p105_max
p105_max,w90_cart2ord,627.3404811859131,24.6,0.006713978713334902,p105_max
p105_max,w30_aov,627.229998588562,22.6,0.006712796296722146,p105_max
p105_max,trend_gmv_30_90,599.3564020156861,21.4,0.006414485029289502,p105_max
p105_max,w30_days_present,596.8386989593506,13.2,0.006387539845240834,p105_max
p105_max,dlog_buyd_60_180,594.0682998657227,27.6,0.0063578902353401655,p105_max
p105_max,w90_buyday_rate,545.2069595336914,16.4,0.005834962082713823,p105_max
p105_max,trend_srch_7_30,513.4522811889649,16.2,0.0054951143591104295,p105_max
p105_max,w14_lgmv_mean,479.4549180984497,11.4,0.005131264776715008,p105_max
p105_max,w180_srch_per_day,456.60017986297606,18.2,0.004886666778317489,p105_max
p105_max,w180_cart2ord,455.57105960845945,18.6,0.00487565283662314,p105_max
p105_max,buygap_cv,407.5686201095581,18.0,0.0043619168883633945,p105_max
p105_max,rec_any,406.01117916107177,10.0,0.004345248706269285,p105_max
p105_max,w14_ponly_share,383.89209880828855,17.2,0.004108523930647606,p105_max
p105_max,w7_presence_rate,371.49323616027834,3.2,0.003975827727573101,p105_max
p105_max,w7_gmv_max,356.62906017303465,7.2,0.0038167470303080973,p105_max
p105_max,gap_max,345.3375389099121,15.6,0.0036959019140189947,p105_max
p105_max,buygap_mean,322.65349941253663,13.4,0.003453130782734877,p105_max
p105_max,trend_pres_7_14,318.721559715271,9.0,0.0034110500303822567,p105_max
p105_max,trend_pres_7_30,313.4310396194458,9.2,0.0033544293588791303,p105_max
p105_max,dlog_gmv_30_60,308.77111968994143,9.2,0.003304557552179531,p105_max
p105_max,trend_gmv_30_60,297.9468801498413,11.2,0.0031887134196234923,p105_max
p105_max,w14_days_search,273.26496028900146,9.0,0.0029245603966324457,p105_max
p105_max,w90_days_buy,272.0685214996338,4.0,0.0029117557637344735,p105_max
p105_max,w90_searches,267.7398603439331,9.6,0.0028654291839453378,p105_max
p105_max,w180_carts,256.03237972259524,11.2,0.0027401323506693275,p105_max
p105_max,rec_search,250.49004058837892,9.4,0.0026808166392093113,p105_max
p105_max,w180_days_buy,247.19858264923096,8.8,0.002645590507304829,p105_max
p105_max,w14_days_cat,232.42147941589354,8.8,0.0024874416877581785,p105_max
p105_max,dlog_buyd_30_60,221.6820394515991,7.6,0.0023725051047130256,p105_max
p105_max,w14_aov,218.6251600265503,10.6,0.002339789499703428,p105_max
p105_max,w14_srch_per_day,217.17562046051026,8.4,0.0023242761093159115,p105_max
p105_max,w7_days_search,216.7178005218506,6.8,0.0023193763883272538,p105_max
p105_max,w180_lgmv_std,209.59360027313232,10.8,0.0022431311431152607,p105_max
p105_max,w90_srch2cart,209.26074028015137,10.6,0.002239568779495476,p105_max
p105_max,w180_aov,207.56386051177978,10.8,0.0022214082829459807,p105_max
p105_max,w14_gmv_max,206.46616020202637,5.8,0.002209660377726516,p105_max
p105_max,w60_srch2cart,202.5041015625,9.8,0.002167257283769502,p105_max
p105_max,w180_cat_gmv_share,194.79594078063965,9.2,0.002084762324556059,p105_max
p105_max,w60_days_present,192.90041961669922,7.0,0.0020644759105160884,p105_max
p105_max,w180_lgmv_mean,189.79652061462403,9.6,0.002031257088435805,p105_max
p105_max,trend_pres_30_60,188.06452045440673,7.4,0.002012720723326369,p105_max
p105_max,w30_searches,174.8339204788208,7.0,0.0018711230275538743,p105_max
p105_max,w30_gmv_per_day,173.88316116333007,5.6,0.001860947727223115,p105_max
p105_max,trend_srch_14_30,165.17817916870118,8.2,0.0017677844999730284,p105_max
p105_max,trend_srch_7_14,162.34428062438965,7.8,0.0017374553006420834,p105_max
p105_max,trend_srch_30_60,157.97436008453369,7.0,0.0016906871510272284,p105_max
p105_max,rec_buy,154.7524211883545,7.8,0.0016562050319653117,p105_max
p105_max,w90_lgmv_std,153.84138069152831,7.8,0.0016464548138841923,p105_max
p105_max,w30_days_search,151.10248184204102,6.2,0.0016171423286789124,p105_max
p105_max,w60_lgmv_std,149.83134002685546,7.6,0.0016035382024592042,p105_max
p105_max,w180_gmv_cat,148.30121955871581,7.0,0.0015871624120231919,p105_max
p105_max,w14_lgmv_std,144.77093982696533,6.4,0.001549380340433799,p105_max
p105_max,w30_ponly_share,142.4100383758545,6.2,0.001524113292375502,p105_max
p105_max,trend_pres_14_30,136.49132022857665,7.4,0.0014607694641947792,p105_max
p105_max,w60_lgmv_mean,131.2439790725708,5.8,0.001404610906155562,p105_max
p105_max,w180_srch2cart,130.39689979553222,6.0,0.0013955452194908135,p105_max
p105_max,rec_cart,130.27179985046388,7.2,0.0013942063638081059,p105_max
p105_max,w14_days_present,127.11195793151856,3.8,0.001360388824501225,p105_max
p105_max,w180_days_present,121.85411987304687,5.4,0.0013041179255852031,p105_max
p105_max,rec_over_buygap,119.61038093566894,5.8,0.0012801047845308294,p105_max
p105_max,w30_presence_rate,116.19255981445312,2.6,0.001243526277417036,p105_max
p105_max,w7_days_cat,112.71602020263671,4.2,0.0012063193480862894,p105_max
p105_max,gap_std,104.00224056243897,5.2,0.001113061965896663,p105_max
p105_max,w90_lgmv_mean,100.03458099365234,5.4,0.0010705989291797666,p105_max
p105_max,w180_days_search,98.96071968078613,5.4,0.0010591061557785853,p105_max
p105_max,w60_days_search,97.55396041870117,4.0,0.0010440506125390186,p105_max
p105_max,w7_lgmv_std,94.29025974273682,4.2,0.0010091215468684938,p105_max
p105_max,trend_gmv_60_180,84.80265998840332,4.8,0.0009075825186986233,p105_max
p105_max,buygap_std,77.73652019500733,3.8,0.0008319586532203012,p105_max
p105_max,w14_days_presence_only,75.4594202041626,3.2,0.0008075884725525947,p105_max
p105_max,dlog_gmv_7_30,74.33972034454345,3.8,0.0007956051218072454,p105_max
p105_max,w60_aov,73.66600036621094,4.2,0.0007883947763426548,p105_max
p105_max,w60_searches,72.5640209197998,2.6,0.0007766010745688577,p105_max
p105_max,w60_cart2ord,71.93341884613037,3.6,0.0007698521893523357,p105_max
p105_max,w90_gmv_max,70.87628002166748,4.0,0.0007585383848437115,p105_max
p105_max,w7_aov,69.00430030822754,3.4,0.0007385039181948012,p105_max
p105_max,w30_gmv_max,66.1845006942749,2.6,0.0007083256096817603,p105_max
p105_max,w90_carts,61.54135971069336,3.2,0.0006586333760993702,p105_max
p105_max,w60_presence_rate,61.240499877929686,1.6,0.0006554134874209698,p105_max
p105_max,w180_searches,60.05810031890869,3.2,0.0006427591064141575,p105_max
p105_max,w60_days_cat,58.674560356140134,2.2,0.0006279520628107917,p105_max
p105_max,w30_buyday_rate,58.011959838867185,3.2,0.000620860721024581,p105_max
p105_max,w90_gmv_cat,57.78036022186279,3.0,0.0006183820751453216,p105_max
p105_max,w14_gmv,51.736999893188475,2.6,0.0005537042904006966,p105_max
p105_max,w30_carts,49.883559989929196,2.8,0.000533868242146,p105_max
p105_max,w60_days_presence_only,49.24960021972656,1.6,0.0005270834218930411,p105_max
p105_max,w180_days_cart,48.99540004730225,2.4,0.000524362898353166,p105_max
p105_max,w30_days_presence_only,48.64240016937256,2.2,0.0005205849918776433,p105_max
p105_max,w180_gmv_per_day,45.389760398864745,2.2,0.00048577430320655114,p105_max
p105_max,w60_srch_per_day,43.613480758666995,2.0,0.0004667640463350778,p105_max
p105_max,gap_mean,41.59485988616943,2.4,0.0004451601837202791,p105_max
p105_max,w14_cart2ord,41.18072032928467,2.2,0.000440727942771922,p105_max
p105_max,w30_cart2ord,41.11909999847412,2.4,0.00044006846422434197,p105_max
p105_max,dlog_gmv_14_30,39.5342399597168,2.2,0.00042310683512029185,p105_max
p105_max,trend_srch_30_90,39.27168006896973,2.4,0.0004202968434645343,p105_max
p105_max,w14_srch2cart,38.02726039886475,2.0,0.0004069787053463852,p105_max
p105_max,w60_ponly_share,37.239319801330566,2.0,0.00039854593788139336,p105_max
p105_max,w180_gmv_max,36.39052028656006,2.0,0.00038946184073643437,p105_max
p105_max,w90_gmv_per_day,34.48741989135742,1.4,0.00036909431157814435,p105_max
p105_max,w90_cat_gmv_share,34.09537944793701,1.6,0.00036489858171401187,p105_max
p105_max,w60_orders,33.68162021636963,1.4,0.0003604704111168621,p105_max
p105_max,w60_gmv_max,33.37021980285645,1.8,0.00035713771410407106,p105_max
p105_max,w7_ponly_share,32.62712001800537,1.6,0.0003491848459455514,p105_max
p105_max,trend_gmv_14_30,32.44010009765625,1.4,0.00034718330483374563,p105_max
p105_max,w90_aov,30.772460174560546,1.6,0.00032933574153923875,p105_max
p105_max,w30_days_cat,30.439420318603517,1.2,0.00032577145297402345,p105_max
p105_max,w30_days_cart,28.762600135803222,1.6,0.0003078256398931756,p105_max
p105_max,dlog_gmv_60_180,27.13896026611328,1.4,0.0002904489778569351,p105_max
p105_max,dlog_gmv_7_14,26.770999908447266,1.4,0.00028651096001365713,p105_max
p105_max,w60_buyday_rate,26.452459716796874,1.6,0.0002831018510365998,p105_max
p105_max,w7_srch2cart,24.27828025817871,1.4,0.000259833155580286,p105_max
p105_max,w60_carts,24.1877799987793,1.2,0.0002588645957098783,p105_max
p105_max,w7_cart2ord,23.340480041503906,1.6,0.00024979654726160565,p105_max
p105_max,w90_days_cart,23.0243200302124,1.2,0.00024641291166103643,p105_max
p105_max,w60_days_cart,22.171060180664064,1.4,0.0002372810787272182,p105_max
p105_max,w60_gmv,21.172679901123047,1.0,0.00022659612510844278,p105_max
p105_max,w90_days_search,20.82913990020752,1.2,0.0002229194609643313,p105_max
p105_max,w14_presence_rate,20.792320251464844,0.8,0.00022252540646712512,p105_max
p105_max,dlog_buyd_14_30,20.728199768066407,1.2,0.00022183917056567008,p105_max
p105_max,w7_carts,19.84934005737305,1.0,0.0002124333605365637,p105_max
p105_max,w90_days_present,19.216080093383788,1.2,0.00020565602981147834,p105_max
p105_max,w180_presence_rate,19.107060432434082,0.8,0.00020448926996590353,p105_max
p105_max,trend_gmv_7_14,18.601920127868652,1.0,0.00019908311277724486,p105_max
p105_max,w30_gmv,16.561779975891113,0.8,0.00017724894462870837,p105_max
p105_max,w90_gmv,15.896240234375,0.8,0.00017012614641716847,p105_max
p105_max,w180_gmv,15.067399787902833,0.8,0.00016125565697601923,p105_max
p105_max,w30_srch_per_day,14.561540031433106,1.0,0.00015584180000563822,p105_max
