model,feature,gain,split,gain_share,task
p56_early,w180_days_cat,4489.54587726593,179.0,0.0806812742873899,p56_early
p56_early,w180_ponly_share,3921.7746505737305,131.6,0.07047790242628356,p56_early
p56_early,w180_days_presence_only,3579.2809623718263,139.8,0.06432297541251938,p56_early
p56_early,rec_cat,2570.9746210098265,108.0,0.04620278180784149,p56_early
p56_early,w90_days_cat,1975.7406398773194,79.6,0.03550587895623884,p56_early
p56_early,weekend_share,1931.2217189788819,78.2,0.03470583294575619,p56_early
p56_early,w90_buyday_rate,1868.924174118042,39.0,0.03358628868855187,p56_early
p56_early,w90_ponly_share,1840.4013381958007,79.6,0.03307370705748989,p56_early
p56_early,w90_days_presence_only,1706.4851861953734,67.4,0.03066711046923137,p56_early
p56_early,w7_days_present,1525.6948236465455,14.6,0.027418141146257985,p56_early
p56_early,gap_cv,1521.606920814514,74.0,0.027344677767406806,p56_early
p56_early,trend_pres_30_90,1470.2915378570556,38.8,0.026422493074180223,p56_early
p56_early,trend_srch_30_90,1172.9434152603149,22.0,0.02107887345341851,p56_early
p56_early,trend_srch_60_180,1122.2117792129516,41.4,0.020167179229797393,p56_early
p56_early,trend_pres_14_30,1036.4113636016846,42.4,0.01862526673905782,p56_early
p56_early,w30_srch_per_day,924.3462381362915,39.6,0.016611353222434996,p56_early
p56_early,w60_srch_per_day,876.3733409881592,39.2,0.0157492360776323,p56_early
p56_early,w30_srch2cart,779.1337409973145,44.4,0.014001750908099929,p56_early
p56_early,trend_pres_60_180,656.7644815444946,39.6,0.01180266261361296,p56_early
p56_early,trend_pres_30_60,605.685281944275,30.2,0.01088472235284089,p56_early
p56_early,buygap_cv,578.9740398406982,30.8,0.010404696731178689,p56_early
p56_early,w90_cart2ord,564.9833980560303,26.2,0.010153272012923481,p56_early
p56_early,w60_buyday_rate,528.5295791625977,12.6,0.00949816331343181,p56_early
p56_early,w14_orders,510.80188236236575,10.6,0.009179580274718277,p56_early
p56_early,rec_buy,509.00991859436033,20.4,0.009147377035408124,p56_early
p56_early,w14_searches,485.8827587127686,20.8,0.008731760672215651,p56_early
p56_early,trend_pres_7_30,451.16046009063723,20.8,0.008107768986729885,p56_early
p56_early,rec_over_gap,370.7606605529785,15.2,0.006662910540801864,p56_early
p56_early,w7_lgmv_mean,366.8667587280273,16.8,0.0065929335387228975,p56_early
p56_early,w7_searches,365.3401998519897,15.0,0.00656549986975938,p56_early
p56_early,w180_lgmv_mean,355.11256103515626,22.2,0.006381699780562871,p56_early
p56_early,w60_cart2ord,334.8763202667236,15.6,0.006018035896371123,p56_early
p56_early,gap_max,324.41431922912597,18.6,0.005830024102219816,p56_early
p56_early,w14_srch_per_day,318.3061594009399,14.0,0.005720254844490521,p56_early
p56_early,w90_gmv_per_day,295.08354034423826,13.4,0.0053029229920033985,p56_early
p56_early,trend_gmv_60_180,285.39874477386473,16.6,0.0051288782959045464,p56_early
