model,feature,gain,split,gain_share
real_20251016_to_20260213,trend_pres_30_90,13552.56561050415,177.4,0.11796826692781906
real_20251016_to_20260213,trend_pres_30_60,8715.278502845764,176.4,0.07586211572937343
real_20251016_to_20260213,w30_aov,6493.284781455994,19.6,0.056520778009991196
real_20251016_to_20260213,w60_days_cart,6414.409797859192,175.0,0.055834210950565705
real_20251016_to_20260213,w90_cart2ord,6303.1866687774655,91.8,0.05486606955526481
real_20251016_to_20260213,trend_pres_60_180,5135.114421653748,59.4,0.04469858816466616
real_20251016_to_20260213,trend_srch_30_90,4294.447562789917,45.0,0.037381005999488924
real_20251016_to_20260213,w60_carts,4037.7747814178465,107.2,0.03514679853971926
real_20251016_to_20260213,w90_carts,3755.5485866546633,91.2,0.03269016146931534
real_20251016_to_20260213,w180_lgmv_mean,3056.978487586975,57.8,0.026609460125893145
real_20251016_to_20260213,rec_cart,2334.0355337142946,45.0,0.020316605340527837
real_20251016_to_20260213,weekend_share,2333.557780456543,74.4,0.020312446738720926
real_20251016_to_20260213,w90_days_present,2162.9808992385865,62.4,0.01882766078500908
real_20251016_to_20260213,w180_days_present,2056.0502565383913,47.0,0.017896883324611264
real_20251016_to_20260213,rec_cat,1907.4884645462037,46.4,0.016603727649391657
real_20251016_to_20260213,w180_lgmv_std,1825.436816596985,46.6,0.015889509324586895
real_20251016_to_20260213,w90_lgmv_mean,1821.7560459136962,34.8,0.015857470067154357
real_20251016_to_20260213,w60_cart2ord,1791.5299236297608,34.0,0.015594366875901735
real_20251016_to_20260213,dlog_buyd_60_180,1499.3001747131348,26.0,0.013050653898210888
real_20251016_to_20260213,w180_days_buy,1467.519199371338,30.4,0.01277401649315441
real_20251016_to_20260213,w60_lgmv_mean,1442.3252202987671,27.6,0.012554715577473667
real_20251016_to_20260213,w60_srch2cart,1358.117179107666,43.0,0.011821726934127703
real_20251016_to_20260213,gap_cv,1266.2637588500977,27.2,0.011022189111504694
real_20251016_to_20260213,w60_aov,1198.6059562683106,16.8,0.010433261970762298
real_20251016_to_20260213,rec_search,1150.4159936904907,20.6,0.010013792585259695
real_20251016_to_20260213,w180_cart2ord,1129.1595232009888,29.0,0.009828765701294248
real_20251016_to_20260213,w30_lgmv_mean,1097.5857734680176,12.2,0.009553932090931616
real_20251016_to_20260213,w30_days_presence_only,1076.5023777008057,21.8,0.009370411735370041
real_20251016_to_20260213,w14_days_presence_only,897.2239784240722,20.0,0.007809883443673169
real_20251016_to_20260213,rec_over_gap,855.3026420593262,20.6,0.007444979296342258
real_20251016_to_20260213,w90_days_presence_only,816.1270826339721,23.4,0.007103975756189325
real_20251016_to_20260213,w180_days_cart,803.2320388793945,29.6,0.006991730886294957
real_20251016_to_20260213,w90_presence_rate,779.8846366882324,18.6,0.00678850349356989
real_20251016_to_20260213,w90_lgmv_std,734.3745801925659,21.6,0.006392361342564934
real_20251016_to_20260213,w90_days_search,723.241360282898,26.2,0.0062954522630728664
real_20251016_to_20260213,gap_std,710.7267621994018,15.4,0.006186518981387516
real_20251016_to_20260213,w60_days_search,596.0546394348145,12.0,0.005188355830862894
real_20251016_to_20260213,w60_days_present,590.5204603195191,16.2,0.005140183585262878
real_20251016_to_20260213,w30_ponly_share,578.9267986297607,13.4,0.005039266591669561
real_20251016_to_20260213,w180_days_search,578.6613794326782,15.8,0.005036956251060333
real_20251016_to_20260213,w60_lgmv_std,542.0925422668457,20.0,0.004718642917039262
