task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks
real_20251016_to_20260213,2025-10-16,2026-02-13,trend_pres_30_90,1.0597250478173295,0.9911215384459744,-0.1873446738474289,0.08578333333333338,0.03968755851200736,0.0,0.0,0.5999963879585266,0.5294089913368225,1.038457989692688,0.999970018863678,1.4999947547912598,1.451608657836914,-0.09256047018100237,13552.56561050415,177.4,0.11796826692781906,-0.2168081,-0.08578333333333338
real_20251016_to_20260213,2025-10-16,2026-02-13,trend_pres_30_60,1.0226756995371233,1.0075966411978006,-0.05202877651050758,0.023933333333333334,0.006669008142964271,0.0,0.0,0.6666600108146667,0.6399984359741211,0.9999985694885254,0.9999976754188538,1.3846089839935303,1.3684189319610596,-2.692605674002282e-06,8715.278502845764,176.4,0.07586211572937343,0.107378915,-0.023933333333333334
real_20251016_to_20260213,2025-10-16,2026-02-13,w30_aov,22.784255441230037,18.470290349043097,-0.0646344326626511,0.08858333333333335,0.030777884636237162,0.0,0.0,0.0,0.0,10.115007400512695,6.0428314208984375,50.58386077880858,42.30580558776855,-0.1640818818155447,6493.284781455994,19.6,0.056520778009991196,-0.003249692,-0.08858333333333335
real_20251016_to_20260213,2025-10-16,2026-02-13,w60_days_cart,8.760466666666666,8.04845,-0.08362910727441165,0.05588333333333334,0.018920638460482333,0.0,0.0,1.0,0.0,6.0,5.0,21.0,20.0,-0.1,6414.409797859192,175.0,0.055834210950565705,-0.9069318,-0.05588333333333334
real_20251016_to_20260213,2025-10-16,2026-02-13,w90_cart2ord,0.3185401506009376,0.26960835211110923,-0.17474735279601544,0.07430000000000003,0.03137110680217024,0.0,0.0,0.0,0.0,0.2499999701976776,0.19999995827674866,0.75,0.6666666269302368,-0.11624922484607515,6303.1866687774655,91.8,0.05486606955526481,-0.23303281,-0.07430000000000003
real_20251016_to_20260213,2025-10-16,2026-02-13,trend_pres_60_180,1.1556993633470187,1.1072140667407464,-0.12055246988641323,0.07333333333333336,0.02549654542906782,0.0,0.0,0.7263144254684448,0.6774154305458069,1.0891706943511963,1.0408124923706055,1.666659951210022,1.627113699913025,-0.11555704254154392,5135.114421653748,59.4,0.04469858816466616,0.17871037,-0.07333333333333336
real_20251016_to_20260213,2025-10-16,2026-02-13,trend_srch_30_90,1.0619843492230245,0.9617015045401796,-0.180946553996792,0.08206666666666673,0.036936455930213184,0.0,0.0,0.3749985992908478,0.29577428102493286,1.0104438066482544,0.909089058637619,1.7999945878982544,1.687490463256836,-0.13902703424833035,4294.447562789917,45.0,0.037381005999488924,-0.053053427,-0.08206666666666673
real_20251016_to_20260213,2025-10-16,2026-02-13,w60_carts,24.231733333333334,24.664833333333334,0.010265173086269341,0.03501666666666667,0.012586173872412183,0.0,0.0,1.0,0.0,11.0,10.0,60.0,63.0,-0.04,4037.7747814178465,107.2,0.03514679853971926,0.82595146,0.03501666666666667
real_20251016_to_20260213,2025-10-16,2026-02-13,w90_carts,35.35326666666667,37.72423333333333,0.03879896424121269,0.02416666666666667,0.00862541301106733,0.0,0.0,2.0,1.0,17.0,17.0,87.0,94.0,0.0,3755.5485866546633,91.2,0.03269016146931534,0.6967506,0.02416666666666667
real_20251016_to_20260213,2025-10-16,2026-02-13,w180_lgmv_mean,3.288671380791379,3.225266864265965,-0.09453200768522668,0.05222485705106111,0.024788589425700218,0.1308666666666667,0.17023333333333335,2.5350715398788455,2.439597010612488,3.2433345317840576,3.179482936859131,4.088690948486329,4.050926923751831,-0.08211924205288447,3056.978487586975,57.8,0.026609460125893145,0.11008089,-0.05222485705106111
real_20251016_to_20260213,2025-10-16,2026-02-13,rec_cart,14.870602438319363,17.897056046691272,0.1179921752982419,0.06290151159161966,0.025876454140793592,0.019816666666666705,0.02908333333333335,0.0,0.0,5.0,7.0,42.0,52.0,0.125,2334.0355337142946,45.0,0.020316605340527837,0.0006823367,0.06290151159161966
real_20251016_to_20260213,2025-10-16,2026-02-13,weekend_share,0.27518659130292944,0.2787061184393863,0.044667026382403816,0.018833333333333313,0.003508921905629317,0.0,0.0,0.18666666746139526,0.190476194024086,0.2763157784938812,0.2777777910232544,0.36000001430511475,0.3666972547769542,0.019139071452481404,2333.557780456543,74.4,0.020312446738720926,0.029373659,0.018833333333333313
real_20251016_to_20260213,2025-10-16,2026-02-13,w90_days_present,33.537533333333336,33.60836666666667,0.0034194490845063453,0.030099999999999988,0.013409399332869033,0.0,0.0,10.0,9.0,30.0,30.0,63.0,66.0,0.0,2162.9808992385865,62.4,0.01882766078500908,0.31414583,0.030099999999999988
real_20251016_to_20260213,2025-10-16,2026-02-13,w180_days_present,62.70341666666667,63.04918333333333,0.008683470870300329,0.03570000000000001,0.018889394913605796,0.0,0.0,18.0,15.0,55.0,55.0,120.0,125.0,0.0,2056.0502565383913,47.0,0.017896883324611264,0.19262996,0.03570000000000001
real_20251016_to_20260213,2025-10-16,2026-02-13,rec_cat,34.20889576922351,37.06993101582578,0.07063200091894879,0.04674941152998546,0.014070593524905778,0.1171833333333333,0.1374833333333333,1.0,1.0,18.0,21.0,95.0,99.0,0.06666666666666667,1907.4884645462037,46.4,0.016603727649391657,0.013105811,0.04674941152998546
