model,feature,gain,split,gain_share
D1-behavior,w60_days_cart,11553.833114624023,275.8,0.08964200044109603
D1-behavior,w30_aov,11146.079438781739,23.2,0.086478387566729
D1-behavior,trend_srch_30_90,9697.429808425903,129.8,0.07523884052506505
D1-behavior,w90_carts,7261.173092269897,118.0,0.05633680832002515
D1-behavior,w90_cart2ord,6919.872708511352,106.2,0.05368878243563662
D1-behavior,dlog_buyd_60_180,6595.99734210968,59.4,0.05117595094068529
D1-behavior,w60_carts,6556.3323022842405,154.6,0.05086820428360162
D1-behavior,w90_days_search,5892.546896743775,149.0,0.045718134083873985
D1-behavior,w90_lgmv_mean,4312.159499549865,70.8,0.03345648149196972
D1-behavior,w30_lgmv_mean,3891.5415576934815,37.8,0.03019305944360219
D1-behavior,trend_srch_30_60,3832.6590127944946,86.0,0.029736211135041556
D1-behavior,w180_days_buy,3730.345711326599,66.2,0.028942399339049248
D1-behavior,w180_lgmv_mean,3541.240563392639,66.6,0.027475201086630905
D1-behavior,w180_days_search,3308.535759353638,57.2,0.02566972891654165
D1-behavior,w180_lgmv_std,2346.861423110962,56.2,0.018208446550904683
D1-behavior,w60_srch2cart,2342.58558177948,64.6,0.018175271848905775
D1-behavior,w60_lgmv_mean,2335.808432769775,32.4,0.018122690407881812
D1-behavior,w60_cart2ord,2212.584564590454,39.4,0.017166641109255282
D1-behavior,w180_cart2ord,2021.7748016357423,49.6,0.015686217367172496
D1-behavior,w90_lgmv_std,1625.3963611602783,34.6,0.01261086081810062
D1-behavior,w30_cart2ord,1607.440177154541,28.2,0.012471545299294541
D1-behavior,w180_days_cat,1538.3156419754027,39.6,0.011935233103026462
D1-behavior,w180_orders,1304.8395448684691,22.4,0.010123776749779127
D1-behavior,w30_carts,1299.289340209961,35.6,0.010080714724950639
D1-behavior,w180_days_cart,1240.9799737930298,40.6,0.009628313500334485
D1-behavior,w60_days_search,1238.1001586914062,27.0,0.009605970059499836
D1-behavior,trend_gmv_30_90,1203.6680406570435,12.8,0.009338823744558047
D1-behavior,w60_lgmv_std,1120.902497291565,29.4,0.008696675913507501
D1-behavior,trend_srch_60_180,954.7772966384888,24.8,0.00740777073697598
D1-behavior,w30_days_cart,911.7061773300171,24.4,0.007073597544603869
D1-behavior,w60_aov,860.6219055175782,14.6,0.006677253208407116
D1-behavior,w30_srch2cart,787.2870817184448,22.6,0.006108274909851907
D1-behavior,dlog_buyd_30_90,679.7562570571899,8.4,0.005273982243852178
D1-behavior,w180_buyday_rate,678.5127391815186,22.4,0.0052643342396916926
D1-behavior,w30_lgmv_std,640.5416219711303,13.0,0.0049697301137748805
D1-behavior,w90_buyday_rate,570.7477396011352,19.8,0.004428224695432121
D1-behavior,w7_lgmv_mean,513.9162620544433,10.4,0.003987289874514512
