model,feature,gain,split,gain_share
D1-depth-raw,tenure,1904920.4080996036,403.0,0.841696950058081
D1-depth-raw,first_buy_age,228100.19568099975,124.8,0.1007870135655086
D1-depth-raw,all_days_present,46040.962438964845,226.2,0.020343389412933992
D1-depth-raw,gap_std,24477.316772317885,192.4,0.010815403512537843
D1-depth-raw,gap_mean,23006.19767522812,195.8,0.01016538346344406
D1-depth-raw,gap_max,14257.141335964203,221.2,0.006299576784417863
D1-depth-raw,trend_pres_90_365,9260.766942977905,109.2,0.004091908122754299
D1-depth-raw,rec_buy,4187.451293706894,204.4,0.0018502426492170623
D1-depth-raw,all_searches,1383.3625274658202,120.4,0.0006112444463515543
D1-depth-raw,w365_days_present,1261.9957517623902,50.4,0.0005576180352355793
D1-depth-raw,rec_search,1162.6897890090943,97.2,0.0005137392854376192
D1-depth-raw,rec_cart,1065.7789664268494,98.6,0.0004709188382166925
D1-depth-raw,rec_cat,968.8828596115112,115.4,0.00042810489321815277
D1-depth-raw,buygap_mean,961.4576263427734,58.8,0.00042482402323051834
D1-depth-raw,rec_any,576.775765800476,61.2,0.0002548507543294117
D1-depth-raw,buygap_std,405.817990732193,40.2,0.0001793123553223675
D1-depth-raw,w365_searches,379.62969369888305,36.0,0.0001677409481147864
D1-depth-raw,all_orders,354.4756420135498,21.8,0.00015662652648586905
D1-depth-raw,all_days_buy,278.08248739242555,16.4,0.0001228718955960342
D1-depth-raw,w365_days_buy,140.95246667861937,6.6,6.228042956656374e-05
