model,feature,gain,split,gain_share
D1-fixed-L180,trend_pres_30_90,12561.497480773925,159.0,0.08824548572980799
D1-fixed-L180,w30_aov,9697.620432662963,21.0,0.06812652924648989
D1-fixed-L180,w60_days_cart,8273.187546157837,188.8,0.05811977868577466
D1-fixed-L180,trend_pres_30_60,8263.81423549652,142.2,0.05805393045760997
D1-fixed-L180,w90_cart2ord,5495.058570671082,76.2,0.038603209006314906
D1-fixed-L180,w90_days_present,5257.326790237426,91.0,0.03693312496817462
D1-fixed-L180,w60_carts,5085.941975784302,106.0,0.03572913346785572
D1-fixed-L180,dlog_buyd_60_180,5007.1284816741945,41.2,0.03517546261129944
D1-fixed-L180,w90_carts,4706.602334594727,80.6,0.033064243318844395
D1-fixed-L180,trend_srch_30_90,4122.564730072021,46.8,0.02896133423698831
D1-fixed-L180,w30_lgmv_mean,4118.980333709716,34.8,0.028936153576917815
D1-fixed-L180,w90_lgmv_mean,3487.183070755005,46.0,0.024497729222056043
D1-fixed-L180,w180_lgmv_mean,3055.7891273498535,50.4,0.02146715359721904
D1-fixed-L180,w180_days_present,3044.0619773864746,42.0,0.02138476946695682
D1-fixed-L180,w180_days_buy,2371.148120498657,37.2,0.01665749787801841
D1-fixed-L180,w60_cart2ord,2312.49391746521,36.0,0.016245447591442034
D1-fixed-L180,w180_lgmv_std,2189.456240463257,46.4,0.01538109844941318
D1-fixed-L180,weekend_share,1951.6590621948242,52.8,0.013710554986454756
D1-fixed-L180,w90_days_presence_only,1922.068608856201,29.0,0.013502679776367054
D1-fixed-L180,w30_cart2ord,1889.0809085845947,26.2,0.013270938645340862
D1-fixed-L180,rec_cat,1868.2647350311279,38.6,0.013124703425449826
D1-fixed-L180,w60_aov,1815.402938079834,12.8,0.012753345237012725
D1-fixed-L180,w60_lgmv_mean,1803.1687952041625,25.2,0.01266739944255598
D1-fixed-L180,w180_cart2ord,1679.1434272766114,34.8,0.011796111695825439
D1-fixed-L180,w90_presence_rate,1598.6953590393066,25.6,0.011230957830333574
D1-fixed-L180,rec_cart,1587.3010391235352,37.0,0.011150911856749053
D1-fixed-L180,w180_days_cat,1540.3619213104248,37.2,0.0108211609446873
D1-fixed-L180,w60_srch2cart,1527.3726049423217,39.6,0.010729909998376495
D1-fixed-L180,w30_days_presence_only,1428.2610622406005,23.2,0.01003364378962786
D1-fixed-L180,w90_lgmv_std,1397.000038909912,28.2,0.009814032696885954
D1-fixed-L180,w180_days_search,1296.5220050811768,23.4,0.00910816678289251
D1-fixed-L180,w180_buyday_rate,1242.6436813354492,34.6,0.008729667415557793
D1-fixed-L180,w90_days_search,1140.2181995391845,31.4,0.008010120529841736
D1-fixed-L180,w60_lgmv_std,1082.7256805419922,25.0,0.007606231162948764
D1-fixed-L180,gap_cv,1059.3561214447022,14.2,0.007442058213267548
D1-fixed-L180,trend_gmv_30_90,1050.7930164337158,10.4,0.007381901742097895
D1-fixed-L180,w180_days_cart,1025.600240135193,31.4,0.007204920551380133
D1-fixed-L180,trend_pres_60_180,1016.9439186096191,25.0,0.007144109227027537
D1-fixed-L180,rec_buy,926.1272548675537,15.0,0.006506115180812479
D1-fixed-L180,w14_days_presence_only,899.5198989868164,15.4,0.006319196459754322
D1-fixed-L180,trend_srch_30_60,814.1972179412842,17.2,0.005719798064447031
D1-fixed-L180,w180_orders,745.6373249053955,13.8,0.005238159543896779
D1-fixed-L180,w30_carts,678.4508018493652,19.8,0.004766169053061521
D1-fixed-L180,w90_aov,650.0787799835205,12.4,0.0045668534177624445
D1-fixed-L180,w60_days_present,647.5230354309082,18.4,0.004548899115754124
D1-fixed-L180,w180_srch_per_day,630.7344812393188,19.8,0.004430958231587602
D1-fixed-L180,gap_max,602.39935836792,16.8,0.004231901814561889
D1-fixed-L180,w180_ponly_share,594.6985439300537,16.2,0.004177803000974995
D1-fixed-L180,w30_lgmv_std,569.5305210113526,11.8,0.004000995704653913
D1-fixed-L180,w7_carts,556.7639823913574,10.4,0.0039113097891542575
D1-fixed-L180,w7_lgmv_mean,555.6053791046143,10.4,0.0039031705119730704
D1-fixed-L180,rec_over_gap,539.9485626220703,13.6,0.0037931801722385573
D1-fixed-L180,w14_lgmv_mean,504.4729202270508,8.6,0.0035439610564828943
D1-fixed-L180,w90_days_cart,483.95438079833986,13.0,0.003399816739205106
D1-fixed-L180,w30_days_cart,473.02819900512696,12.6,0.0033230594719294492
D1-fixed-L180,w30_srch2cart,464.1448009490967,12.2,0.0032606529174891478
D1-fixed-L180,rec_search,431.80260200500487,11.4,0.0030334464829251356
D1-fixed-L180,w60_days_cat,429.8481632232666,10.6,0.003019716400195139
D1-fixed-L180,w14_cart2ord,404.6399398803711,8.0,0.002842626692802845
D1-fixed-L180,w180_aov,368.9906192779541,8.6,0.0025921874742850766
D1-fixed-L180,dlog_buyd_30_90,324.6057216644287,5.0,0.002280380155534412
D1-fixed-L180,w90_searches,318.7722816467285,9.8,0.0022393997908425793
D1-fixed-L180,w7_days_presence_only,310.89384269714355,6.0,0.002184053151402269
D1-fixed-L180,w30_ponly_share,305.94794235229494,6.2,0.0021493078211603602
D1-fixed-L180,w180_days_presence_only,288.4545394897461,6.4,0.0020264153208803914
D1-fixed-L180,w30_gmv_max,284.03334007263186,8.4,0.0019953560550031555
D1-fixed-L180,buygap_mean,281.7904811859131,7.4,0.001979599798857354
D1-fixed-L180,w90_buyday_rate,281.74629974365234,7.4,0.0019792894208281015
D1-fixed-L180,gap_std,277.05105819702146,6.0,0.0019463049879183008
D1-fixed-L180,trend_gmv_60_180,271.76586151123047,6.6,0.0019091760747907821
D1-fixed-L180,trend_srch_60_180,262.9469387054443,6.4,0.0018472224639413271
D1-fixed-L180,gap_mean,259.10048027038573,7.0,0.0018202007976582438
D1-fixed-L180,dlog_gmv_30_60,240.8763401031494,6.4,0.0016921748116221593
D1-fixed-L180,rec_any,225.97284126281738,6.2,0.0015874765862512062
D1-fixed-L180,dlog_gmv_60_180,206.83478012084962,3.0,0.0014530302350908779
D1-fixed-L180,w60_ponly_share,204.205757522583,4.2,0.0014345611491770555
D1-fixed-L180,dlog_gmv_30_90,199.5269577026367,4.0,0.001401692220661515
D1-fixed-L180,w30_gmv_per_day,196.01184005737304,5.0,0.0013769982489054819
D1-fixed-L180,trend_gmv_30_60,192.25115852355958,5.2,0.001350579171949536
D1-fixed-L180,w30_days_cat,184.46631965637206,4.6,0.001295890080285528
D1-fixed-L180,w60_days_search,183.08917770385742,2.8,0.0012862155521725738
D1-fixed-L180,w30_orders,177.38731842041017,3.2,0.001246159552256884
D1-fixed-L180,w180_srch2cart,176.01287956237792,5.8,0.0012365040135905254
D1-fixed-L180,w90_ponly_share,162.35286026000978,4.0,0.0011405413275922187
D1-fixed-L180,w60_gmv_max,150.60256004333496,4.4,0.0010579945650204324
D1-fixed-L180,w30_gmv,148.77613906860353,4.0,0.0010451638172287005
D1-fixed-L180,buygap_std,144.9691188812256,5.0,0.0010184192076682127
D1-fixed-L180,w180_presence_rate,128.53869972229003,2.6,0.000902994249645192
D1-fixed-L180,w90_srch_per_day,115.52301902770996,3.8,0.0008115580919135789
D1-fixed-L180,w14_days_cart,103.6791000366211,3.6,0.0007283536502526362
D1-fixed-L180,w7_days_present,103.12380104064941,3.2,0.0007244526321057315
D1-fixed-L180,w30_days_present,98.38919982910156,2.8,0.0006911916945232932
D1-fixed-L180,w30_lgmv,94.3267608642578,2.2,0.000662652748410457
D1-fixed-L180,w14_aov,93.59043998718262,3.2,0.0006574800376289639
D1-fixed-L180,w180_carts,93.48844146728516,3.2,0.0006567634901834185
D1-fixed-L180,w90_srch2cart,84.68338012695312,3.0,0.000594907257194668
D1-fixed-L180,w60_gmv_per_day,82.17959938049316,2.2,0.0005773180049203692
D1-fixed-L180,dlog_buyd_30_60,77.83100090026855,2.8,0.0005467687662074954
D1-fixed-L180,w180_searches,76.79767990112305,2.2,0.0005395096067303733
D1-fixed-L180,w7_gmv_max,71.95559997558594,2.4,0.0005054936229174905
D1-fixed-L180,w60_buyday_rate,71.5065393447876,2.6,0.0005023389374552208
D1-fixed-L180,trend_gmv_7_30,71.41918106079102,2.4,0.000501725238792653
D1-fixed-L180,w14_ponly_share,69.67501869201661,2.0,0.0004894723640331169
D1-fixed-L180,w14_carts,69.6485595703125,2.6,0.0004892864866685483
D1-fixed-L180,w60_days_presence_only,63.42528038024902,2.0,0.0004455674718138382
