model,feature,gain,split,gain_share
D1-missingness,missing__w180_lgmv_std,6392.676529422402,100.4,0.2287211546377955
D1-missingness,missing__w30_gmv_max,4246.78924414888,30.4,0.1519442654347576
D1-missingness,missing__w30_lgmv_mean,3518.9132701873777,10.0,0.12590186638150427
D1-missingness,missing__w180_gmv_max,3390.4551263500007,56.4,0.12130581106009299
D1-missingness,missing__buygap_std,1980.6413002058864,73.4,0.07086461563030565
D1-missingness,missing__rec_cat,1423.3388206597417,152.8,0.05092510109087413
D1-missingness,missing__buygap_cv,1289.485913145542,17.4,0.04613602856118054
D1-missingness,missing__buygap_mean,926.9837559700012,43.4,0.03316620104585455
D1-missingness,missing__w60_gmv_max,866.2535734974896,44.8,0.030993358826707902
D1-missingness,missing__w180_lgmv_mean,734.4876479566097,19.0,0.026278955635349984
D1-missingness,missing__w30_lgmv_std,727.5771270662547,48.6,0.026031706723268173
D1-missingness,missing__w365_lgmv_std,421.44906320795417,44.2,0.01507886656149174
D1-missingness,missing__rec_buy,294.6725714504719,14.2,0.010542978433531004
D1-missingness,missing__w60_lgmv_std,282.14873122482095,92.0,0.010094892692961089
D1-missingness,missing__w90_lgmv_std,223.0785241913283,82.8,0.00798144210693327
D1-missingness,missing__w365_gmv_max,210.28169507980346,15.6,0.0075235892003112335
D1-missingness,missing__w90_gmv_max,178.36766553744673,55.4,0.006381749213182701
D1-missingness,missing__w14_gmv_max,144.2494251898257,60.2,0.005161045601698267
D1-missingness,missing__rec_over_buygap,132.2393048170954,7.8,0.0047313400493608675
D1-missingness,missing__w7_gmv_max,125.64758448262,65.0,0.004495497381737754
D1-missingness,missing__first_buy_frac,122.09723682403565,5.6,0.004368470836268171
D1-missingness,missing__w14_lgmv_std,89.3385199850658,31.2,0.0031964091019731694
D1-missingness,missing__w365_lgmv_mean,62.039903831481936,3.6,0.0022197022440671554
D1-missingness,missing__w90_lgmv_mean,53.24449198618531,16.6,0.0019050145317275242
D1-missingness,missing__rec_cart,42.667135861888525,16.6,0.0015265713092948532
D1-missingness,missing__w60_lgmv_mean,28.756848168373107,14.6,0.0010288803893865016
D1-missingness,missing__w7_lgmv_std,20.815334707219154,16.6,0.0007447439842287008
D1-missingness,missing__w14_lgmv_mean,12.716994907637126,14.8,0.0004549965488493962
D1-missingness,missing__w7_lgmv_mean,8.238013987708836,3.8,0.0002947447853053373
D1-missingness,missing__gap_cv,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_30_60,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_14_30,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_14_30,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_30_90,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_30_60,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_7_14,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_60_180,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_30_90,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_30_60,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_14_30,0.0,0.0,0.0
D1-missingness,missing__tenure_frac,0.0,0.0,0.0
D1-missingness,missing__trend_pres_14_30,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_7_30,0.0,0.0,0.0
D1-missingness,missing__trend_pres_90_365,0.0,0.0,0.0
D1-missingness,missing__trend_srch_14_30,0.0,0.0,0.0
D1-missingness,missing__trend_srch_30_60,0.0,0.0,0.0
D1-missingness,missing__trend_gmv_90_365,0.0,0.0,0.0
D1-missingness,missing__trend_pres_30_90,0.0,0.0,0.0
D1-missingness,missing__trend_pres_60_180,0.0,0.0,0.0
D1-missingness,missing__trend_pres_7_14,0.0,0.0,0.0
D1-missingness,missing__trend_pres_30_60,0.0,0.0,0.0
D1-missingness,missing__trend_srch_90_365,0.0,0.0,0.0
D1-missingness,missing__w14_aov,0.0,0.0,0.0
D1-missingness,missing__w14_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w14_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w14_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w14_days_buy,0.0,0.0,0.0
D1-missingness,missing__w14_days_cart,0.0,0.0,0.0
D1-missingness,missing__w14_carts,0.0,0.0,0.0
D1-missingness,missing__w14_days_cat,0.0,0.0,0.0
D1-missingness,missing__w14_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w14_days_search,0.0,0.0,0.0
D1-missingness,missing__trend_srch_30_90,0.0,0.0,0.0
D1-missingness,missing__trend_srch_60_180,0.0,0.0,0.0
D1-missingness,missing__trend_srch_7_14,0.0,0.0,0.0
D1-missingness,missing__trend_srch_7_30,0.0,0.0,0.0
D1-missingness,missing__trend_pres_7_30,0.0,0.0,0.0
D1-missingness,missing__w14_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w14_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w14_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w14_gmv,0.0,0.0,0.0
D1-missingness,missing__w14_days_present,0.0,0.0,0.0
D1-missingness,missing__w14_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w14_lgmv,0.0,0.0,0.0
D1-missingness,missing__w14_orders,0.0,0.0,0.0
D1-missingness,missing__w14_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w180_aov,0.0,0.0,0.0
D1-missingness,missing__w180_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w180_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w180_carts,0.0,0.0,0.0
D1-missingness,missing__w14_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w14_searches,0.0,0.0,0.0
D1-missingness,missing__w14_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w180_days_cart,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_90_365,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_7_30,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_7_14,0.0,0.0,0.0
D1-missingness,missing__rec_any,0.0,0.0,0.0
D1-missingness,missing__gap_std,0.0,0.0,0.0
D1-missingness,missing__gap_mean,0.0,0.0,0.0
D1-missingness,missing__gap_max_frac,0.0,0.0,0.0
D1-missingness,missing__rec_over_gap,0.0,0.0,0.0
D1-missingness,missing__rec_search,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_60_180,0.0,0.0,0.0
D1-missingness,missing__dlog_gmv_30_90,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_7_14,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_7_30,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_90_365,0.0,0.0,0.0
D1-missingness,missing__dlog_buyd_60_180,0.0,0.0,0.0
D1-missingness,missing__w180_searches,0.0,0.0,0.0
D1-missingness,missing__w180_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w180_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w180_orders,0.0,0.0,0.0
D1-missingness,missing__w180_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w180_lgmv,0.0,0.0,0.0
D1-missingness,missing__w180_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w180_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w180_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w180_days_present,0.0,0.0,0.0
D1-missingness,missing__w180_gmv,0.0,0.0,0.0
D1-missingness,missing__w180_days_search,0.0,0.0,0.0
D1-missingness,missing__w180_days_cat,0.0,0.0,0.0
D1-missingness,missing__w180_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w180_days_buy,0.0,0.0,0.0
D1-missingness,missing__w30_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w30_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w30_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w30_gmv,0.0,0.0,0.0
D1-missingness,missing__w30_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w30_lgmv,0.0,0.0,0.0
D1-missingness,missing__w30_orders,0.0,0.0,0.0
D1-missingness,missing__w30_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w180_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w30_days_cart,0.0,0.0,0.0
D1-missingness,missing__w30_days_cat,0.0,0.0,0.0
D1-missingness,missing__w30_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w30_days_present,0.0,0.0,0.0
D1-missingness,missing__w30_days_search,0.0,0.0,0.0
D1-missingness,missing__w180_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w30_aov,0.0,0.0,0.0
D1-missingness,missing__w30_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w365_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w365_carts,0.0,0.0,0.0
D1-missingness,missing__w365_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w365_days_buy,0.0,0.0,0.0
D1-missingness,missing__w365_days_present,0.0,0.0,0.0
D1-missingness,missing__w365_days_cart,0.0,0.0,0.0
D1-missingness,missing__w365_days_cat,0.0,0.0,0.0
D1-missingness,missing__w365_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w365_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w365_gmv,0.0,0.0,0.0
D1-missingness,missing__w365_days_search,0.0,0.0,0.0
D1-missingness,missing__w365_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w365_lgmv,0.0,0.0,0.0
D1-missingness,missing__w365_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w365_orders,0.0,0.0,0.0
D1-missingness,missing__w365_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w365_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w365_searches,0.0,0.0,0.0
D1-missingness,missing__w365_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w365_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w60_aov,0.0,0.0,0.0
D1-missingness,missing__w60_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w60_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w30_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w30_searches,0.0,0.0,0.0
D1-missingness,missing__w30_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w30_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w365_aov,0.0,0.0,0.0
D1-missingness,missing__w365_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w30_carts,0.0,0.0,0.0
D1-missingness,missing__w30_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w30_days_buy,0.0,0.0,0.0
D1-missingness,missing__w60_gmv,0.0,0.0,0.0
D1-missingness,missing__w60_days_search,0.0,0.0,0.0
D1-missingness,missing__w60_days_present,0.0,0.0,0.0
D1-missingness,missing__w60_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w60_days_cat,0.0,0.0,0.0
D1-missingness,missing__w60_days_cart,0.0,0.0,0.0
D1-missingness,missing__w60_days_buy,0.0,0.0,0.0
D1-missingness,missing__w60_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w60_carts,0.0,0.0,0.0
D1-missingness,missing__w60_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w60_searches,0.0,0.0,0.0
D1-missingness,missing__w60_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w60_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w60_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w60_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w60_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w7_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w7_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w7_aov,0.0,0.0,0.0
D1-missingness,missing__w7_carts,0.0,0.0,0.0
D1-missingness,missing__w7_days_cat,0.0,0.0,0.0
D1-missingness,missing__w7_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w7_days_buy,0.0,0.0,0.0
D1-missingness,missing__w7_days_cart,0.0,0.0,0.0
D1-missingness,missing__w7_days_search,0.0,0.0,0.0
D1-missingness,missing__w7_days_present,0.0,0.0,0.0
D1-missingness,missing__w7_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w7_gmv,0.0,0.0,0.0
D1-missingness,missing__w7_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w60_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w60_lgmv,0.0,0.0,0.0
D1-missingness,missing__w60_orders,0.0,0.0,0.0
D1-missingness,missing__w7_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w7_lgmv,0.0,0.0,0.0
D1-missingness,missing__w7_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w7_orders,0.0,0.0,0.0
D1-missingness,missing__w7_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w7_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w7_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w7_searches,0.0,0.0,0.0
D1-missingness,missing__w90_cart2ord,0.0,0.0,0.0
D1-missingness,missing__w90_carts,0.0,0.0,0.0
D1-missingness,missing__w90_cat_gmv_share,0.0,0.0,0.0
D1-missingness,missing__w90_days_buy,0.0,0.0,0.0
D1-missingness,missing__w90_days_cart,0.0,0.0,0.0
D1-missingness,missing__w7_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__w90_aov,0.0,0.0,0.0
D1-missingness,missing__w90_buyday_rate,0.0,0.0,0.0
D1-missingness,missing__w90_days_present,0.0,0.0,0.0
D1-missingness,missing__w90_days_presence_only,0.0,0.0,0.0
D1-missingness,missing__w90_days_cat,0.0,0.0,0.0
D1-missingness,missing__w90_days_search,0.0,0.0,0.0
D1-missingness,missing__w90_gmv_cat,0.0,0.0,0.0
D1-missingness,missing__w90_gmv30eq,0.0,0.0,0.0
D1-missingness,missing__w90_gmv_per_day,0.0,0.0,0.0
D1-missingness,missing__w90_gmv,0.0,0.0,0.0
D1-missingness,missing__w90_lgmv,0.0,0.0,0.0
D1-missingness,missing__w90_orders,0.0,0.0,0.0
D1-missingness,missing__w90_ponly_share,0.0,0.0,0.0
D1-missingness,missing__w90_presence_rate,0.0,0.0,0.0
D1-missingness,missing__w90_searches,0.0,0.0,0.0
D1-missingness,missing__w90_srch2cart,0.0,0.0,0.0
D1-missingness,missing__w90_srch_per_day,0.0,0.0,0.0
D1-missingness,missing__weekend_share,0.0,0.0,0.0
