model,feature,gain,split,gain_share
D1-production,tenure_frac,1788308.7090011598,891.4,0.5009015465613671
D1-production,w365_days_cat,321136.96577911376,234.0,0.08994979558458246
D1-production,gap_max_frac,304831.3364013672,500.2,0.08538262274028559
D1-production,trend_gmv_90_365,213728.40466461182,79.6,0.05986488121527586
D1-production,gap_cv,201338.17610473634,275.0,0.05639440398913916
D1-production,gap_std,151484.61927490233,325.4,0.04243052650425204
D1-production,w365_days_buy,105783.99613113403,225.4,0.029629877099419943
D1-production,w365_days_presence_only,80334.3645500183,228.4,0.022501488273579017
D1-production,rec_cat,58517.3141418457,30.0,0.016390577872116632
D1-production,first_buy_frac,42608.30150680542,48.8,0.011934496551790836
D1-production,dlog_buyd_90_365,37059.4471572876,115.0,0.010380273999874916
D1-production,trend_srch_90_365,34306.47429351807,27.6,0.009609172031762352
D1-production,rec_buy,29695.28706970215,33.4,0.008317588089757452
D1-production,w365_orders,27717.819940948488,80.8,0.007763703663605875
D1-production,dlog_gmv_90_365,23141.99885253906,37.0,0.006482025702504522
D1-production,gap_mean,20427.601068878175,59.2,0.005721728534026324
D1-production,trend_pres_60_180,20279.634320831297,58.6,0.005680283355929677
D1-production,w180_days_present,19407.96265640259,66.0,0.005436129937334556
D1-production,buygap_std,18896.11653442383,51.6,0.005292762904109179
D1-production,trend_pres_90_365,17591.165950012208,38.6,0.004927248962009646
D1-production,trend_gmv_60_180,12262.726182556153,11.6,0.0034347640756789283
D1-production,w180_days_presence_only,9127.046611785889,34.8,0.002556466755639041
D1-production,w180_days_cat,7165.394771575928,13.6,0.0020070121588849164
D1-production,w180_days_buy,3313.3467109680178,23.8,0.0009280615161489003
D1-production,w365_days_present,3003.8496383666993,14.0,0.0008413720304119522
D1-production,trend_srch_60_180,2895.0021560668947,7.8,0.0008108840772141312
D1-production,buygap_cv,2489.3805702209474,6.6,0.0006972703154255464
D1-production,dlog_buyd_60_180,2235.9291450500486,9.2,0.0006262790988602619
D1-production,w180_presence_rate,2176.9553253173826,10.8,0.0006097606547224916
D1-production,w90_days_buy,1690.6890747070313,8.6,0.000473558490216249
D1-production,buygap_mean,1536.3298637390137,11.0,0.00043032279656296594
D1-production,w30_aov,769.364598083496,4.4,0.00021549742229060397
D1-production,w365_presence_rate,706.4660018920898,3.4,0.00019787965643718394
D1-production,rec_cart,474.6502571105957,5.8,0.00013294854890867375
D1-production,w60_aov,373.56920471191404,1.0,0.00010463595655831273
D1-production,w365_lgmv_std,300.2294410705566,1.4,8.409364143816798e-05
D1-production,rec_over_buygap,278.31811447143554,2.2,7.795632447188135e-05
D1-production,w365_days_search,226.37219848632813,2.0,6.340638154339212e-05
D1-production,w30_lgmv_mean,210.03484191894532,0.8,5.883032197932652e-05
D1-production,w365_gmv_cat,203.94140090942383,2.4,5.71235618376424e-05
D1-production,w90_lgmv_mean,180.83282165527345,1.8,5.065089689507495e-05
D1-production,w180_gmv,179.09739990234374,0.4,5.016480887481124e-05
D1-production,w365_gmv_max,177.5616584777832,2.4,4.973465089883718e-05
D1-production,w365_days_cart,164.6589225769043,1.2,4.612062143340279e-05
D1-production,w180_gmv_cat,137.90888214111328,1.0,3.862799079450669e-05
D1-production,w180_gmv_max,136.88014221191406,1.0,3.833984288192781e-05
D1-production,w180_days_search,123.17864151000977,1.0,3.450208105856296e-05
D1-production,w180_lgmv_mean,116.31300048828125,1.0,3.2579029300994886e-05
D1-production,trend_pres_30_90,106.67807998657227,1.4,2.988030812606003e-05
D1-production,w90_lgmv_std,100.3160614013672,0.6,2.8098319964541032e-05
D1-production,w60_lgmv_mean,94.49557952880859,0.8,2.6468015108884753e-05
