model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
R0,OOF,1,77062,0.10570975937509636,0.23604370506864603,0.13033394569354967,9.999999974752427e-07,0.15037989616394043
R0,OOF,2,77062,0.19145825688064752,0.21310113934234773,0.021642882461700208,0.15037989616394043,0.2994500398635864
R0,OOF,3,77062,0.38507323219704315,0.41321273779554124,0.028139505598498094,0.2994500398635864,0.45663484930992126
R0,OOF,4,77062,0.5139042135336852,0.47470867613090756,0.03919553740277765,0.45663484930992126,0.5681368708610535
R0,OOF,5,77062,0.6173996286565963,0.5868910747190574,0.030508553937538818,0.5681368708610535,0.6606512069702148
R0,OOF,6,77062,0.6989499665020392,0.6732241571721471,0.025725809329892102,0.6606512069702148,0.7367744445800781
R0,OOF,7,77061,0.7755422960591739,0.7637326273990734,0.01180966866010047,0.7367744445800781,0.8157706260681152
R0,OOF,8,77061,0.8501478127723426,0.8432410687637066,0.006906744008636001,0.8157706260681152,0.8829749226570129
R0,OOF,9,77061,0.9133656873472012,0.9132894719767457,7.621537045554572e-05,0.8829749226570129,0.9423996210098267
R0,OOF,10,77061,0.9694192775260081,0.9728526751534499,0.00343339762744177,0.9423996210098267,0.9999989867210388
R0,2025-09-04,1,18852,0.10105692395639061,0.23944409081264587,0.13838716685625524,9.999999974752427e-07,0.1513403356075287
R0,2025-09-04,2,18852,0.18062029611544575,0.20040314025037131,0.019782844134925565,0.1513403356075287,0.28446274995803833
R0,2025-09-04,3,18852,0.3766418215122138,0.4067472947167409,0.03010547320452711,0.28446274995803833,0.4570561349391937
R0,2025-09-04,4,18852,0.5195780868837465,0.46668788457458094,0.05289020230916558,0.4570561349391937,0.5741670727729797
R0,2025-09-04,5,18852,0.6226095837846622,0.5750583492467642,0.047551234537898,0.5741670727729797,0.665416955947876
R0,2025-09-04,6,18852,0.7026038526122848,0.6597708465945258,0.04283300601775897,0.665416955947876,0.738847553730011
R0,2025-09-04,7,18852,0.7766304218968894,0.7528644175684277,0.023766004328461654,0.738847553730011,0.8157706260681152
R0,2025-09-04,8,18852,0.8493300173158937,0.8282940802036919,0.021035937112201863,0.8157706260681152,0.8825194835662842
R0,2025-09-04,9,18851,0.9122090616198878,0.9057874913797677,0.0064215702401201336,0.8825194835662842,0.9413996934890747
R0,2025-09-04,10,18851,0.9684534248486925,0.9667922126147154,0.001661212233977083,0.9413996934890747,0.9999989867210388
R0,2025-09-18,1,19103,0.10506639978312554,0.24137570015180862,0.13630930036868308,9.999999974752427e-07,0.15141436457633972
R0,2025-09-18,2,19103,0.18901265434839273,0.21305554101450033,0.0240428866661076,0.15141436457633972,0.2956663966178894
R0,2025-09-18,3,19103,0.3838939192325902,0.4172643040360153,0.03337038480342508,0.2957667112350464,0.45947951078414917
R0,2025-09-18,4,19103,0.5165310750698809,0.4766790556457101,0.039852019424170826,0.45947951078414917,0.5685258507728577
R0,2025-09-18,5,19103,0.6186075754854085,0.5901167355912684,0.02849083989414003,0.5685258507728577,0.6619731187820435
R0,2025-09-18,6,19102,0.6981451525549379,0.674379646110355,0.023765506444582973,0.6619731187820435,0.7343236804008484
R0,2025-09-18,7,19102,0.773100411033221,0.7649460789446131,0.00815433208860794,0.7343236804008484,0.8119756579399109
R0,2025-09-18,8,19102,0.8480883468952295,0.840173803790179,0.007914543105050464,0.8119756579399109,0.8818594217300415
R0,2025-09-18,9,19102,0.912239516324965,0.9126793005967961,0.0004397842718311118,0.8818594217300415,0.9414646625518799
R0,2025-09-18,10,19102,0.9691706691196659,0.9729871217673542,0.003816452647688373,0.9414646625518799,0.9999989867210388
R0,2025-10-02,1,19370,0.10864557722980002,0.23567372225090347,0.12702814502110343,9.999999974752427e-07,0.15037989616394043
R0,2025-10-02,2,19370,0.19795200979211125,0.2174496644295302,0.019497654637418954,0.15037989616394043,0.3102918863296509
R0,2025-10-02,3,19370,0.39082039918213946,0.4162622612287042,0.025441862046564734,0.3102918863296509,0.4577607810497284
R0,2025-10-02,4,19370,0.5127070388845641,0.47614868353123385,0.036558355353330296,0.4577607810497284,0.5667828917503357
R0,2025-10-02,5,19369,0.6162576170826594,0.5897051990293768,0.026552418053282567,0.5668100118637085,0.6594148874282837
R0,2025-10-02,6,19369,0.6978147691162377,0.6796427280706283,0.018172041045609433,0.6594148874282837,0.7362385392189026
R0,2025-10-02,7,19369,0.7751873321621584,0.7675151014507718,0.007672230711386563,0.7362385392189026,0.8145119547843933
R0,2025-10-02,8,19369,0.8503229946115007,0.8522381124477257,0.0019151178362249999,0.8145119547843933,0.8830097317695618
R0,2025-10-02,9,19369,0.9134774474072539,0.9165160823997108,0.0030386349924569345,0.8830097317695618,0.9424406290054321
R0,2025-10-02,10,19369,0.9693962077676213,0.9731013475140688,0.0037051397464475944,0.9424406290054321,0.9974616169929504
R0,2025-10-16,1,19738,0.10957452116980786,0.23193839294761373,0.12236387177780587,9.999999974752427e-07,0.1489458978176117
R0,2025-10-16,2,19738,0.19722900692060588,0.2179045495997568,0.02067554267915092,0.1489458978176117,0.3118197023868561
R0,2025-10-16,3,19738,0.38768637972117703,0.41143986219475126,0.023753482473574228,0.3118197023868561,0.452122300863266
R0,2025-10-16,4,19738,0.5073115492917349,0.4779106292430844,0.029400920048650525,0.452122300863266,0.562640905380249
R0,2025-10-16,5,19738,0.6123744655022664,0.5912453136082683,0.02112915189399811,0.562640905380249,0.6561247110366821
R0,2025-10-16,6,19738,0.6971424191130223,0.6822373087445537,0.014905110368468644,0.6561247110366821,0.7369832992553711
R0,2025-10-16,7,19738,0.777282775444926,0.768720235079542,0.008562540365383953,0.7369832992553711,0.8172581195831299
R0,2025-10-16,8,19738,0.8527064358485072,0.8508967473908198,0.001809688457687475,0.8173046708106995,0.8860400319099426
R0,2025-10-16,9,19738,0.91545650210167,0.9202553450197588,0.0047988429180888525,0.8860400319099426,0.9443848729133606
R0,2025-10-16,10,19737,0.9705478808628231,0.9760855246491361,0.005537643786313051,0.9443848729133606,0.9975595474243164
R1_RAW,OOF,1,77062,0.14246836304664612,0.12103241545768342,0.021435947588962695,0.13131427764892578,0.15626583993434906
R1_RAW,OOF,2,77062,0.27210676670074463,0.250266019568659,0.021840747132085614,0.15626583993434906,0.342195063829422
R1_RAW,OOF,3,77062,0.39609938859939575,0.3811087176559134,0.014990670943482332,0.3421963155269623,0.4497990608215332
R1_RAW,OOF,4,77062,0.5021927356719971,0.48397394305883573,0.01821879261316134,0.4497997462749481,0.5551971793174744
R1_RAW,OOF,5,77062,0.6075291037559509,0.5910305987386779,0.016498505017273013,0.5551971793174744,0.6600538492202759
R1_RAW,OOF,6,77062,0.710854172706604,0.6869274090991669,0.023926763607437063,0.6600539088249207,0.7592799663543701
R1_RAW,OOF,7,77061,0.8027587532997131,0.7846511205408703,0.018107632758842862,0.7592802047729492,0.8436443209648132
R1_RAW,OOF,8,77061,0.8786872029304504,0.8677151866703001,0.010972016260150319,0.8436445593833923,0.9113259315490723
R1_RAW,OOF,9,77061,0.939889132976532,0.9372834507727644,0.0026056822037675564,0.9113271236419678,0.9661719799041748
R1_RAW,OOF,10,77061,0.9852296113967896,0.9863095469822608,0.001079935585471259,0.9661727547645569,0.9985179901123047
R1_RAW,2025-09-04,1,18852,0.15626582503318787,0.12094207511139402,0.03532374992179385,0.15626583993434906,0.15626583993434906
R1_RAW,2025-09-04,2,18852,0.2811155617237091,0.2442181200933588,0.0368974416303503,0.15626583993434906,0.3549957275390625
R1_RAW,2025-09-04,3,18852,0.4098188281059265,0.3692446424782516,0.0405741856276749,0.3549957275390625,0.4654707610607147
R1_RAW,2025-09-04,4,18852,0.5165298581123352,0.47246976448122213,0.04406009363111307,0.46547791361808777,0.5668968558311462
R1_RAW,2025-09-04,5,18852,0.6165414452552795,0.5784001697432634,0.03814127551201618,0.5668985247612,0.6666474938392639
R1_RAW,2025-09-04,6,18852,0.7152049541473389,0.672607680882665,0.042597273264673885,0.6666536331176758,0.7615906596183777
R1_RAW,2025-09-04,7,18852,0.8032063245773315,0.7718544451517081,0.03135187942562345,0.7615971565246582,0.8426969647407532
R1_RAW,2025-09-04,8,18852,0.8771710991859436,0.8569382558879695,0.020232843297974146,0.8427023887634277,0.9094927906990051
R1_RAW,2025-09-04,9,18851,0.9379691481590271,0.930030237122699,0.007938911036328045,0.9094975590705872,0.9641737937927246
R1_RAW,2025-09-04,10,18851,0.9836876392364502,0.9851466765688823,0.0014590373324321337,0.9641788005828857,0.9982588291168213
R1_RAW,2025-09-18,1,19103,0.14932408928871155,0.12354080510914515,0.025783284179566393,0.14932410418987274,0.14932410418987274
