model,fold,rmsle_cal,delta_vs_base
BASE,2025-09-04,1.767492972891647,0.0
BASE,2025-09-18,1.7610285866435784,0.0
BASE,2025-10-02,1.7494623096940387,0.0
BASE,2025-10-16,1.742217797554085,0.0
R0_TWO_PART,2025-09-04,1.8507665663394457,0.08327359344779861
R0_TWO_PART,2025-09-18,1.8408803970763727,0.07985181043279432
R0_TWO_PART,2025-10-02,1.8255614978658747,0.07609918817183603
R0_TWO_PART,2025-10-16,1.8144986666419534,0.07228086908786846
CLOCK_TWO_PART,2025-09-04,1.7789449880234032,0.011452015131756088
CLOCK_TWO_PART,2025-09-18,1.7717319098925983,0.010703323249019903
CLOCK_TWO_PART,2025-10-02,1.760491713911723,0.011029404217684391
CLOCK_TWO_PART,2025-10-16,1.753878807782998,0.011661010228913193
CLOCK_REPLACE,2025-09-04,1.7669348208248976,-0.0005581520667494733
CLOCK_REPLACE,2025-09-18,1.7604198929292736,-0.000608693714304831
CLOCK_REPLACE,2025-10-02,1.749022108580338,-0.00044020111370079995
CLOCK_REPLACE,2025-10-16,1.7418800185531227,-0.0003377790009622128
META_SELF,2025-09-04,1.7673622962621183,-0.0001306766295288142
META_SELF,2025-09-18,1.7608566726140689,-0.0001719140295095567
META_SELF,2025-10-02,1.7492371748199396,-0.00022513487409914212
META_SELF,2025-10-16,1.7420984205489491,-0.00011937700513575678
CLOCK_META,2025-09-04,1.7673688590075516,-0.00012411388409550028
CLOCK_META,2025-09-18,1.760714890394271,-0.000313696249307327
CLOCK_META,2025-10-02,1.7490570493720683,-0.0004052603219704132
CLOCK_META,2025-10-16,1.742014840086035,-0.00020295746804999126
