component,clock_weight,wcv,delta_wcv,fold_2025-09-04,fold_2025-09-18,fold_2025-10-02,fold_2025-10-16,fold_wins
S1-E10,0.0,1.748342784359176,0.0,1.767492972891647,1.7610285866435784,1.7494623096940387,1.742217797554085,0
S1-E10,0.025,1.7482058443412447,-0.00013694001793118638,1.7673159701351537,1.7608476097633603,1.7493126183019225,1.7421032502811382,4
S1-E10,0.05,1.7480955925087531,-0.00024719185042259005,1.767167114641823,1.7606943634650076,1.749189508212826,1.7420150016510196,4
S1-E10,0.075,1.7480120339315046,-0.00033075042767124845,1.767046413549542,1.7605688549898306,1.7490929850395323,1.7419530556606546,4
S1-E10,0.1,1.7479551724765647,-0.00038761188261119035,1.7669538729433332,1.7604710902703313,1.7490230531837905,1.741917415116164,4
S1-E10,0.125,1.7479250107733915,-0.00041777358578432754,1.7668894973442304,1.7604010739287965,1.748979715835312,1.7419080816322252,4
S1-E10,0.15,1.7479215502214067,-0.0004212341377691775,1.7668532898308242,1.7603588092762115,1.7489629749710436,1.7419250556317099,4
S1-E02,0.0,1.748342784359176,0.0,1.767492972891647,1.7610285866435784,1.7494623096940387,1.742217797554085,0
S1-E02,0.025,1.74821423123049,-0.0001285531286859598,1.767336653784797,1.760877442980652,1.749330199402316,1.742100141387748,4
S1-E02,0.05,1.7481093626161879,-0.00023342174298789746,1.767206196662465,1.760750638716497,1.7492216379977457,1.7420058016445472,4
S1-E02,0.075,1.748028182802419,-0.0003146015567570437,1.7671016074536894,1.760648179109984,1.749136629865063,1.7419347821127966,4
S1-E02,0.1,1.7479706951273366,-0.00037208923183923063,1.7670228911740642,1.7605700684114571,1.7490751784384602,1.7418870856449038,4
S1-E02,0.125,1.7479369019384299,-0.0004058824207458548,1.7669700512948012,1.7605163098618597,1.7490372862008905,1.741862714156796,4
S1-E02,0.15,1.7479268046184044,-0.0004159797407712625,1.7669430901373773,1.760486905692056,1.74902295468357,1.7418616686275374,4
S1-E02,0.175,1.7479404035857913,-0.0004023807733845697,1.7669420088864156,1.7604818571223717,1.7490321844656662,1.7418839490991307,4
S1-E02,0.2,1.7479776982948603,-0.0003650860643155192,1.7669668075894258,1.7605011643623396,1.7490649751741816,1.7419295546765092,4
S1-DIST,0.0,1.748342784359176,0.0,1.767492972891647,1.7610285866435784,1.7494623096940387,1.742217797554085,0
S1-DIST,0.025,1.7482101206294958,-0.00013266372968000854,1.767335354032917,1.760862741164831,1.7493258299296295,1.7420984566701676,4
S1-DIST,0.05,1.748102790262818,-0.00023999409635787987,1.7672035659990144,1.7607226472295,1.7492145900016283,1.7420043291847178,4
S1-DIST,0.075,1.7480207979281077,-0.00032198643106802943,1.7670976145692359,1.760608310984838,1.7491285947255955,1.7419354191850405,4
S1-DIST,0.1,1.7479641471934637,-0.00037863716571212195,1.767017504391116,1.7605197374493142,1.749067847825093,1.74189172966398,4
S1-DIST,0.125,1.747932840525653,-0.0004099438335228633,1.7669632389840961,1.7604569305115114,1.7490323519308784,1.7418732625192703,4
S1-DIST,0.15,1.7479268792953184,-0.0004159050638573358,1.7669348208248976,1.7604198929292736,1.749022108580338,1.7418800185531227,4
S1-DIST,0.175,1.7479462637667695,-0.0003965205924064167,1.7669322511983272,1.7604086263291,1.749037118217151,1.7419119974720514,4
S1-DIST,0.2,1.7479909930992679,-0.00035179125990792613,1.7669555302171573,1.7604231312057887,1.749077380191195,1.741969197886938,4
SEQ-01-S42,0.0,1.748342784359176,0.0,1.767492972891647,1.7610285866435784,1.7494623096940387,1.742217797554085,0
SEQ-01-S42,0.025,1.7482282794055335,-0.00011450495364234333,1.7673960629787877,1.7609156986457375,1.7493557083440598,1.7420967371795626,4
SEQ-01-S42,0.05,1.7481411667851494,-0.00020161757402650988,1.7673263236835435,1.7608297745751382,1.7492754072922054,1.7420037499718248,4
SEQ-01-S42,0.075,1.7480814506025764,-0.0002613337565994911,1.767283758224917,1.7607708183792288,1.749221410160558,1.7419388404266298,4
SEQ-01-S42,0.1,1.748049133688455,-0.0002936506707210018,1.7672683687900566,1.7607388327669686,1.7491937193851026,1.7419020116828023,4
SEQ-01-S42,0.125,1.7480442175789068,-0.00029856678026895324,1.7672801562346943,1.760733819208206,1.7491923362151758,1.7418932655214743,4
SEQ-01-S42,0.15,1.7480667025106469,-0.000276081848528964,1.7673191200150469,1.7607557779333407,1.7492172607131846,1.7419126023656546,4
SEQ-01-S42,0.175,1.7481165874306432,-0.0002261969285326219,1.767385258333726,1.7608047079332714,1.7492684917545924,1.7419600212801263,4
SEQ-01-S42,0.2,1.7481938699963657,-0.00014891436281018559,1.7674785681401513,1.7608806069596263,1.7493460270281733,1.7420355199716735,4
