model_a,model_b,correlation
CLOCK_TWO_PART,CLOCK_TWO_PART,1.0
CLOCK_TWO_PART,BASE,0.9900699226921265
CLOCK_TWO_PART,E10,0.9875431897901659
CLOCK_TWO_PART,DIST,0.9882171566859007
CLOCK_TWO_PART,SEQ,0.987615450387718
CLOCK_TWO_PART,E11,0.9877877368422633
CLOCK_TWO_PART,MHZ,0.9876392054165128
CLOCK_TWO_PART,PTIME,0.9885038085685335
BASE,CLOCK_TWO_PART,0.9900699226921266
BASE,BASE,1.0
BASE,E10,0.9981376503283944
BASE,DIST,0.9986431835859266
BASE,SEQ,0.997003344664369
BASE,E11,0.9979739358333003
BASE,MHZ,0.9973440760469281
BASE,PTIME,0.9986246341048561
E10,CLOCK_TWO_PART,0.9875431897901658
E10,BASE,0.9981376503283945
E10,E10,1.0
E10,DIST,0.9978644599562628
E10,SEQ,0.9924229315211995
E10,E11,0.997688463777822
E10,MHZ,0.9972390596981765
E10,PTIME,0.9987047672492994
DIST,CLOCK_TWO_PART,0.9882171566859007
DIST,BASE,0.9986431835859266
DIST,E10,0.9978644599562629
DIST,DIST,0.9999999999999999
DIST,SEQ,0.9931665037435923
DIST,E11,0.9982736139710646
DIST,MHZ,0.9975174667719252
DIST,PTIME,0.9986752804736324
SEQ,CLOCK_TWO_PART,0.987615450387718
SEQ,BASE,0.9970033446643689
SEQ,E10,0.9924229315211994
SEQ,DIST,0.9931665037435924
SEQ,SEQ,0.9999999999999999
SEQ,E11,0.9927636267826355
SEQ,MHZ,0.9920527152008821
SEQ,PTIME,0.9933680407121217
E11,CLOCK_TWO_PART,0.9877877368422633
E11,BASE,0.9979739358333003
E11,E10,0.997688463777822
E11,DIST,0.9982736139710646
E11,SEQ,0.9927636267826355
E11,E11,0.9999999999999999
E11,MHZ,0.9974998422510868
E11,PTIME,0.9982249149421745
MHZ,CLOCK_TWO_PART,0.9876392054165128
MHZ,BASE,0.9973440760469282
MHZ,E10,0.9972390596981764
MHZ,DIST,0.9975174667719252
MHZ,SEQ,0.9920527152008821
MHZ,E11,0.9974998422510867
MHZ,MHZ,1.0
MHZ,PTIME,0.9977268756722111
PTIME,CLOCK_TWO_PART,0.9885038085685335
PTIME,BASE,0.9986246341048561
PTIME,E10,0.9987047672492994
PTIME,DIST,0.9986752804736324
PTIME,SEQ,0.9933680407121217
PTIME,E11,0.9982249149421745
PTIME,MHZ,0.9977268756722111
PTIME,PTIME,1.0
