group_type,segment,metric_type,model,n,positive_rate,logloss,brier,precision_05,recall_05,roc_auc,pr_auc,rmsle,delta_vs_base
purchase_history,0,classification,R0,82278,0.1208342448771239,0.3722225342941558,0.10711079510312319,0.0,0.0,0.5072481037551531,0.122709228979249,,
purchase_history,0,classification,CLOCK,82278,0.1208342448771239,0.36932548609994026,0.10640824584601422,0.0,0.0,0.5047869214102711,0.12165716690850138,,
purchase_history,0,classification,EXISTING_B30,82278,0.1208342448771239,0.3622831176524522,0.10494512807961838,0.0,0.0,0.6230492884776829,0.18700793985823105,,
purchase_history,0,rmsle,BASE,82278,0.1208342448771239,,,,,,,1.2076782811525442,0.0
purchase_history,0,rmsle,CLOCK_TWO_PART,82278,0.1208342448771239,,,,,,,1.2200115737872852,0.012333292634741033
purchase_history,0,rmsle,R0_TWO_PART,82278,0.1208342448771239,,,,,,,1.2262587648559748,0.018580483703430684
purchase_history,0,rmsle,CLOCK_REPLACE,82278,0.1208342448771239,,,,,,,1.2078968328881197,0.00021855173557550067
purchase_history,0,rmsle,CLOCK_META,82278,0.1208342448771239,,,,,,,1.2076332268244236,-4.505432812051957e-05
purchase_history,1,classification,R0,52852,0.26080375387875576,0.8692647886131016,0.22733582509752198,0.3392485147750945,0.3189930354033662,0.5666083951885669,0.3217929639640401,,
purchase_history,1,classification,CLOCK,52852,0.26080375387875576,0.5679032230997206,0.19034744811809967,0.0,0.0,0.5658154537877051,0.31910438211242964,,
purchase_history,1,classification,EXISTING_B30,52852,0.26080375387875576,0.5604355767062812,0.18754404063530342,0.4791792395896198,0.05760301799187464,0.6130428136937124,0.3562303927172334,,
purchase_history,1,rmsle,BASE,52852,0.26080375387875576,,,,,,,1.646134770821005,0.0
purchase_history,1,rmsle,CLOCK_TWO_PART,52852,0.26080375387875576,,,,,,,1.6603487023228702,0.014213931501865229
purchase_history,1,rmsle,R0_TWO_PART,52852,0.26080375387875576,,,,,,,1.8111784302926228,0.1650436594716178
purchase_history,1,rmsle,CLOCK_REPLACE,52852,0.26080375387875576,,,,,,,1.6453885460354716,-0.0007462247855334336
purchase_history,1,rmsle,CLOCK_META,52852,0.26080375387875576,,,,,,,1.6456027057022957,-0.0005320651187092906
purchase_history,2,classification,R0,48407,0.33904187410911646,0.9306926459664921,0.28172421132148473,0.36540918566337166,0.33109919571045576,0.5146082425442954,0.36241833089046105,,
purchase_history,2,classification,CLOCK,48407,0.33904187410911646,0.6315013230957905,0.2200358825246123,0.5378486055776892,0.041128442602973436,0.5774763010778441,0.4114820334210334,,
purchase_history,2,classification,EXISTING_B30,48407,0.33904187410911646,0.6209562045564592,0.21531623038143197,0.5302465850629767,0.1821228369485742,0.6188947330874459,0.4544967481804054,,
purchase_history,2,rmsle,BASE,48407,0.33904187410911646,,,,,,,1.7965632731514831,0.0
purchase_history,2,rmsle,CLOCK_TWO_PART,48407,0.33904187410911646,,,,,,,1.8141888593566688,0.017625586205185728
purchase_history,2,rmsle,R0_TWO_PART,48407,0.33904187410911646,,,,,,,2.0373171329285737,0.24075385977709063
purchase_history,2,rmsle,CLOCK_REPLACE,48407,0.33904187410911646,,,,,,,1.796161303810773,-0.0004019693407100178
purchase_history,2,rmsle,CLOCK_META,48407,0.33904187410911646,,,,,,,1.796030103885338,-0.000533169266145217
purchase_history,3+,classification,R0,587079,0.7310583413816539,0.51330624896001,0.1704864391401628,0.7860709174091816,0.8855282870716631,0.7593104592842189,0.8980282479328581,,
purchase_history,3+,classification,CLOCK,587079,0.7310583413816539,0.47299911726529437,0.15804074142479807,0.7961055234818283,0.8970476876154794,0.7862010295662525,0.9116833389755148,,
purchase_history,3+,classification,EXISTING_B30,587079,0.7310583413816539,0.46793424885661167,0.15600554857341986,0.7934223903342783,0.9110042428860012,0.7925898427862652,0.9143261235471426,,
purchase_history,3+,rmsle,BASE,587079,0.7310583413816539,,,,,,,1.824291216970703,0.0
purchase_history,3+,rmsle,CLOCK_TWO_PART,587079,0.7310583413816539,,,,,,,1.8347172941324774,0.01042607716177435
purchase_history,3+,rmsle,R0_TWO_PART,587079,0.7310583413816539,,,,,,,1.8869962594200194,0.0627050424493163
purchase_history,3+,rmsle,CLOCK_REPLACE,587079,0.7310583413816539,,,,,,,1.8237516181377373,-0.0005395988329657264
purchase_history,3+,rmsle,CLOCK_META,587079,0.7310583413816539,,,,,,,1.8240513787978359,-0.00023983817286721276
buyer_type,regular,classification,R0,13608,0.5433568489124044,0.7445414535103215,0.2642590794543751,0.5811497326203209,0.5879091154990533,0.5761536463554554,0.6431956308579846,,
buyer_type,regular,classification,CLOCK,13608,0.5433568489124044,0.6608788604482116,0.23487501120282425,0.6259330937240807,0.6123884230457127,0.629371601849428,0.6747579844599076,,
buyer_type,regular,classification,EXISTING_B30,13608,0.5433568489124044,0.6548885458398468,0.2320623410484106,0.6254585473220836,0.6917771165810116,0.6428387098543439,0.6852528201387849,,
buyer_type,regular,rmsle,BASE,13608,0.5433568489124044,,,,,,,1.9731378248677616,0.0
buyer_type,regular,rmsle,CLOCK_TWO_PART,13608,0.5433568489124044,,,,,,,1.9862648198679302,0.013126995000168673
buyer_type,regular,rmsle,R0_TWO_PART,13608,0.5433568489124044,,,,,,,2.0874040384385077,0.11426621357074618
buyer_type,regular,rmsle,CLOCK_REPLACE,13608,0.5433568489124044,,,,,,,1.9724083623918156,-0.0007294624759459634
buyer_type,regular,rmsle,CLOCK_META,13608,0.5433568489124044,,,,,,,1.9730505711823796,-8.725368538198275e-05
buyer_type,irregular,classification,R0,529908,0.7620832295417318,0.4788998261162582,0.1584855999360211,0.7994718504051959,0.9153538335058464,0.7538551665087541,0.9086726083675544,,
buyer_type,irregular,classification,CLOCK,529908,0.7620832295417318,0.45230413043840334,0.14960385071039495,0.8013493523830141,0.9350054725456499,0.7804042694905317,0.9209299758284176,,
buyer_type,irregular,classification,EXISTING_B30,529908,0.7620832295417318,0.44747501895607644,0.1477203569543965,0.8030969327232672,0.9388164443806118,0.7870939063999307,0.9233850626516611,,
buyer_type,irregular,rmsle,BASE,529908,0.7620832295417318,,,,,,,1.8136590105600046,0.0
buyer_type,irregular,rmsle,CLOCK_TWO_PART,529908,0.7620832295417318,,,,,,,1.8233691963035474,0.009710185743542876
buyer_type,irregular,rmsle,R0_TWO_PART,529908,0.7620832295417318,,,,,,,1.8631940898528057,0.0495350792928011
buyer_type,irregular,rmsle,CLOCK_REPLACE,529908,0.7620832295417318,,,,,,,1.8131218076127043,-0.0005372029473003082
buyer_type,irregular,rmsle,CLOCK_META,529908,0.7620832295417318,,,,,,,1.8134218678075609,-0.00023714275244368643
buyer_type,dormant,classification,R0,39212,0.3493828419871468,0.8246840359946044,0.2437546434777111,0.3166303558460421,0.06364963503649634,0.5413232616452999,0.3642078152656074,,
buyer_type,dormant,classification,CLOCK,39212,0.3493828419871468,0.635584746864402,0.2220577647105208,0.5513059701492538,0.04313868613138686,0.5911515248012672,0.4306379766506345,,
buyer_type,dormant,classification,EXISTING_B30,39212,0.3493828419871468,0.6275161938802057,0.21847689721843977,0.5276997189883581,0.19189781021897812,0.6200192810367756,0.45941656697606775,,
buyer_type,dormant,rmsle,BASE,39212,0.3493828419871468,,,,,,,1.8318096840432896,0.0
buyer_type,dormant,rmsle,CLOCK_TWO_PART,39212,0.3493828419871468,,,,,,,1.8470486457794788,0.015238961736189216
buyer_type,dormant,rmsle,R0_TWO_PART,39212,0.3493828419871468,,,,,,,1.926923741570303,0.09511405752701352
buyer_type,dormant,rmsle,CLOCK_REPLACE,39212,0.3493828419871468,,,,,,,1.8312967894702048,-0.0005128945730847878
buyer_type,dormant,rmsle,CLOCK_META,39212,0.3493828419871468,,,,,,,1.8319739557961316,0.00016427175284206008
buyer_type,high_frequency,classification,R0,377289,0.8252162135657282,0.3998665485506389,0.12493971021073808,0.8472570259913924,0.9686778332717725,0.7635885932087879,0.9360277726165837,,
buyer_type,high_frequency,classification,CLOCK,377289,0.8252162135657282,0.3748220466483487,0.11851484348384647,0.8507034715865079,0.9700525140920844,0.7991648913834764,0.9479953283109541,,
buyer_type,high_frequency,classification,EXISTING_B30,377289,0.8252162135657282,0.3704947810783895,0.11699734387013348,0.8521941581191883,0.9710899484494693,0.8055460867875736,0.9497799719066983,,
buyer_type,high_frequency,rmsle,BASE,377289,0.8252162135657282,,,,,,,1.7282669804237956,0.0
