original_path,filename,extension,type,purpose,size_bytes,sha256,experiment_association,schema_or_arrays,last_write_utc,copied,evidence_excluded
data/processed/BLOCK4_SAF_future_20250403.parquet,BLOCK4_SAF_future_20250403.parquet,.parquet,dataset,source_or_derived_dataset,1062225,9e5b85737bfb0c6f1165f6680742613481bf33ef95b521d12c12b43de5f41166,team_a:exp_039,rows=200801;row_groups=3;columns=user_id|activity|y,1787306696130680600,no,no
data/processed/BLOCK4_SAF_future_20250410.parquet,BLOCK4_SAF_future_20250410.parquet,.parquet,dataset,source_or_derived_dataset,1064661,b136ed21037e9f41f2c8ba6efb695bd2bcb87e3703ac954ad3054a651be352da,team_a:exp_039,rows=200998;row_groups=3;columns=user_id|activity|y,1787306696175747700,no,no
data/processed/BLOCK4_SAF_future_20250417.parquet,BLOCK4_SAF_future_20250417.parquet,.parquet,dataset,source_or_derived_dataset,1069040,044a5268d16413a3fbf860196d1ce8aa67ec881d77d8dab319f90e0cb399460c,team_a:exp_039,rows=201614;row_groups=3;columns=user_id|activity|y,1787306696220861600,no,no
data/processed/BLOCK4_SAF_future_20250424.parquet,BLOCK4_SAF_future_20250424.parquet,.parquet,dataset,source_or_derived_dataset,1074907,7dee0fd9f24229122290a18ef166d0edee6bc3500c30515f35d4df5a567222bb,team_a:exp_039,rows=202604;row_groups=3;columns=user_id|activity|y,1787306696265874900,no,no
data/processed/BLOCK4_SAF_future_20250501.parquet,BLOCK4_SAF_future_20250501.parquet,.parquet,dataset,source_or_derived_dataset,1081350,65ed5b663d23bede32f7da6e6f9aa2430a27c8e4495617e4b7d8ef4271912f78,team_a:exp_039,rows=203439;row_groups=3;columns=user_id|activity|y,1787306696308989300,no,no
data/processed/BLOCK4_SAF_future_20250508.parquet,BLOCK4_SAF_future_20250508.parquet,.parquet,dataset,source_or_derived_dataset,1103085,8248e3432b4d0b4e9f0899b50fc9f7cda18f794c913d8d761291f235965f06c1,team_a:exp_039,rows=204237;row_groups=3;columns=user_id|activity|y,1787306696352206600,no,no
data/processed/BLOCK4_SAF_future_20250515.parquet,BLOCK4_SAF_future_20250515.parquet,.parquet,dataset,source_or_derived_dataset,1105352,01271abbe44ed2349cf4d6f7835579486b18e7f93f59f3d830afd17a9eb902c0,team_a:exp_039,rows=205221;row_groups=3;columns=user_id|activity|y,1787306696395888700,no,no
data/processed/BLOCK4_SAF_future_20250522.parquet,BLOCK4_SAF_future_20250522.parquet,.parquet,dataset,source_or_derived_dataset,1113780,f8bc46f872b6f247783b0f7ab8095866315c7c5937e356e8a7a37394e5e7ff6b,team_a:exp_039,rows=205883;row_groups=3;columns=user_id|activity|y,1787306696442710400,no,no
data/processed/BLOCK4_SAF_future_20250529.parquet,BLOCK4_SAF_future_20250529.parquet,.parquet,dataset,source_or_derived_dataset,1123209,901964b231f654401e1307b172745dfb3f062d527440d29c1b30c48304e7c565,team_a:exp_039,rows=206410;row_groups=3;columns=user_id|activity|y,1787306696489570400,no,no
data/processed/BLOCK4_SAF_future_20250605.parquet,BLOCK4_SAF_future_20250605.parquet,.parquet,dataset,source_or_derived_dataset,1133553,2a09a6eb38a75accacf21a399fccb89987b6ab255a5fa283d0cda093252e8be0,team_a:exp_039,rows=207076;row_groups=3;columns=user_id|activity|y,1787306696537039700,no,no
