original_path,filename,extension,type,purpose,size_bytes,sha256,experiment_association,schema_or_arrays,last_write_utc,copied,evidence_excluded
.claude/settings.local.json,settings.local.json,.json,other,unclassified,297,aa09ad1fd0af944f80fb3e723f6645b78a07f22a94f9324c1afe844d9198f2de,unknown,keys=permissions,1786521524956759100,no,no
.gitignore,.gitignore,[none],other,unclassified,224,0e314d572e1b4c6c186179b7d55f758a89eb61aa81349d52caf6911c85d33b44,unknown,unknown,1786543131695366500,no,no
AGENTS.md,AGENTS.md,.md,other,unclassified,2047,30bd10caa44ce19d7454bbc260b80fd68ccc351bbdf5fb37da10177fa12e08f4,unknown,unknown,1786377704295333300,no,yes
artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144/latest_reconstructed.csv,latest_reconstructed.csv,.csv,test_prediction,test_prediction,6613022,a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,team_a:exp_067,columns=user_id|predict,1787663139705346200,no,no
artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144_V2/latest_reconstructed.csv,latest_reconstructed.csv,.csv,test_prediction,test_prediction,6613022,a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,team_a:exp_067,columns=user_id|predict,1787663212993460200,no,no
artifacts/availcurve_SEQ-03A-A25-S42-V1016_on1016.csv,availcurve_SEQ-03A-A25-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1364,f20a3602c114a3ba1d96c012a9636fd5db5dd361f7dd34742e912a23ac6122d6,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786663039802753400,no,no
artifacts/availcurve_SEQ-03A-B-S42-V1016_on1016.csv,availcurve_SEQ-03A-B-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1342,6ff2d301ede63c5ea246402b8426cbbdd0dc1f263553fc96bb75b2cc9014af51,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786656261601367800,no,no
artifacts/availcurve_SEQ-03A-BASE-S42-V1016_on1016.csv,availcurve_SEQ-03A-BASE-S42-V1016_on1016.csv,.csv,metrics_or_diagnostics,run_metrics_or_diagnostics,1309,01f801e4af4bd6fdb996ff298eba891ca9ff4a61c8b091d481aeea78afb8d563,component_family:seq;team_a:exp_025,columns=ckpt|panel|aug|shift|n_zero_left|rmsle|rmsle_cal|offset|mean_z|var_vs_k0|corr_vs_k0|d_cal,1786650972041354200,no,no
artifacts/availprobe_SEQ-01-S43-V0904_on0904.csv,availprobe_SEQ-01-S43-V0904_on0904.csv,.csv,other,unclassified,483,329acd1247ab570c78579d7716acf5fafd071bc8d10f3dce8886ae8d1ae7cbd3,component_family:seq;team_a:exp_025,columns=ckpt|panel|mode|n_zero_pos|rmsle|rmsle_cal|offset|mean_z|std_z|var_vs_base|corr_vs_base|d_cal,1786641067877099100,no,no
artifacts/availprobe_SEQ-01-S43-V0904_on1016.csv,availprobe_SEQ-01-S43-V0904_on1016.csv,.csv,other,unclassified,477,932726220812b42af024fc232c65153e54ce255d8bbaa3f84c88fb275c5e42fd,component_family:seq;team_a:exp_025,columns=ckpt|panel|mode|n_zero_pos|rmsle|rmsle_cal|offset|mean_z|std_z|var_vs_base|corr_vs_base|d_cal,1786640931757196200,no,no
