"relative_path","size_bytes","last_write_utc"
".claude\settings.local.json","297","2026-08-12T07:58:44.9567591Z"
".git\COMMIT_EDITMSG","41","2026-08-14T11:39:59.7943291Z"
".git\config","662","2026-08-11T12:56:22.1560603Z"
".git\description","73","2026-08-10T16:01:41.3234358Z"
".git\FETCH_HEAD","704","2026-08-25T11:44:10.2905953Z"
".git\HEAD","39","2026-08-10T17:44:07.1213972Z"
".git\hooks\applypatch-msg.sample","478","2026-08-10T16:01:41.3255155Z"
".git\hooks\commit-msg.sample","896","2026-08-10T16:01:41.3260541Z"
".git\hooks\fsmonitor-watchman.sample","4726","2026-08-10T16:01:41.3271097Z"
".git\hooks\post-update.sample","189","2026-08-10T16:01:41.3276359Z"
".git\hooks\pre-applypatch.sample","424","2026-08-10T16:01:41.3281659Z"
".git\hooks\pre-commit.sample","1649","2026-08-10T16:01:41.3292387Z"
".git\hooks\pre-merge-commit.sample","416","2026-08-10T16:01:41.3297643Z"
".git\hooks\pre-push.sample","1374","2026-08-10T16:01:41.3302873Z"
".git\hooks\pre-rebase.sample","4898","2026-08-10T16:01:41.3308186Z"
".git\hooks\pre-receive.sample","544","2026-08-10T16:01:41.3313370Z"
".git\hooks\prepare-commit-msg.sample","1492","2026-08-10T16:01:41.3318724Z"
".git\hooks\push-to-checkout.sample","2783","2026-08-10T16:01:41.3323882Z"
".git\hooks\sendemail-validate.sample","2308","2026-08-10T16:01:41.3336482Z"
".git\hooks\update.sample","3650","2026-08-10T16:01:41.3341891Z"
".git\index","25657","2026-08-19T20:26:59.8051064Z"
".git\info\exclude","240","2026-08-10T16:01:41.3352869Z"
".git\logs\HEAD","3886","2026-08-14T11:39:59.8033497Z"
".git\logs\refs\heads\codex\calendar-placebo-01","380","2026-08-13T18:46:31.7415621Z"
".git\logs\refs\heads\codex\domain-01","387","2026-08-13T17:59:56.5534259Z"
".git\logs\refs\heads\codex\renewal-01","544","2026-08-13T16:44:37.6768372Z"
".git\logs\refs\heads\exp\057-global-regime-occ","368","2026-08-24T22:58:15.7279294Z"
".git\logs\refs\heads\exp\058-exact-anniversary","162","2026-08-24T21:18:22.1164091Z"
".git\logs\refs\heads\main","192","2026-08-10T16:01:44.2844329Z"
".git\logs\refs\heads\team-a","171","2026-08-10T16:11:39.5353974Z"
".git\logs\refs\heads\team-a-strategy-1-impl","3064","2026-08-14T11:39:59.8043499Z"
".git\logs\refs\heads\team-a-strategy-2-impl","609","2026-08-11T11:12:24.7032810Z"
".git\logs\refs\heads\team-a-strategy-research","379","2026-08-10T17:19:25.6876333Z"
".git\logs\refs\remotes\origin\HEAD","192","2026-08-10T16:01:44.2777243Z"
".git\logs\refs\remotes\origin\main","624","2026-08-17T10:45:53.1303441Z"
".git\logs\refs\remotes\origin\team-a","453","2026-08-14T11:40:02.5370108Z"
".git\logs\refs\remotes\origin\team-a-strategy-1-impl","151","2026-08-11T12:56:22.1592432Z"
".git\logs\refs\remotes\origin\team-b","312","2026-08-17T10:45:53.1319170Z"
".git\logs\refs\remotes\origin\team-b-B2","780","2026-08-25T07:03:36.9560904Z"
".git\logs\refs\remotes\origin\team-b-strategy-1-impl","468","2026-08-17T10:45:53.1345538Z"
".git\objects\00\0fa229947a1f723158d02d2a0a02bd60da08c0","682","2026-08-12T16:59:10.3485593Z"
".git\objects\00\155edab51c9e9ff871d2c63d5fe295847810a6","5331","2026-08-25T13:21:19.2414004Z"
".git\objects\00\45fb26dbb858425e2412a44acc5f101f9f1904","1789","2026-08-23T15:48:54.4928085Z"
".git\objects\01\617874f41020d3f7f3ebdb432fe78e60f8633b","115","2026-08-12T10:29:43.8700387Z"
".git\objects\01\a2b04567fb4ddba436590ee02bd3ac504d3a58","380","2026-08-13T16:51:52.4184353Z"
".git\objects\01\c10c13a916baa1756b260eb9f68fc28c75bae6","2108","2026-08-10T17:19:06.0441287Z"
".git\objects\01\dbef240d3860244a8ce091a6e07f6e226a087e","2245","2026-08-13T17:58:31.4499467Z"
".git\objects\03\66bd9b40b8ca784dbe3e2ccdb744dcc22f5b4a","169","2026-08-13T15:32:39.0057276Z"
".git\objects\03\69ff444d7722301c983ad4d10acfe98767d7da","28435","2026-08-25T14:50:00.7207169Z"
