component_id,experiment_association,model_family,oof_artifacts,test_artifacts,model_artifacts,artifact_count,schema_or_arrays,sha256,pairing_status,duplicate_note,validation_protocol,ensemble_readiness
BLOCK4_SAF,team_a:exp_039,unknown,artifacts/oof_BLOCK4_SAF.npz,artifacts/test_BLOCK4_SAF.npz,unknown,2,"arrays=uid:(250000,):int64|z_base:(250000,):float32|q:(250000,):float32|nu_c:(250000,):float32|nu_f:(250000,):float32|delta_raw:(250000,):float32|delta:(250000,):float32|alpha:():float64|z_new:(250000,):float32;arrays=uid:(770616,):int64|cutoff:(770616,):<U10|y:(770616,):float32|activity:(770616,):int8|z_base:(770616,):float32|q:(770616,):float32|nu_c:(770616,):float32|nu_f:(770616,):float32|delta_raw:(770616,):float32|delta:(770616,):float64|delta_shuf:(770616,):float64|z_new_honest:(770616,):float64",1d97523f05a0b0dddb8356de95ec0edaa9146d6b1b87549eff68b1d7385c40c4;38c684d69600c8a2ee0e7dad8a18a22d0891e1bda0762d321b0497d9e5db18ee,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
BLOCK4_SAF_test_raw,team_a:exp_039,unknown,unknown,artifacts/BLOCK4_SAF_test_raw.npz,unknown,1,"arrays=uid:(250000,):int64|z_base:(250000,):float32|q:(250000,):float32|q_seed:(3, 250000):float32|nu_c:(3, 250000):float32|nu_f:(3, 250000):float32|nu_shuf:(3, 250000):float32|w180:(250000,):float32|rec:(250000,):float32",658bb6435b35fbe445ecd9cef9faa4376fd62282f6b158205c3496591be465a2,test_only,unknown,unknown,potential_component_only_not_a_recommendation
BTYD_DAY_BGNBD_EXP047_V2:raw,component_family:btyd;team_a:exp_047,btyd,artifacts/BTYD_DAY_BGNBD_EXP047_V2/oof_raw.npz,unknown,unknown,1,"arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|y:(770616,):float64|z_strongest:(770616,):float64|x:(770616,):int32|t_x:(770616,):int32|T:(770616,):int32|group:(770616,):int8|p_alive:(770616,):float32|expected_count_30:(770616,):float32|mu_u:(770616,):float32|sigma_population:(770616,):float32|z_btyd:(770616,):float64|hash_side:(770616,):uint64|actual_count_30:(770616,):int16|rec_buy:(770616,):float32|w180_days_buy:(770616,):float32",754d930b2347beb400b947c416cf56cc036f0b80c35ea039402432263b89d6af,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
BTYD_STABLE_EXP051:predictive_stability,component_family:btyd;team_a:exp_051,btyd,research/strategies/results/BTYD_STABLE_EXP051/oof_predictive_stability.json,research/strategies/results/BTYD_STABLE_EXP051/test_predictive_stability.json,unknown,2,keys=centered_fixed_005_correction|maxima|policy_id|rows|status;keys=fit_rows|fold_rows|gates|maxima|policy_id|status,7889a7892f3e3e04f462bdc55bad2e243cc5f5874f97e10570957041faa261c8;b13e46d8ff42d6eb201fbe5275fe23d58a5fe8211bafef9492e647c8ecc58dac,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
BTYD_STABLE_EXP051:raw,component_family:btyd;team_a:exp_051,btyd,artifacts/BTYD_STABLE_EXP051/oof_raw.npz,artifacts/BTYD_STABLE_EXP051/test_raw.npz,unknown,2,"arrays=user_id:(250000,):int64|group:(250000,):int8|x:(250000,):int32|t_x:(250000,):int32|p_alive:(250000,):float64|expected_count_30:(250000,):float64|mu_u:(250000,):float64|sigma_population:(250000,):float64|z_btyd:(250000,):float64|pmf_tail_30:(250000,):float64|hash_side:(250000,):uint64|z_strongest:(250000,):float64|correction_raw:(250000,):float64|correction_centered:(250000,):float64;arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|y:(770616,):float64|z_strongest:(770616,):float64|x:(770616,):int32|t_x:(770616,):int32|T:(770616,):int32|group:(770616,):int8|p_alive:(770616,):float32|expected_count_30:(770616,):float32|mu_u:(770616,):float32|sigma_population:(770616,):float32|z_btyd:(770616,):float64|hash_side:(770616,):uint64|actual_count_30:(770616,):int16|rec_buy:(770616,):float32|w180_days_buy:(770616,):float32",093358cc2da37fd5aa545ec3c68f693e5de1d13889bcc5006d62a5ed131f87c7;5222d26166c600ba201958937d7226ba535a49a1c7aeb2a8dc3b328b437e5a43,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
BTYD_STABLE_EXP051:summary,component_family:btyd;team_a:exp_051,btyd,research/strategies/results/BTYD_STABLE_EXP051/summary_oof.json,unknown,unknown,1,keys=PROMOTE_TO_PRODUCTION_EXPERIMENT|base_report|count_metrics|decision_reasons|experiment|experiment_number|fixed_weight_curve|folds|nested_better_folds|nested_delta_wcv|nested_fold_deltas|nested_fold_scores|nested_lofo_wcv|outer_selected_weights|positive_residual_alignment_folds|prediction_diagnostics|rows|standalone_btyd_report|verdict,bd087a52848cd55d0075c26cb64afc23542ab4879006691d816377bab9b267c7,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
D1-behavior,independent_domain:exp_028,unknown,unknown,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_D1-behavior.txt,1,unknown,a4b98cccb18aec6b542522bea16dce875f9f6ddccadacc9e463af88ec21b3e03,model_only,unknown,unknown,model_state_only
D1-production,independent_domain:exp_028,unknown,unknown,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_D1-production.txt,1,unknown,d2a1952bc77dff1d1daddce36a3cd7900fdf362df147f1f02a3426ddf2c4a796,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016,team_a:exp_025,unknown,unknown,unknown,artifacts/model_DETSEQ01-S42-V1016.pt,1,unknown,d0c2e5e6e25a54af01db29885e848b56c68e3f8ed327fe33cefdecaf816027e4,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_00000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00000.pt,1,unknown,89ad5ad3c6577cd99370ef79d28568969327a5ca319eac7d7a807feb92869818,model_only,unknown,unknown,model_state_only
