experiment_id,canonical_name,family,date,parent_baseline,change,model_family,validation_protocol,comparison_class,cv_score,delta_cv,folds_positive,folds_total,lb_score,runtime,status,evidence_strength,artifacts,duplicate_of,compatible_tags,notes,namespace,local_id,source_family,train_construction,features,target,folds,seeds,hyperparameters,cv_score_numeric,cv_score_report,per_fold_cv,submission,outcome_bucket,relation_type,raw_compatible_tags,reproducibility_status,facts,interpretation,confounders,conflicts,source_report,source_origin,report_sha256,machine_audit_id
team_a_current:EXP-001,S1-B0 direct LightGBM baseline,tabular_models_and_feature_engineering,2026-08-10,none,establish direct-regression baseline,LightGBM regression,4 temporal folds; report gives equal-weight mean and calibrated OOF,team_a_current:exp-001:comparability_unconfirmed,mean=1.76879; OOF=1.76861; calibrated_OOF=1.76570,not_applicable,not_applicable,4,unknown,157 s,baseline,high_reported_metrics,"[""unknown""]",unknown,"[""changes_model"",""changes_representation""]",Later wCV values use a different fold-weighting convention and are not directly comparable.,team_a_current,EXP-001,tabular_baseline,Three nearest weekly train cutoffs; min_history=90; train panel active in the last 30 days (train_blocks=1); training cutoffs satisfy T+30<=V; validation panel uses three prior 30-day blocks.,236 tabular aggregates over 7/14/30/60/90/180/365-day windows plus the full available period.,"Sum of GMV in (T,T+30], optimized as L2 on log1p(y).","2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42 from config.SEED.,"LightGBM: learning_rate=0.05, num_leaves=127, min_data_in_leaf=200, feature_fraction=0.7, bagging_fraction=0.8, bagging_freq=1, lambda_l2=5, max_bin=63, 600 rounds; L uncapped; step=7.",unknown,mean=1.76879; OOF=1.76861; calibrated_OOF=1.76570,"[1.78975,1.77428,1.75873,1.7524]",unknown,inconclusive,canonical,"[""changes_model"",""baseline"",""standalone""]","partially_reproducible; setup recorded, artifact path not stated","{""primary_report"":""Direct target regression with 236 tabular features; four temporal folds and calibrated OOF are reported.""}","{""primary_report"":""Accepted as the initial baseline.""}",Later wCV values use a different fold-weighting convention and are not directly comparable.,"[""unknown""]",experiments/team_a_current/exp_001_s1_b0_baseline.md,WORKTREE,f8a0c72032933de49d7d41aad54878764899caaf045643a2830c5e8c8e9ae654,unknown
team_a_current:EXP-002,S1-E01 panel rule,train_example_construction,2026-08-10,EXP-001 S1-B0,training-panel rule 1 block to 3 blocks,LightGBM regression,same 4 temporal folds and equal-weight mean as EXP-001,team_a_current:exp-002:comparability_unconfirmed,1.76981,0.00102,0,4,unknown,unknown,rejected,high_reported_metrics,"[""unknown""]",unknown,"[""changes_data_construction"",""mutually_exclusive""]",No calibrated OOF delta stated.,team_a_current,EXP-002,train_example_construction,"Same B0 construction except the training panel is changed from one prior 30-day activity block to three; recent3 cutoffs, min_history=90; validation remains three-block.",Same B0 feature set; the report explicitly changes only the training-panel rule.,Same B0 target; the report explicitly changes only the training-panel rule.,"2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42,"L uncapped, min_history=90, recent3 cutoffs, train_blocks=3, panel_blocks=3; all remaining settings explicitly stated as B0.",1.76981,1.76981,"[1.79156,1.77452,1.75982,1.75332]",unknown,negative,canonical,"[""changes_data_construction"",""mutually_exclusive_with_baseline_panel""]",partially_reproducible,"{""primary_report"":""Panel restriction reduced rows and worsened all four folds versus EXP-001.""}","{""primary_report"":""Rejected because the stricter panel rule consistently harmed CV.""}",No calibrated OOF delta stated.,"[""unknown""]",experiments/team_a_current/exp_002_s1_e01_panel_rule.md,WORKTREE,0526aa077ab803ed7ef56f7cb8504184cc281604536b9f386f45a62b24831795,unknown
team_a_current:EXP-003,S1-E02 dense cutoffs,train_example_construction,2026-08-10,EXP-001 S1-B0,training cutoffs recent-3 to all available cutoffs,LightGBM regression,same 4 temporal folds and equal-weight mean as EXP-001,team_a_current:exp-003:comparability_unconfirmed,mean=1.76182; OOF=1.76165,-0.00697,4,4,unknown,733 s,accepted,high_reported_metrics,"[""unknown""]",unknown,"[""changes_data_construction"",""nested_modification"",""potentially_additive""]",Do not compare raw mean directly with later 1:2:4:8 wCV.,team_a_current,EXP-003,train_example_construction,"All eligible weekly cutoffs across the clean corridor 2025-04-03..2025-10-16, step 7, rather than recent3; train_blocks=1, validation panel three-block, min_history=90.",Same 236-feature B0 set; the report explicitly changes only cutoff density.,Same B0 target; the report explicitly changes only cutoff density.,"2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42.,"LightGBM as B0, 600 rounds; L uncapped; cutoffs=all; step=7.",unknown,mean=1.76182; OOF=1.76165,"[1.78022,1.7676,1.75316,1.7463]",unknown,positive,canonical,"[""changes_data_construction"",""nested_modification"",""potentially_additive""]",partially_reproducible,"{""primary_report"":""All-cutoff training improved all four folds by 0.00697 in equal-weight mean.""}","{""primary_report"":""Kept as a stronger training construction.""}",Do not compare raw mean directly with later 1:2:4:8 wCV.,"[""unknown""]",experiments/team_a_current/exp_003_s1_e02_dense_cutoffs.md,WORKTREE,249f7c9bb6bfdfbf3a26bfc68a544005621113457bf0044ed08c44f87d54acf8,unknown
team_a_current:EXP-004,S1-E03 history-depth suite,train_example_construction,2026-08-10,EXP-003 S1-E02,vary lookback depth and one auxiliary construction arm,LightGBM regression,mixed: E03 variants on 4 folds; E04 comparison only 2 folds,team_a_current:exp-004:comparability_unconfirmed,E03a=1.76787; E03b=1.76999; E03c=1.79931; E04_two_fold=1.75705,E03a +0.00605 vs EXP-003; E04 +0.00732 vs its two-fold baseline 1.74973,unknown,mixed,unknown,unknown,mixed_negative,medium; multi-arm report with missing E03d log result,"[""report references experiment outputs; exhaustive key list not normalized""]",unknown,"[""changes_data_construction"",""changes_representation"",""mutually_exclusive""]",Multiple arms and two validation protocols; values are not a single experiment score.,team_a_current,EXP-004,temporal_representation,"Dense all-cutoff construction inherited from S1-E02; E03a uses L=180,min_history=90, E03b L=180,min_history=180, E03c L=90,min_history=90, E03d L=270,min_history=90; E04 removes long features and is screened on two folds.","E02 has 236 features; capped variants have 195 at L=180, 165 at L=90, and 225 at L=270; E04 removes 41 long features from the uncapped set.",The report explicitly changes only history depth and resulting windows relative to S1-E02; target details are not restated.,E03 variants use the four S1 folds; E04 uses only the last two folds. Exact E03 dates are inherited from S1 but not restated here.,42,"History-depth/min_history arms as listed; cutoffs=all, train_blocks=1; E04 uses L=0 and folds=2. Other model hyperparameters are unknown in this report.",unknown,E03a=1.76787; E03b=1.76999; E03c=1.79931; E04_two_fold=1.75705,unknown,unknown,negative,canonical,"[""changes_representation"",""mutually_exclusive_depth_variants"",""incomparable_protocols""]",partial,"{""primary_report"":""E03a, E03b and E03c scores are recorded; E03d result is absent from the available log. E04 uses only two folds.""}","{""primary_report"":""Shorter/depth-restricted histories were not beneficial; report marked for modification rather than adoption.""}",Multiple arms and two validation protocols; values are not a single experiment score.,"[""E03d named but numeric result unavailable""]",experiments/team_a_current/exp_004_s1_e03_history_depth.md,WORKTREE,473fea4f774b69f38d516f2778f9db70fb3a0f2d480b0191a48dd04a3e6a672c,unknown
team_a_current:EXP-005,S1-E10 normalized long features,tabular_models_and_feature_engineering,2026-08-10,EXP-003 S1-E02,normalize long-window features; 227-feature set,LightGBM regression,4 temporal folds; equal-weight mean plus calibrated OOF,team_a_current:exp-005:comparability_unconfirmed,mean=1.75988; calibrated_OOF=1.75889,-0.00194,3,4,unknown,unknown,accepted_with_caveat,high_reported_metrics,"[""unknown""]",unknown,"[""changes_model"",""changes_representation"",""potentially_additive""]",Adversarial AUC indicates severe train/test separability; later ensemble scores use calibrated and weighted metrics.,team_a_current,EXP-005,feature_engineering,"Same dense all-cutoff S1-E02 construction, with L uncapped, min_history=90, train_blocks=1 and weekly clean cutoffs.","227 features: drop 9 all_* and lifetime_* columns; scale w365 sums/counts by 365/min(365,available history); replace tenure, first_buy_age and gap_max by available-history fractions; normalize before derived ratios/logs.",Same as S1-E02 because the report explicitly changes only the long-window representation; target details are not restated.,"2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42,"Feature build/train flags L=0, min_history=90, norm_long, train_blocks=1, cutoffs=all; remaining model parameters unknown in this report.",unknown,mean=1.75988; calibrated_OOF=1.75889,"[1.77429,1.76617,1.75356,1.7455]",unknown,positive,canonical,"[""changes_representation"",""potentially_additive""]",partially_reproducible,"{""primary_report"":""Normalized-long features improved mean CV on 3/4 folds. Reported adversarial AUC worsened to 1.0.""}","{""primary_report"":""Kept for score, with a distribution-shift warning.""}",Adversarial AUC indicates severe train/test separability; later ensemble scores use calibrated and weighted metrics.,"[""unknown""]",experiments/team_a_current/exp_005_s1_e10_normalized_long.md,WORKTREE,8fd859514e897d822ed428b7c1f3fa86b071e231b84e6a8847d7f3411211609a,unknown
team_a_current:EXP-006,S1-BEST ensemble,ensembles_stacking_and_component_selection,2026-08-10,EXP-001 S1-B0,blend 0.45 NORM + 0.45 UNC + 0.10 CAP with level calibration,LightGBM ensemble,4 temporal folds; equal-weight mean and calibrated OOF,team_a_current:exp-006:comparability_unconfirmed,mean=1.75886; calibrated_OOF=1.75716,-0.00993,4,4,strategy_1=1.6512802628833827; low=1.6519789982910107; high=1.6529908823677866,unknown,accepted,high local; LB author-reported and files exist,"[""three submission CSVs exist""]",unknown,"[""changes_ensemble"",""changes_postprocessing"",""same_prediction_source""]",LB values are not independently platform-verified in this audit.,team_a_current,EXP-006,ensembles,"29 weekly cutoffs 2025-04-03..2025-10-16, 6,065,972 rows; one-block training panel and three-block validation/test panels.","Log-space blend of S1-NORM 227 normalized-long features, S1-UNC 236 uncapped features, and S1-CAP 195 features with history capped at 180 days.","Sum of GMV in (T,T+30], trained with L2 on log1p(y).","2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42.,"Each LightGBM: 600 rounds, learning_rate=0.05, num_leaves=127, min_data_in_leaf=200, feature_fraction=0.7, bagging_fraction=0.8, bagging_freq=1, lambda_l2=5, max_bin=63; blend weights 0.45/0.45/0.10; z_cal=max(z-0.1486,0).",unknown,mean=1.75886; calibrated_OOF=1.75716,"[1.77449,1.76484,1.7517,1.74443]","[""submissions/submission_strategy_1.csv"",""submissions/submission_strategy_1_level_low.csv"",""submissions/submission_strategy_1_level_high.csv""]",positive,canonical,"[""changes_ensemble"",""changes_postprocessing"",""same_prediction_sources""]",artifact_present; full prediction lineage only partially explicit,"{""primary_report"":""Blend improved all folds versus EXP-001 and produced three existing submission files with three reported public scores.""}","{""primary_report"":""Accepted as the first strong submission recipe.""}",LB values are not independently platform-verified in this audit.,"[""unknown""]",experiments/team_a_current/exp_006_s1_best_submission.md,WORKTREE,fd734ea1752b905e7950f51bddf814436444559cca0f8f04dd908842de7ef846,unknown
team_a_current:EXP-007,Radical minimalism,tabular_models_and_feature_engineering,2026-08-10,EXP-006 S1-BEST,replace rich tabular representation with 15-feature model,LightGBM regression,4 temporal folds; equal-weight mean and calibrated OOF,team_a_current:exp-007:comparability_unconfirmed,mean=1.77335; calibrated_OOF=1.77065,0.01349,0,4,1.667424590457357,unknown,rejected,high local; LB author-reported,"[""submission exists""]",unknown,"[""changes_model"",""changes_representation"",""mutually_exclusive""]",Baseline comparison mixes standalone calibrated OOF and ensemble score naming; direction is unambiguous.,team_a_current,EXP-007,feature_engineering,Weekly cutoffs 2025-04-03..2025-10-16; one-block training panel and three-block validation/test panels.,"15 retained stable purchase, GMV, recency and activity columns from the 236-feature pipeline, using fixed windows no longer than 180 days.",unknown,"Canonical S1 validation folds 2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42 from config.py.,"LightGBM 400 rounds, num_leaves=31, min_data_in_leaf=800, lambda_l2=20; test level fixed to 2.3293.",unknown,mean=1.77335; calibrated_OOF=1.77065,"[1.78521,1.7776,1.76795,1.76262]",submissions/experimental_submission_1.csv,negative,canonical,"[""changes_representation"",""mutually_exclusive_feature_set""]",partial,"{""primary_report"":""Minimal feature model was materially worse locally and on reported public LB.""}","{""primary_report"":""Rejected.""}",Baseline comparison mixes standalone calibrated OOF and ensemble score naming; direction is unambiguous.,"[""unknown""]",experiments/team_a_current/exp_007_radical_minimalism.md,WORKTREE,4ead2b44a363156afb0df642c120c58b2ac15757d7600af646503ead731a3640,unknown
team_a_current:EXP-008,Rank-cohort similarity,ensembles_stacking_and_component_selection,2026-08-10,EXP-006 S1-BEST,rank/cohort similarity model and 0.5 blend,cohort model plus ensemble,4 temporal folds; standalone equal-weight mean; blend calibrated OOF,team_a_current:exp-008:comparability_unconfirmed,standalone_mean=1.85169; standalone_calibrated_OOF=1.82105; blend_OOF=1.77210,blend +0.01494 vs S1-BEST calibrated OOF,0,4,1.6682180280505314,unknown,rejected,high local; LB author-reported,"[""submission exists""]",unknown,"[""changes_ensemble"",""changes_model"",""changes_representation"",""potentially_additive""]",Standalone score and ensemble OOF are distinct endpoints.,team_a_current,EXP-008,representation_and_ensembles,Cutoffs are taken from config.py; exact dates and panel construction are not stated in this report.,"Four rank-profile inputs: w180_days_buy, w30_days_buy, w30_lgmv and rec_buy; 8x6x8x6=2304 fine cohorts with backoff to 48 coarse cohorts and the global mean.",Smoothed cohort means of log1p(y); the underlying y window is not restated.,"Canonical S1 validation folds 2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",Taken from config.py; numeric value unknown.,Fine/coarse smoothing 100/500; similarity blend weights scanned at 0.25/0.50/0.75/1.00 and 0.50 selected; final test level 2.3293.,unknown,standalone_mean=1.85169; standalone_calibrated_OOF=1.82105; blend_OOF=1.77210,"[1.86578,1.86318,1.84892,1.82889]",submissions/experimental_submission_2.csv,negative,canonical,"[""changes_representation"",""changes_ensemble"",""potentially_additive_tested_negative""]",partial,"{""primary_report"":""Standalone and blended variants were worse than S1-BEST; submission file exists.""}","{""primary_report"":""Rejected.""}",Standalone score and ensemble OOF are distinct endpoints.,"[""unknown""]",experiments/team_a_current/exp_008_cohort_similarity.md,WORKTREE,dccd9f9814712f7ac2cafd72e2ec64a1e63b517281f43dfcb6b8ec9cd4d2777c,unknown
team_a_current:EXP-013,S1-E11 two-part model,behavioral_occurrence_and_btyd,2026-08-10,EXP-005 S1-E10 direct; secondary EXP-006 S1-BEST,two-part occurrence/amount decomposition,LightGBM two-part model,4 temporal folds; equal-weight mean and calibrated OOF reconstructed from log/artifacts,team_a_current:exp-013:comparability_unconfirmed,mean=1.75893; calibrated_OOF=1.75792,-0.00097 vs direct E10 calibrated OOF; +0.00076 vs S1-BEST,depends on baseline,4,unknown,1985 s,open_mixed,medium_high; reconstructed from direct artifacts,"[""direct log/OOF references present""]",unknown,"[""changes_model"",""changes_target"",""potentially_additive""]",Two different baselines yield opposite verdicts.,team_a_current,EXP-013,target_decomposition,"All weekly cutoffs, 24 eligible train cutoffs per fold, min_history=90, train_blocks=1 and panel_blocks=3.","The S1-E10 normalized-long feature set, 227 columns.",Two-part target: binary P(y>0) multiplied by regression E[log1p(y) | y>0]; the y horizon is not restated in this report.,"Canonical S1 validation folds 2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",From config.py; numeric value unknown.,"Two LightGBM heads, 600 rounds, default LGB_PARAMS from config.py; L uncapped, norm_long=true.",unknown,mean=1.75893; calibrated_OOF=1.75792,"[1.77344,1.76548,1.75209,1.74469]",unknown,inconclusive,canonical,"[""changes_target"",""changes_model"",""potentially_additive""]",partial_artifacts_present,"{""primary_report"":""Two-part model slightly beat direct E10 but not S1-BEST on calibrated OOF.""}","{""primary_report"":""Left open rather than accepted as standalone best.""}",Two different baselines yield opposite verdicts.,"[""none numeric; report itself is a reconstruction""]",experiments/team_a_current/exp_013_s1_e11_two_part.md,WORKTREE,03a7acf056f39dc54c13cb56555fbeae61a4247262a2e11724d2ad374f35f9d6,unknown
team_a_current:EXP-014,S1-DIST distribution head,target_distribution_and_decomposition,2026-08-11,EXP-005 S1-E10; ensemble baseline EXP-006,16-bin multiclass distribution head and blend,LightGBM multiclass/distribution head,"4 temporal folds; equal-weight mean, calibrated OOF, and ensemble OOF",team_a_current:exp-014:comparability_unconfirmed,mean=1.75834; calibrated_OOF=1.75744; ensemble_OOF=1.75645,head -0.00145 vs E10 calibrated OOF; ensemble -0.00071 vs S1-BEST,4,4,1.6507774106,66 min,accepted,high local; LB author-reported,"[""OOF/model references and submission exist""]",unknown,"[""changes_ensemble"",""changes_model"",""changes_target"",""potentially_additive""]","Report contains later post-hoc extension text, but metric lineage remains explicit.",team_a_current,EXP-014,target_distribution,"Dense weekly clean cutoffs with 18/20/22/24 eligible training cutoffs by fold; min_history=90, train_blocks=1, panel_blocks=3.",Same 227 normalized-long S1-E10 features.,Multiclass distribution of z=log1p(y): bin 0 is exact zero and 15 bins are train quantiles for z>0; prediction is the probability-weighted train centroid sum.,"2025-09-04, 2025-09-18, 2025-10-02, 2025-10-16.",42.,"LightGBM multiclass with 16 bins, 250 rounds, LGB_PARAMS from config.py; blend weights E10/E02/E03a/DIST=0.15/0.30/0.10/0.45; level 2.3293.",unknown,mean=1.75834; calibrated_OOF=1.75744; ensemble_OOF=1.75645,"[1.77015,1.76382,1.75183,1.74427]",submissions/submission_dist_head.csv,positive,canonical,"[""changes_target"",""changes_model"",""changes_ensemble"",""potentially_additive""]",artifacts_present,"{""primary_report"":""Distribution head and its ensemble improved all folds; existing submission has reported public score.""}","{""primary_report"":""Accepted as a stronger component/ensemble.""}","Report contains later post-hoc extension text, but metric lineage remains explicit.","[""unknown""]",experiments/team_a_current/exp_014_s1_dist_head.md,WORKTREE,22047359e0364c11178d7dce65c7ced5a0155de3e39cd655f3615bcfc42de170,unknown
