family,experiment_count,positive,negative,inconclusive,scored_comparable_units,best_results_by_comparison_class,median_results_by_comparison_class,runtime_evidence,saturation_evidence,experiment_ids
behavioral_occurrence_and_btyd,15,1,4,10,3,"{""team_a_current:calibrated_temporal_4fold_nested_lofo"":{""score"":1.7472406781889451,""experiment_id"":""team_a_current:EXP-047"",""n"":3}}","{""team_a_current:calibrated_temporal_4fold_nested_lofo"":1.7472406805088336}","[""1985 s"",""{\""runtime_hours\"":4.496829305820995}"",""{\""runtime_hours\"":0.2553213311566247}"",""{\""runtime_hours\"":0.3740995480616887}"",""{\""runtime_hours\"":0.34909611788060935}"",""{\""runtime_hours\"":0.46993584016958867}"",""{\""runtime_hours\"":0.5846173704332776}"",""{\""runtime_hours\"":0.5895093279414707}"",""{\""runtime_hours\"":0.6189208606216643}"",""{\""runtime_hours\"":0.6077214530441496}"",""artifact-only"",""reported stage estimates about115 min total; exact runtime unknown""]",several_negative_results; evidence_is_implementation_and_protocol_specific,"[""team_a_current:EXP-013"",""independent_renewal:EXP-027"",""team_a_current:EXP-047"",""team_a_current:EXP-051"",""teammate_review:TM-RUN-FINAL6H-20260823"",""teammate_review:TM-TRAIN-OCC-R10-FAST"",""teammate_review:TM-TRAIN-OCC-R12-WIDE"",""teammate_review:TM-TRAIN-OCC-R14-MULTISCALE"",""teammate_review:TM-TRAIN-OCC-R16-BAL"",""teammate_review:TM-TRAIN-OCC-R18-WIDE"",""teammate_review:TM-TRAIN-OCC-R20-SHALLOW"",""teammate_review:TM-TRAIN-OCC-R22-STABLE"",""teammate_review:TM-TRAIN-OCC-R24-MULTISCALE"",""team_a_current:EXP-063"",""independent_global_regime:EXP-057""]"
calibration_and_postprocessing,13,3,9,1,10,"{""team_a_current:calibrated_temporal_4fold_nested_lofo"":{""score"":1.747485106715659,""experiment_id"":""team_a_current:EXP-042"",""n"":1},""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7495766939331436,""experiment_id"":""team_a_current:EXP-023"",""n"":1},""team_a_current:single_fold_protocol"":{""score"":1.7412947349972308,""experiment_id"":""team_a_current:EXP-057"",""n"":2},""team_b_alt:single_fold_protocol"":{""score"":1.672748,""experiment_id"":""team_b_alt:EXP-005"",""n"":1},""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":{""score"":1.708632,""experiment_id"":""team_b_core:EXP-017"",""n"":5}}","{""team_a_current:calibrated_temporal_4fold_nested_lofo"":1.747485106715659,""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.7495766939331436,""team_a_current:single_fold_protocol"":1.744402298681533,""team_b_alt:single_fold_protocol"":1.672748,""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":1.708737}","[""artifact-only""]",mixed_or_insufficient_evidence,"[""team_a_s2:EXP-011"",""team_a_s2:EXP-012"",""team_b_alt:EXP-005"",""team_a_current:EXP-023"",""team_b_core:EXP-015"",""team_b_core:EXP-016"",""team_b_core:EXP-017"",""team_b_core:EXP-018"",""team_b_core:EXP-019"",""team_a_current:EXP-042"",""team_a_current:EXP-057"",""team_a_current:EXP-060"",""team_a_current:EXP-062""]"
domain_shift_unlabeled_and_dataset_identity,2,0,2,0,1,"{""team_a_current:single_fold_protocol"":{""score"":1.7422688089459835,""experiment_id"":""team_a_current:EXP-056"",""n"":1}}","{""team_a_current:single_fold_protocol"":1.7422688089459835}","[""machine summary stage34.707s; total run unknown""]",mixed_or_insufficient_evidence,"[""independent_calendar:EXP-029"",""team_a_current:EXP-056""]"
ensembles_stacking_and_component_selection,21,8,10,3,9,"{""team_a_current:calibrated_temporal_4fold_nested_lofo"":{""score"":1.747284906303239,""experiment_id"":""team_a_current:EXP-040"",""n"":1},""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7477422600193706,""experiment_id"":""team_a_current:EXP-026"",""n"":3},""team_a_current:informational_4fold_not_decision_metric"":{""score"":1.7472719649885926,""experiment_id"":""team_a_current:EXP-059"",""n"":1},""team_a_current:preflight_or_auxiliary_metric"":{""score"":1.7412785664479717,""experiment_id"":""team_a_current:EXP-052"",""n"":1},""team_b_alt:single_fold_protocol"":{""score"":1.671639,""experiment_id"":""team_b_alt:EXP-008"",""n"":1},""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":{""score"":1.716366,""experiment_id"":""team_b_core:EXP-013"",""n"":2}}","{""team_a_current:calibrated_temporal_4fold_nested_lofo"":1.747284906303239,""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.7505691416172469,""team_a_current:informational_4fold_not_decision_metric"":1.7472719649885926,""team_a_current:preflight_or_auxiliary_metric"":1.7412785664479717,""team_b_alt:single_fold_protocol"":1.671639,""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":1.7164395}","[""about 32 min for four new seeds"",""{\""runtime_minutes\"":31.111259865760804}"",""{\""runtime_hours\"":1.470208673675855}"",""709.605 s"",""artifact-only""]",mixed_or_insufficient_evidence,"[""team_a_current:EXP-006"",""team_a_current:EXP-008"",""team_b_alt:EXP-008"",""team_a_current:EXP-018"",""team_a_current:EXP-020"",""team_b_alt:EXP-009"",""team_b_alt:EXP-010"",""team_a_current:EXP-024"",""team_a_current:EXP-026"",""team_b_alt:EXP-011"",""team_b_core:EXP-013"",""team_b_core:EXP-014"",""team_b_core:EXP-034"",""team_b_alt:EXP-014"",""team_b_alt:EXP-015"",""team_b_alt:EXP-017"",""team_a_current:EXP-040"",""teammate_review:TM-RUN-EXTRA90-20260823"",""teammate_review:TM-RUN-FIXEDSTACK-20260823"",""team_a_current:EXP-052"",""team_a_current:EXP-059""]"
neural_sequence_and_event_models,10,6,4,0,8,"{""team_a_current:calibrated_temporal_4fold_nested_lofo"":{""score"":1.7477494758488472,""experiment_id"":""team_a_current:EXP-039"",""n"":1},""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7475192976531704,""experiment_id"":""team_a_current:EXP-036"",""n"":3},""team_a_current:group_a_half_panel_4fold"":{""score"":1.7451442623457651,""experiment_id"":""team_a_current:EXP-032B"",""n"":2},""team_a_current:single_fold_protocol"":{""score"":1.7491325780358982,""experiment_id"":""team_a_current:EXP-029"",""n"":2}}","{""team_a_current:calibrated_temporal_4fold_nested_lofo"":1.7477494758488472,""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.7483427844623738,""team_a_current:group_a_half_panel_4fold"":1.7461783623656042,""team_a_current:single_fold_protocol"":1.7564024308251278}","[""about 4.5 h; mixed GPUs"",""78/84/83 min for compared runs"",""7.9 h"",""about 2 h"",""folds 81.8/91.4/98.8/116 min; test 133 min"",""7.46 GPU h""]",mixed_or_insufficient_evidence,"[""team_a_current:EXP-025"",""team_a_current:EXP-029"",""team_a_current:EXP-030"",""team_a_current:EXP-030B"",""team_a_current:EXP-030C"",""team_a_current:EXP-032"",""team_a_current:EXP-032B"",""team_a_current:EXP-036"",""team_a_current:EXP-039"",""team_a_current:EXP-044""]"
production_integration_and_provenance,7,3,0,4,2,"{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7475098627238472,""experiment_id"":""team_a_current:EXP-037"",""n"":2}}","{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.74763881921891}","[""two test models about 28.5 min each"",""detailed per seed/fold in report"",""artifact-only"",""audit only"",""audit only"",""audit only""]",mixed_or_insufficient_evidence,"[""team_b_core:EXP-033"",""team_a_current:EXP-035"",""team_a_current:EXP-037"",""team_a_current:EXP-065"",""team_a_current:EXP-066"",""team_a_current:EXP-067"",""team_a_current:EXP-068""]"
residual_and_correction_models,6,1,5,0,4,"{""team_a_current:single_fold_protocol"":{""score"":1.7412785664479717,""experiment_id"":""team_a_current:EXP-054"",""n"":4}}","{""team_a_current:single_fold_protocol"":1.7443942144069036}","[""592.5 s"",""CPU preflight; exact time unknown"",""861.26 s"",""50.9 s"",""62.95 s""]",several_negative_results; evidence_is_implementation_and_protocol_specific,"[""team_a_current:EXP-041"",""team_a_current:EXP-053"",""team_a_current:EXP-054"",""team_a_current:EXP-055"",""team_a_current:EXP-061"",""team_a_current:EXP-064""]"
tabular_models_and_feature_engineering,14,5,6,3,8,"{""team_b_alt:single_fold_protocol"":{""score"":1.710143,""experiment_id"":""team_b_alt:EXP-006"",""n"":3},""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":{""score"":1.708309,""experiment_id"":""team_b_core:EXP-021"",""n"":5}}","{""team_b_alt:single_fold_protocol"":1.710919,""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":1.716802}","[""157 s"",""about 20 min plus 7.5 min"",""4741 s; artifacts about 485 MB""]",mixed_or_insufficient_evidence,"[""team_a_current:EXP-001"",""team_a_current:EXP-005"",""team_a_current:EXP-007"",""team_b_alt:EXP-001"",""team_b_alt:EXP-002"",""team_b_alt:EXP-006"",""team_a_current:EXP-017"",""team_b_core:EXP-001"",""team_b_core:EXP-009"",""team_b_core:EXP-010"",""team_b_core:EXP-020"",""team_b_core:EXP-021"",""team_b_alt:EXP-016"",""team_a_current:EXP-046""]"
target_distribution_and_decomposition,18,3,12,3,12,"{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7489187507745048,""experiment_id"":""team_a_current:RUN-S04-LGB"",""n"":1},""team_a_current:single_fold_protocol"":{""score"":1.7459117188603979,""experiment_id"":""team_a_current:EXP-038"",""n"":2},""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":{""score"":1.708564,""experiment_id"":""team_b_core:EXP-025"",""n"":9}}","{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.7489187507745048,""team_a_current:single_fold_protocol"":1.7462506955846235,""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":1.71691}","[""66 min"",""about 10.3 GPU h"",""9.99 GPU h plus reused base"",""{\""runtime_hours\"":0.4129196912050247}"",""{\""runtime_hours_oof\"":0.6721788856718275,\""runtime_hours_test\"":0.21312984466552734}"",""report: retrain5939s plus experiment2162s (~8101s); machine summary finalize elapsed6.9s is a different stage""]",mixed_or_insufficient_evidence,"[""team_a_current:EXP-014"",""team_a_s2:EXP-009"",""team_a_s2:EXP-010"",""team_a_current:RUN-S04-LGB"",""team_b_core:EXP-006"",""team_b_core:EXP-007"",""team_b_core:EXP-008"",""team_b_core:EXP-012"",""team_b_core:EXP-022"",""team_b_core:EXP-025"",""team_b_core:EXP-028"",""team_b_core:EXP-029"",""team_b_core:EXP-032"",""team_a_current:EXP-038"",""team_a_current:EXP-045"",""teammate_review:TM-TRAIN-HURDLE-FAST12"",""teammate_review:TM-TRAIN-HURDLE-STABLE18"",""independent_anniversary:EXP-058""]"
temporal_history_and_calendar,9,1,8,0,8,"{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":{""score"":1.7504502529083472,""experiment_id"":""team_a_current:EXP-021"",""n"":1},""team_b_alt:single_fold_protocol"":{""score"":1.710617,""experiment_id"":""team_b_alt:EXP-004"",""n"":2},""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":{""score"":1.708532,""experiment_id"":""team_b_core:EXP-026"",""n"":5}}","{""team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8"":1.7504502529083472,""team_b_alt:single_fold_protocol"":1.7112365,""team_b_core:two_fold_decision_mean_with_fold3_diagnostic"":1.717011}","[""about 81 min""]",several_negative_results; evidence_is_implementation_and_protocol_specific,"[""team_b_alt:EXP-003"",""team_b_alt:EXP-004"",""team_a_current:EXP-019"",""team_a_current:EXP-021"",""team_b_core:EXP-002"",""team_b_core:EXP-003"",""team_b_core:EXP-004"",""team_b_core:EXP-011"",""team_b_core:EXP-026""]"
