local_id,namespaces,global_ids,canonical_names,resolution
EXP-001,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-001"",""team_b_alt:EXP-001"",""team_b_core:EXP-001""]","[""S1-B0 direct LightGBM baseline"",""Alt HGBR baseline"",""Core LightGBM 50-feature baseline""]",globally namespaced; no cross-branch identity inferred
EXP-002,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-002"",""team_b_alt:EXP-002"",""team_b_core:EXP-002""]","[""S1-E01 panel rule"",""Alt conversion features"",""Core SPLY features""]",globally namespaced; no cross-branch identity inferred
EXP-003,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-003"",""team_b_alt:EXP-003"",""team_b_core:EXP-003""]","[""S1-E02 dense cutoffs"",""Alt trend features"",""Core cutoff calendar features""]",globally namespaced; no cross-branch identity inferred
EXP-004,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-004"",""team_b_alt:EXP-004"",""team_b_core:EXP-004""]","[""S1-E03 history-depth suite"",""Alt recency features"",""Core EWM aggregates""]",globally namespaced; no cross-branch identity inferred
EXP-005,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-005"",""team_b_alt:EXP-005"",""team_b_core:EXP-005""]","[""S1-E10 normalized long features"",""Alt scale calibration"",""Core multi-cutoff 8x14d""]",globally namespaced; no cross-branch identity inferred
EXP-006,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-006"",""team_b_alt:EXP-006"",""team_b_core:EXP-006""]","[""S1-BEST ensemble"",""Alt LightGBM baseline replacement"",""Core raw-space hurdle""]",globally namespaced; no cross-branch identity inferred
EXP-007,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-007"",""team_b_alt:EXP-007"",""team_b_core:EXP-007""]","[""Radical minimalism"",""Alt multi-cutoff validation audit"",""Core Tweedie raw-target loss""]",globally namespaced; no cross-branch identity inferred
EXP-008,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-008"",""team_b_alt:EXP-008"",""team_b_core:EXP-008""]","[""Rank-cohort similarity"",""Alt recency LightGBM scale stack"",""Core Huber log-target loss""]",globally namespaced; no cross-branch identity inferred
EXP-009,"[""team_a_s2"",""team_b_alt"",""team_b_core""]","[""team_a_s2:EXP-009"",""team_b_alt:EXP-009"",""team_b_core:EXP-009""]","[""S2-E00 structural aggregation"",""Alt long-buy ensemble"",""Core search/catalog split""]",globally namespaced; no cross-branch identity inferred
EXP-010,"[""team_a_s2"",""team_b_alt"",""team_b_core""]","[""team_a_s2:EXP-010"",""team_b_alt:EXP-010"",""team_b_core:EXP-010""]","[""S2-E01 count hurdle"",""Alt ensemble weight/scale tuning"",""Core AOV/intensity features""]",globally namespaced; no cross-branch identity inferred
EXP-011,"[""team_a_s2"",""team_b_alt"",""team_b_core""]","[""team_a_s2:EXP-011"",""team_b_alt:EXP-011"",""team_b_core:EXP-011""]","[""S2-E02 EB shrinkage and sigma ablation"",""Alt dense clean-cutoff ensemble"",""Core simple trend ratios""]",globally namespaced; no cross-branch identity inferred
EXP-012,"[""team_a_s2"",""team_b_alt"",""team_b_core""]","[""team_a_s2:EXP-012"",""team_b_alt:EXP-012"",""team_b_core:EXP-012""]","[""S2-BEST structural standalone"",""Alt LB-validation alignment audit"",""Core p99.9 target clipping""]",globally namespaced; no cross-branch identity inferred
EXP-013,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-013"",""team_b_alt:EXP-013"",""team_b_core:EXP-013""]","[""S1-E11 two-part model"",""Alt fine scale grid on main validation"",""Core five-seed bagging""]",globally namespaced; no cross-branch identity inferred
EXP-014,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-014"",""team_b_core:EXP-014"",""team_b_alt:EXP-014""]","[""S1-DIST distribution head"",""Core second-LightGBM blend"",""Alt classifier hard-zero gate""]",globally namespaced; no cross-branch identity inferred
EXP-015,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-015"",""team_b_core:EXP-015"",""team_b_alt:EXP-015""]","[""Last-fold-only production retrain"",""Core fixed log calibration shift"",""Alt two-fold ensemble-weight grid""]",globally namespaced; no cross-branch identity inferred
EXP-016,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-016"",""team_b_core:EXP-016"",""team_b_alt:EXP-016""]","[""Validator calibration and MIX-E11 selection"",""Core leaves31 on calibrated baseline"",""Alt post-order activity features""]",globally namespaced; no cross-branch identity inferred
EXP-017,"[""team_a_current"",""team_b_alt"",""team_b_core""]","[""team_a_current:EXP-017"",""team_b_core:EXP-017"",""team_b_alt:EXP-017""]","[""E10 capacity/rounds curve"",""Core min-leaf50 on calibrated baseline"",""Alt dist-head post-order ensemble""]",globally namespaced; no cross-branch identity inferred
