segment,users_pct,error_share,rmsle,mean_pred_log,mean_actual_log,log_bias
D01,0.099092,0.043521,1.165876,0.420484,0.391433,-0.029052
D02,0.100410,0.083828,1.608411,0.891489,0.859362,-0.032128
D03,0.100305,0.114080,1.868651,1.360722,1.346532,-0.014190
D04,0.100647,0.129261,1.990144,1.813524,1.772803,-0.040721
D05,0.099207,0.134702,2.044225,2.261614,2.229147,-0.032467
D06,0.098927,0.134138,2.043646,2.728199,2.718932,-0.009267
D07,0.099654,0.125758,1.970708,3.226637,3.236851,0.010214
D08,0.099575,0.105505,1.807546,3.756075,3.782434,0.026359
D09,0.100723,0.080869,1.575643,4.380712,4.433380,0.052667
D10,0.101461,0.048336,1.206830,5.416783,5.485392,0.068609
