segmentation,segment,users_pct,error_share,rmsle,mean_actual_gmv,mean_actual_log,mean_pred_log,log_bias,share_09-04,share_09-18,share_10-02,share_10-16,rmsle_09-04,rmsle_09-18,rmsle_10-02,rmsle_10-16
outcome,y>0,0.611565,0.561480,1.684209,181.873642,4.311174,3.314452,0.996722,0.557927,0.558634,0.560752,0.563001,1.705720,1.686227,1.675248,1.670723
outcome,y=0,0.388435,0.438520,1.862927,0.000000,0.000000,1.552618,-1.552618,0.442074,0.441366,0.439248,0.436999,1.860272,1.875915,1.863771,1.851989
gmv_bucket,0-500,0.562786,0.466159,1.598278,105.165268,4.093751,3.186770,0.906981,0.460217,0.460946,0.465629,0.468470,1.615899,1.598782,1.591215,1.588129
gmv_bucket,y=0,0.388435,0.438520,1.862927,0.000000,0.000000,1.552618,-1.552618,0.442074,0.441366,0.439248,0.436999,1.860272,1.875915,1.863771,1.851989
gmv_bucket,500-2k,0.044864,0.083754,2.407614,860.616516,6.690742,4.718965,1.971777,0.086677,0.085107,0.083685,0.083085,2.464814,2.397604,2.389819,2.379583
gmv_bucket,2k-5k,0.003494,0.009836,2.946588,2835.359131,7.919646,5.382549,2.537097,0.009434,0.011187,0.009545,0.009694,2.899708,3.034469,2.925726,2.917517
gmv_bucket,5k-15k,0.000401,0.001652,3.538762,6969.512207,8.818480,5.618310,3.200169,0.001386,0.001291,0.001786,0.001709,3.547038,3.382110,3.686866,3.513747
gmv_bucket,15k-50k,0.000019,0.000079,4.024843,19261.896484,9.851506,6.150143,3.701363,0.000213,0.000102,0.000107,0.000044,4.574438,4.485043,3.560570,2.949643
recency,0-7,0.329124,0.292155,1.653724,212.660995,3.988451,3.947487,0.040964,0.286785,0.279963,0.282373,0.300766,1.673622,1.652301,1.643639,1.646212
recency,15-30,0.157663,0.194911,1.949887,84.680489,2.641263,2.654353,-0.013090,0.197633,0.208850,0.193286,0.191899,1.963705,1.946263,1.948728,1.941164
