segment,n_users,share_users,share_total_squared_error,strongest_rmsle,btyd_standalone_rmsle,honest_nested_blend_rmsle,blend_delta,btyd_bias,blend_bias,n_zero,n_positive,zero_base_rmsle,zero_mix_rmsle,zero_blend_delta,positive_base_rmsle,positive_mix_rmsle,positive_blend_delta
all,770616,1.0,1.0,1.7475294897986016,1.800710779494636,1.7472596046961908,-0.0002698851024107718,-4.344940206235659e-17,7.063487899997608e-09,301289,469327,1.856679675138208,1.8543243148240414,-0.00235536031416661,1.6745122756675985,1.6757090403134607,0.0011967646458621584
rec_buy_15_60,223152,0.28957613130275,0.3578535447250177,1.9464981827609698,1.9950822402777673,1.945867541394219,-0.0006306413667507282,-0.11030720782972998,-0.029441111329862466,91454,131698,2.09020918735913,2.0957143887736214,0.005505201414491179,1.8407647468561275,1.8353089340489117,-0.005455812807215743
w180_days_buy_2_15,438482,0.5690019413040995,0.7057008822523242,1.9495953240627504,2.0097061971466332,1.9493220420992716,-0.00027328196347875533,0.0484147808861651,0.004930649512655769,159450,279032,2.254430898541947,2.251391487121187,-0.0030394114207599188,1.7536255781944037,1.7553601134120205,0.001734535217616795
rec15_60_intersect_w180_2_15,181406,0.23540388468446022,0.30322301622088954,1.9870033452719378,2.0296515663003607,1.986288685690172,-0.0007146595817657531,-0.09816905379817178,-0.02615866021049392,74419,106987,2.1491773513465793,2.155104806842278,0.00592745549569873,1.8666246588939845,1.860602019381501,-0.006022639512483607
hist_purchase_days_0,82278,0.10676913015042512,0.04918699528320439,1.1967583539088598,1.2100091369922061,1.196714659802139,-4.369410672078189e-05,-0.006071094764082147,-0.022308271573366994,72336,9942,0.468419561550345,0.46166393465082795,-0.006755626899517031,3.224614033773884,3.2316726573862167,0.007058623612332671
hist_purchase_days_1,52852,0.06858409376394987,0.05795512417918578,1.6304709382513844,1.667480892896128,1.629787632794813,-0.0006833054565713592,0.17728168111309248,-0.025994433832154093,39068,13784,0.9728045987318016,0.9484963007043682,-0.024308298027433395,2.7560685500816193,2.7788396224846283,0.02277107240300902
hist_purchase_days_2_3,91970,0.1193460815762974,0.127872197271792,1.832673732303573,1.887651799256986,1.8326311148379193,-4.2617465653815856e-05,0.1942950596963548,-0.018104728130043095,57597,34373,1.3641581496586577,1.3410725618209247,-0.023085587837732957,2.4297031617298113,2.4513555556077917,0.021652393877980458
hist_purchase_days_4_10,215066,0.2790832269249535,0.3620297225198557,2.007901258041398,2.065484921811828,2.0077739350051145,-0.00012732303628348873,0.10721110101730183,-0.004665627914821349,90941,124125,2.0991902779422755,2.0907887125289757,-0.008401565413299839,1.936689955399379,1.9432568738345806,0.006566918435201519
hist_purchase_days_11_plus,328450,0.42621746758437407,0.40295596074596235,1.6760607250278805,1.7356954178720025,1.6756346725955011,-0.00042605243237936463,-0.1441741459358215,0.01701771556406412,41347,287103,3.323295774994494,3.3452619368337047,0.02196616183921085,1.2659802600292107,1.2568248056136009,-0.009155454415609832
long_recency_gt60,114155,0.1481347389620771,0.1567086231070093,1.7901295317941275,1.8257258822853992,1.7895376473801894,-0.000591884413938093,-0.10032402993798807,-0.02172030721259698,74904,39251,1.2556308834551961,1.2624455566917878,0.006814673236591684,2.5131951022231895,2.5054306522813414,-0.007764449941848106
actual_target_zero,301289,0.39097163827379655,0.4384736708809842,1.856679675138208,1.8721120524430108,1.8543243148240414,-0.00235536031416661,-1.5197680269867586,-1.5377665727804644,301289,0,1.856679675138208,1.8543243148240414,-0.00235536031416661,nan,nan,nan
actual_target_positive,469327,0.6090283617262034,0.5615263291190159,1.6745122756675985,1.7538514671878649,1.6757090403134607,0.0011967646458621584,0.9652802137648284,0.9767119963630972,0,469327,nan,nan,nan,1.6745122756675985,1.6757090403134607,0.0011967646458621584
rare_buyers_x1_3,144822,0.18793017534024728,0.18582732145097777,1.7617374302529911,1.810586410016243,1.7614790052991462,-0.0002584249538448713,0.18810023418206323,-0.020977487937537898,96665,48157,1.2215675160682602,1.198383940094865,-0.023183575973395154,2.5268997768497465,2.548862799893725,0.02196302304397868
frequent_buyers_x11_plus,328450,0.42621746758437407,0.40295596074596235,1.6760607250278805,1.7356954178720025,1.6756346725955011,-0.00042605243237936463,-0.1441741459358215,0.01701771556406412,41347,287103,3.323295774994494,3.3452619368337047,0.02196616183921085,1.2659802600292107,1.2568248056136009,-0.009155454415609832
