variant,direction,selected,scale,selection_wcv_3f,fold_scores
REAL,0->1,True,0.0,1.75069590377077,"[1.7656097132443185, 1.7576446035420972, 1.7434931015167188]"
REAL,0->1,False,0.25,1.7554502630402662,"[1.7710620602396825, 1.7627435311165753, 1.7479006797022574]"
REAL,0->1,False,0.5,1.7754262871562096,"[1.7918429607088555, 1.7838538710821032, 1.7671083268051015]"
REAL,0->1,False,1.0,1.8587012483065257,"[1.8769684974385588, 1.871525255891551, 1.847722432231005]"
REAL,1->0,True,0.0,1.7585528828550245,"[1.7681523128094905, 1.7633689669815633, 1.7537449833031387]"
REAL,1->0,False,0.25,1.7637356493123246,"[1.7743686410479966, 1.768771923241627, 1.758559264413755]"
REAL,1->0,False,0.5,1.7847683541819859,"[1.7962571762473099, 1.7904872429689966, 1.7790367042721493]"
REAL,1->0,False,1.0,1.8718422963056602,"[1.8844657614664435, 1.8801678363771002, 1.8645236599797446]"
SHUFFLED,0->1,True,0.0,1.75069590377077,"[1.7656097132443185, 1.7576446035420972, 1.7434931015167188]"
SHUFFLED,0->1,False,0.25,1.7554254172121113,"[1.7710670712237728, 1.762761046909506, 1.7478471888604987]"
SHUFFLED,0->1,False,0.5,1.775291531652763,"[1.791833163811122, 1.78383131999421, 1.7668862294424497]"
SHUFFLED,0->1,False,1.0,1.8581159539560839,"[1.8768753821502504, 1.8712635898696328, 1.8468522789507678]"
SHUFFLED,1->0,True,0.0,1.7585528828550245,"[1.7681523128094905, 1.7633689669815633, 1.7537449833031387]"
SHUFFLED,1->0,False,0.25,1.7637226901295535,"[1.7743701784047368, 1.7687985437985851, 1.758522891226242]"
SHUFFLED,1->0,False,0.5,1.7847007560819352,"[1.7961981214456215, 1.7905970929645099, 1.778878246299726]"
SHUFFLED,1->0,False,1.0,1.8715526106097862,"[1.8841152920146318, 1.8805947278797905, 1.8638908816235729]"
