segment,n,fixed_fold_baseline,fixed_fold_candidate,fixed_fold_delta,shape_only_baseline,shape_only_candidate,shape_only_delta
all,197379,1.7412785664479717,1.7412785664479717,0.0,1.7412785664479717,1.7412785664479717,0.0
rec_buy_15_60,56145,1.9405843349902085,1.9405843349902085,0.0,1.9405656937595726,1.9405656937595726,0.0
w180_days_buy_2_15,111441,1.9453560683692304,1.9453560683692304,0.0,1.9453443874404135,1.9453443874404135,0.0
intersection,45667,1.981471129437484,1.981471129437484,0.0,1.981469842810674,1.981469842810674,0.0
w180_days_buy_0_1,42698,1.4646315943520065,1.4646315943520065,0.0,1.4643503177709947,1.4643503177709947,0.0
w180_days_buy_ge16,43240,1.4031426275935308,1.4031426275935308,0.0,1.403099755309643,1.403099755309643,0.0
actual_total_y_0,76413,1.8493381199127794,1.8493381199127794,0.0,0.0,0.0,0.0
gmv_low_0_100,71317,1.3846135801686739,1.3846135801686739,0.0,1.2572727155768253,1.2572727155768253,0.0
gmv_medium_100_1000,46586,1.9577822812200563,1.9577822812200563,0.0,1.2832332991667912,1.2832332991667912,0.0
gmv_high_gt1000,3063,2.670320897278829,2.670320897278829,0.0,1.5040854133766428,1.5040854133766428,0.0
historical_search_heavy,146163,1.797355651009651,1.797355651009651,0.0,1.7973517907546883,1.7973517907546883,0.0
historical_mixed,8030,1.8188391043073182,1.8188391043073182,0.0,1.8183997808990224,1.8183997808990224,0.0
historical_catalog_heavy,4419,1.9557139769540115,1.9557139769540115,0.0,1.9555189145068481,1.9555189145068481,0.0
future_search_only,101726,1.6598764610584504,1.6598764610584504,0.0,1.3727500843200637,1.3727500843200637,0.0
future_catalog_only,2794,1.7706156693689623,1.7706156693689623,0.0,1.469040177190163,1.469040177190163,0.0
future_both,16446,1.7100569553193719,1.7100569553193719,0.0,1.242746516206265,1.242746516206265,0.0
future_neither,76413,1.8493381199127794,1.8493381199127794,0.0,0.0,0.0,0.0
channel_stayers,130358,1.3992666208674693,1.3992666208674693,0.0,1.315087679167986,1.315087679167986,0.0
channel_switchers,13639,1.670052243964564,1.670052243964564,0.0,1.3302320743064955,1.3302320743064955,0.0
actual_total_y_positive,120966,1.669417590331512,1.669417590331512,0.0,1.3606519372914667,1.3606519372914667,0.0
