variable,fold,bin,n,residual_mean,residual_std
search_gmv_share_30,2025-09-04,0,2799,-0.012451192057764215,1.9687610754399552
search_gmv_share_30,2025-09-04,1,1074,-0.006584906675312954,1.8559975268633275
search_gmv_share_30,2025-09-04,2,2102,0.016432210251934292,1.8014854977050077
search_gmv_share_30,2025-09-04,3,76211,-0.0013890202454651885,1.7183591898613966
search_gmv_share_30,2025-09-04,4,6094,0.02855813016532811,1.5346706491434177
search_gmv_share_30,2025-09-04,5,100238,-0.0006059338311313395,1.8082860776587488
search_gmv_share_30,2025-09-18,0,2820,-0.021519771711932055,1.970943855135742
search_gmv_share_30,2025-09-18,1,1105,0.00752280751346303,1.784113312951374
search_gmv_share_30,2025-09-18,2,2075,0.008834555846491255,1.7208957498799518
search_gmv_share_30,2025-09-18,3,78052,-0.01990011687913408,1.727429911093266
search_gmv_share_30,2025-09-18,4,5937,0.04199974569433176,1.5099859457669538
search_gmv_share_30,2025-09-18,5,101036,0.013242139267258349,1.7933412858991147
search_gmv_share_30,2025-10-02,0,2952,0.01385221889446998,1.9392486203462966
search_gmv_share_30,2025-10-02,1,1125,0.050585623777518976,1.7914891837578533
search_gmv_share_30,2025-10-02,2,2080,0.028454161311425995,1.7139298747518885
search_gmv_share_30,2025-10-02,3,80408,-0.03720560094386433,1.7179065782027128
search_gmv_share_30,2025-10-02,4,5852,0.026053884398840352,1.5208881005849997
search_gmv_share_30,2025-10-02,5,101277,0.026483558919974625,1.7786753913520503
search_gmv_share_30,2025-10-16,0,3019,0.04986586088993913,1.9639449338431403
search_gmv_share_30,2025-10-16,1,1175,0.03264870289849594,1.7529971107656277
search_gmv_share_30,2025-10-16,2,2243,0.0373199369059228,1.7294126742205
search_gmv_share_30,2025-10-16,3,80802,-0.02558331902369694,1.703944063252137
search_gmv_share_30,2025-10-16,4,6141,0.04013577507537132,1.5028539795632512
search_gmv_share_30,2025-10-16,5,103999,0.014885659194823483,1.7757240681599866
search_gmv_share_30,wcv_weighted,0,11590,0.026904002461518264,1.9587781491879872
search_gmv_share_30,wcv_weighted,1,4479,0.031542493646242335,1.7741802179530104
search_gmv_share_30,wcv_weighted,2,8500,0.029927823889020114,1.7292840937091223
search_gmv_share_30,wcv_weighted,3,315473,-0.02637491662847064,1.711819147950405
search_gmv_share_30,wcv_weighted,4,24024,0.035913376118324736,1.5107665847012606
search_gmv_share_30,wcv_weighted,5,406550,0.01669426110894376,1.781096660008047
search_gmv_share_90,2025-09-04,0,2279,-0.015575084601946117,1.891088939314935
search_gmv_share_90,2025-09-04,1,1554,-0.03545738180490661,1.9362948846212333
search_gmv_share_90,2025-09-04,2,3256,-0.0034819490170867186,1.9171359896897242
search_gmv_share_90,2025-09-04,3,44192,0.005562455981346782,1.5264132853665775
search_gmv_share_90,2025-09-04,4,15438,0.01641089418142718,1.7145531099617777
search_gmv_share_90,2025-09-04,5,121799,-0.003260941111357555,1.8441599685948193
search_gmv_share_90,2025-09-18,0,2282,0.016026220621387432,1.9136886972091824
search_gmv_share_90,2025-09-18,1,1523,0.03023016503827157,1.9638849517267516
