cutoff,arm,recipient_side,segment,n,base_score,candidate_score,delta
2025-09-04,REAL,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,REAL,0,TRANSITIONS_GE5,91754,1.7729716834689007,1.7729716834689007,0.0
2025-09-04,REAL,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,REAL,1,TRANSITIONS_GE5,91866,1.776159662656252,1.776159662656252,0.0
2025-09-04,SHUFFLED,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,SHUFFLED,0,TRANSITIONS_GE5,91754,1.7729716834689007,1.7729716834689007,0.0
2025-09-04,SHUFFLED,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,SHUFFLED,1,TRANSITIONS_GE5,91866,1.776159662656252,1.776159662656252,0.0
2025-09-04,CONTROL_ONLY,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,CONTROL_ONLY,0,TRANSITIONS_GE5,91754,1.7729716834689007,1.7729716834689007,0.0
2025-09-04,CONTROL_ONLY,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,CONTROL_ONLY,1,TRANSITIONS_GE5,91866,1.776159662656252,1.776159662656252,0.0
2025-09-18,REAL,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,REAL,0,TRANSITIONS_GE5,93047,1.7667198825682773,1.7667198825682773,0.0
2025-09-18,REAL,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,REAL,1,TRANSITIONS_GE5,93116,1.7667258092727862,1.7667258092727862,0.0
2025-09-18,SHUFFLED,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,SHUFFLED,0,TRANSITIONS_GE5,93047,1.7667198825682773,1.7667198825682773,0.0
2025-09-18,SHUFFLED,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,SHUFFLED,1,TRANSITIONS_GE5,93116,1.7667258092727862,1.7667258092727862,0.0
2025-09-18,CONTROL_ONLY,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,CONTROL_ONLY,0,TRANSITIONS_GE5,93047,1.7667198825682773,1.7667198825682773,0.0
2025-09-18,CONTROL_ONLY,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,CONTROL_ONLY,1,TRANSITIONS_GE5,93116,1.7667258092727862,1.7667258092727862,0.0
2025-10-02,REAL,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,REAL,0,TRANSITIONS_GE5,94342,1.753892773848225,1.753892773848225,0.0
2025-10-02,REAL,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,REAL,1,TRANSITIONS_GE5,94668,1.7568357988065417,1.7568357988065417,0.0
2025-10-02,SHUFFLED,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,SHUFFLED,0,TRANSITIONS_GE5,94342,1.753892773848225,1.753892773848225,0.0
2025-10-02,SHUFFLED,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,SHUFFLED,1,TRANSITIONS_GE5,94668,1.7568357988065417,1.7568357988065417,0.0
2025-10-02,CONTROL_ONLY,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,CONTROL_ONLY,0,TRANSITIONS_GE5,94342,1.753892773848225,1.753892773848225,0.0
2025-10-02,CONTROL_ONLY,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,CONTROL_ONLY,1,TRANSITIONS_GE5,94668,1.7568357988065417,1.7568357988065417,0.0
2025-10-16,REAL,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,REAL,0,TRANSITIONS_GE5,96273,1.7481223979405351,1.7481223979405351,0.0
2025-10-16,REAL,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,REAL,1,TRANSITIONS_GE5,96503,1.7478094182333979,1.7478094182333979,0.0
2025-10-16,SHUFFLED,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,SHUFFLED,0,TRANSITIONS_GE5,96273,1.7481223979405351,1.7481223979405351,0.0
2025-10-16,SHUFFLED,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,SHUFFLED,1,TRANSITIONS_GE5,96503,1.7478094182333979,1.7478094182333979,0.0
2025-10-16,CONTROL_ONLY,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,CONTROL_ONLY,0,TRANSITIONS_GE5,96273,1.7481223979405351,1.7481223979405351,0.0
2025-10-16,CONTROL_ONLY,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,CONTROL_ONLY,1,TRANSITIONS_GE5,96503,1.7478094182333979,1.7478094182333979,0.0
