contrast,fold,fold_index,variant,alpha,score,baseline,delta,offset,winsor_lo,winsor_hi,clipped_fraction,bounds_folds
FRESH,2025-09-04,0,GLOBAL,0.0,1.7668833566716835,1.7668833566716835,0.0,-0.11734465923294395,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,GLOBAL,0.25,1.7667873987589429,1.7668833566716835,-9.59579127406407e-05,-0.1173445815661476,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,GLOBAL,0.5,1.7667149327666143,1.7668833566716835,-0.0001684239050692149,-0.11734452500501252,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,GLOBAL,0.75,1.7666659616762184,1.7668833566716835,-0.00021739499546513663,-0.11734449104385433,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,GLOBAL,1.0,1.7666404874688348,1.7668833566716835,-0.0002428692028486612,-0.11734445708269592,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,HIGH16,0.0,1.7668833566716835,1.7668833566716835,0.0,-0.11734465923294395,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,HIGH16,0.25,1.7669614542441772,1.7668833566716835,7.809757249366278e-05,-0.11734462632651842,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,HIGH16,0.5,1.7670581863326458,1.7668833566716835,0.00017482966096227237,-0.1173446038326526,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,HIGH16,0.75,1.7671735498828067,1.7668833566716835,0.00029019321112322416,-0.11734458133878657,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-04,0,HIGH16,1.0,1.7673075412460733,1.7668833566716835,0.0004241845743897521,-0.1173445588449208,-0.08166744947433471,0.13089673757553139,0.06596717554822351,"[1, 2, 3]"
FRESH,2025-09-18,1,GLOBAL,0.0,1.7605095767202485,1.7605095767202485,0.0,-0.07873621248910095,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,GLOBAL,0.25,1.7604404699586806,1.7605095767202485,-6.91067615679053e-05,-0.0787362124891009,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,GLOBAL,0.5,1.7603901229288847,1.7605095767202485,-0.00011945379136379941,-0.0787362124891009,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,GLOBAL,0.75,1.7603585372404709,1.7605095767202485,-0.0001510394797776815,-0.0787362124891009,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,GLOBAL,1.0,1.760345713903337,1.7605095767202485,-0.00016386281691160853,-0.07873621248910083,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,HIGH16,0.0,1.7605095767202485,1.7605095767202485,0.0,-0.07873621248910095,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
