fold,group,n,baseline,candidate,delta
2025-09-04,A,94238,1.7656097133827202,1.7653029989446822,-0.0003067144380379805
2025-09-04,B,94280,1.768152312416224,1.7679719381190984,-0.00018037429712558506
2025-09-18,A,95497,1.757644603570213,1.7574261606592205,-0.000218442910992378
2025-09-18,B,95528,1.7633689668346164,1.7632578790390308,-0.00011108779558566262
2025-10-02,A,96810,1.7434931016399078,1.7432852557011054,-0.00020784593880240898
2025-10-02,B,96884,1.7537449836288639,1.753564944896143,-0.00018003873272087745
2025-10-16,A,98707,1.7335501858318534,1.7332803634490759,-0.00026982238277750703
2025-10-16,B,98672,1.7489740949848296,1.748738338144057,-0.00023575684077248305
wCV,A,385252,1.7415515209158405,1.7413026167106769,-0.00024890420516349523
wCV,B,385364,1.75344419603197,1.7532436120622792,-0.00020058396969068563
