variant,direction,donor_side,recipient_side,n_donor,n_recipient,selected_scale,winsor_p01,winsor_p99,base_score,candidate_score,delta,base_offset,candidate_offset,residual_alignment,recipient_labels_in_training,recipient_user_overlap
BASE,0->1,0,1,286545,98672,0.0,-1.5898530101776123,0.7142876410484313,1.7489740950682746,1.7489740950682746,0.0,-0.036965932830843894,-0.036965932830843894,0.0067263022417209445,False,0
REAL,0->1,0,1,286545,98672,0.0,-1.587799973487854,0.7222570013999939,1.7489740950682746,1.7489740950682746,0.0,-0.036965932830843894,-0.036965932830843894,0.006877205238611863,False,0
SHUFFLED,0->1,0,1,286545,98672,0.0,-1.585504608154297,0.7180680561065672,1.7489740950682746,1.7489740950682746,0.0,-0.036965932830843894,-0.036965932830843894,0.007061309874485071,False,0
NEAREST_ONLY,0->1,0,1,286545,98672,0.0,-1.5918211698532105,0.719000163078308,1.7489740950682746,1.7489740950682746,0.0,-0.036965932830843894,-0.036965932830843894,0.0067103617017034945,False,0
LAST_ONLY,0->1,0,1,286545,98672,0.0,-1.5884786033630371,0.7149241375923155,1.7489740950682746,1.7489740950682746,0.0,-0.036965932830843894,-0.036965932830843894,0.006823460556119342,False,0
BASE,1->0,1,0,286692,98707,0.0,-1.5918411636352539,0.7108663022518171,1.7335501862368747,1.7335501862368747,0.0,-0.03380893520430265,-0.03380893520430265,0.011498805432847576,False,0
REAL,1->0,1,0,286692,98707,0.0,-1.594497504234314,0.7124202841520322,1.7335501862368747,1.7335501862368747,0.0,-0.03380893520430265,-0.03380893520430265,0.011360745435603009,False,0
SHUFFLED,1->0,1,0,286692,98707,0.0,-1.5906067454814912,0.7124696445465089,1.7335501862368747,1.7335501862368747,0.0,-0.03380893520430265,-0.03380893520430265,0.011069430162030457,False,0
NEAREST_ONLY,1->0,1,0,286692,98707,0.0,-1.5869264280796052,0.7102449822425845,1.7335501862368747,1.7335501862368747,0.0,-0.03380893520430265,-0.03380893520430265,0.011612424986867107,False,0
LAST_ONLY,1->0,1,0,286692,98707,0.0,-1.5881993210315704,0.7095984399318697,1.7335501862368747,1.7335501862368747,0.0,-0.03380893520430265,-0.03380893520430265,0.011775705020539167,False,0
