fold,segment,n,mix_z,haz_p30,haz_p60,cnt_act,cnt_en,b30_p,best_minus_mix
2025-09-04,all,188518,0.83982,0.84127,0.84032,0.84106,0.84031,0.84078,0.00145
2025-09-04,rec_buy 15-60,53224,0.71805,0.72025,0.71841,0.7193,0.71842,0.71892,0.0022
2025-09-04,w180_days_buy 2-15,107913,0.71698,0.71988,0.71741,0.71918,0.71797,0.71879,0.0029
2025-09-18,all,191025,0.84175,0.84337,0.84269,0.84335,0.84245,0.84319,0.00162
2025-09-18,rec_buy 15-60,57084,0.72106,0.72338,0.72212,0.72311,0.72167,0.72252,0.00232
2025-09-18,w180_days_buy 2-15,108979,0.7186,0.72215,0.72024,0.72188,0.72039,0.72141,0.00355
2025-10-02,all,193694,0.84331,0.84548,0.84525,0.84575,0.84483,0.84549,0.00244
2025-10-02,rec_buy 15-60,56699,0.71777,0.72132,0.72097,0.72184,0.71994,0.72136,0.00407
2025-10-02,w180_days_buy 2-15,110149,0.71896,0.72379,0.72307,0.7241,0.72258,0.72364,0.00514
2025-10-16,all,197379,0.84419,0.84665,0.84641,0.84688,0.84593,0.8467,0.00269
2025-10-16,rec_buy 15-60,56145,0.72049,0.72452,0.72414,0.72467,0.72302,0.72443,0.00418
2025-10-16,w180_days_buy 2-15,111441,0.71719,0.72258,0.72175,0.72284,0.72147,0.7224,0.00565
