fold,segment,model,n,auc,rmsle
2025-09-04,all,S1-DIST-MIX,188518,0.83982,1.76913
2025-09-04,all,BASE,188518,0.8386,1.77275
2025-09-04,all,SELF,188518,0.83862,1.7732
2025-09-04,all,P30,188518,0.83845,1.77346
2025-09-04,all,FULL,188518,0.83856,1.77304
2025-09-04,rec_buy 15-60,S1-DIST-MIX,53224,0.71805,1.97101
2025-09-04,rec_buy 15-60,BASE,53224,0.71542,1.97519
2025-09-04,rec_buy 15-60,SELF,53224,0.7154,1.97574
2025-09-04,rec_buy 15-60,P30,53224,0.71482,1.97654
2025-09-04,rec_buy 15-60,FULL,53224,0.71489,1.97575
2025-09-04,w180_days_buy 2-15,S1-DIST-MIX,107913,0.71698,1.96989
2025-09-04,w180_days_buy 2-15,BASE,107913,0.7144,1.97424
2025-09-04,w180_days_buy 2-15,SELF,107913,0.71456,1.97463
2025-09-04,w180_days_buy 2-15,P30,107913,0.71411,1.97483
2025-09-04,w180_days_buy 2-15,FULL,107913,0.71419,1.97457
2025-09-18,all,S1-DIST-MIX,191025,0.84175,1.76257
2025-09-18,all,BASE,191025,0.84109,1.76527
2025-09-18,all,SELF,191025,0.84087,1.76608
2025-09-18,all,P30,191025,0.84089,1.76603
2025-09-18,all,FULL,191025,0.84097,1.76573
2025-09-18,rec_buy 15-60,S1-DIST-MIX,57084,0.72106,1.95543
2025-09-18,rec_buy 15-60,BASE,57084,0.7191,1.95946
2025-09-18,rec_buy 15-60,SELF,57084,0.7187,1.96019
2025-09-18,rec_buy 15-60,P30,57084,0.71856,1.96018
2025-09-18,rec_buy 15-60,FULL,57084,0.71892,1.95972
2025-09-18,w180_days_buy 2-15,S1-DIST-MIX,108979,0.7186,1.96249
2025-09-18,w180_days_buy 2-15,BASE,108979,0.71724,1.96529
2025-09-18,w180_days_buy 2-15,SELF,108979,0.71677,1.96637
2025-09-18,w180_days_buy 2-15,P30,108979,0.71685,1.96616
2025-09-18,w180_days_buy 2-15,FULL,108979,0.71705,1.96592
2025-10-02,all,S1-DIST-MIX,193694,0.84331,1.75073
2025-10-02,all,BASE,193694,0.84279,1.75325
2025-10-02,all,SELF,193694,0.84259,1.75357
2025-10-02,all,P30,193694,0.8425,1.75389
2025-10-02,all,FULL,193694,0.84261,1.75342
2025-10-02,rec_buy 15-60,S1-DIST-MIX,56699,0.71777,1.95122
2025-10-02,rec_buy 15-60,BASE,56699,0.7165,1.9542
2025-10-02,rec_buy 15-60,SELF,56699,0.71663,1.95376
2025-10-02,rec_buy 15-60,P30,56699,0.71621,1.95465
2025-10-02,rec_buy 15-60,FULL,56699,0.71608,1.95431
2025-10-02,w180_days_buy 2-15,S1-DIST-MIX,110149,0.71896,1.95008
2025-10-02,w180_days_buy 2-15,BASE,110149,0.71803,1.95261
2025-10-02,w180_days_buy 2-15,SELF,110149,0.71781,1.95278
2025-10-02,w180_days_buy 2-15,P30,110149,0.71733,1.95354
2025-10-02,w180_days_buy 2-15,FULL,110149,0.71766,1.95292
2025-10-16,all,S1-DIST-MIX,197379,0.84419,1.74314
2025-10-16,all,BASE,197379,0.84359,1.74529
2025-10-16,all,SELF,197379,0.84349,1.74569
2025-10-16,all,P30,197379,0.84334,1.74612
2025-10-16,all,FULL,197379,0.84342,1.74588
2025-10-16,rec_buy 15-60,S1-DIST-MIX,56145,0.72049,1.94256
2025-10-16,rec_buy 15-60,BASE,56145,0.71919,1.9449
2025-10-16,rec_buy 15-60,SELF,56145,0.71871,1.94559
2025-10-16,rec_buy 15-60,P30,56145,0.71867,1.94598
2025-10-16,rec_buy 15-60,FULL,56145,0.71841,1.94612
2025-10-16,w180_days_buy 2-15,S1-DIST-MIX,111441,0.71719,1.94716
2025-10-16,w180_days_buy 2-15,BASE,111441,0.71604,1.94964
2025-10-16,w180_days_buy 2-15,SELF,111441,0.71575,1.95006
2025-10-16,w180_days_buy 2-15,P30,111441,0.71547,1.95033
2025-10-16,w180_days_buy 2-15,FULL,111441,0.71551,1.95041
