fold,col,n_dec,auc_within_p30,auc_min,auc_max,auc_marginal
2025-09-04,haz_sl730,10,0.52072,0.49624,0.64321,0.78804
2025-09-04,haz_sl3060,10,0.50359,0.38397,0.56473,0.79652
2025-09-04,haz_edays,10,0.42784,0.28931,0.46562,0.15876
2025-09-04,cnt_en,10,0.56429,0.52971,0.69744,0.84031
2025-09-04,cnt_ge4,10,0.55443,0.52446,0.70419,0.83772
2025-09-18,haz_sl730,10,0.5255,0.50009,0.65574,0.78891
2025-09-18,haz_sl3060,10,0.50621,0.38358,0.54136,0.80485
2025-09-18,haz_edays,10,0.42788,0.27657,0.46962,0.15665
2025-09-18,cnt_en,10,0.56521,0.5275,0.71613,0.84245
2025-09-18,cnt_ge4,10,0.55332,0.51687,0.71955,0.83965
2025-10-02,haz_sl730,10,0.52081,0.48602,0.63807,0.7934
2025-10-02,haz_sl3060,10,0.51622,0.42586,0.53817,0.81061
2025-10-02,haz_edays,10,0.42448,0.27897,0.46053,0.15429
2025-10-02,cnt_en,10,0.56761,0.53045,0.70434,0.84483
2025-10-02,cnt_ge4,10,0.55465,0.52285,0.70802,0.84182
2025-10-16,haz_sl730,10,0.52986,0.50454,0.61874,0.79714
2025-10-16,haz_sl3060,10,0.51412,0.39383,0.54719,0.81244
2025-10-16,haz_edays,10,0.4301,0.29356,0.46206,0.15332
2025-10-16,cnt_en,10,0.5624,0.52918,0.69137,0.84593
2025-10-16,cnt_ge4,10,0.54951,0.51879,0.69768,0.84287
