cutoff,arm,recipient_side,segment,n,base_score,candidate_score,delta
2025-09-04,REAL,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,REAL,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,REAL,0,REC_BUY_GT30,35525,1.7151077798827483,1.7151077798827483,0.0
2025-09-04,REAL,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,REAL,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-04,REAL,1,REC_BUY_GT30,35884,1.7140631708555805,1.7140631708555805,0.0
2025-09-04,SHUFFLED,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,SHUFFLED,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,SHUFFLED,0,REC_BUY_GT30,35525,1.7151077798827483,1.7151077798827483,0.0
2025-09-04,SHUFFLED,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,SHUFFLED,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-04,SHUFFLED,1,REC_BUY_GT30,35884,1.7140631708555805,1.7140631708555805,0.0
2025-09-04,CONTROL_ONLY,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,CONTROL_ONLY,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,CONTROL_ONLY,0,REC_BUY_GT30,35525,1.7151077798827483,1.7151077798827483,0.0
2025-09-04,CONTROL_ONLY,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,CONTROL_ONLY,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-04,CONTROL_ONLY,1,REC_BUY_GT30,35884,1.7140631708555805,1.7140631708555805,0.0
2025-09-18,REAL,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,REAL,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,REAL,0,REC_BUY_GT30,36554,1.7290503140860023,1.7290503140860023,0.0
2025-09-18,REAL,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,REAL,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-09-18,REAL,1,REC_BUY_GT30,36616,1.7240587104479583,1.7240587104479583,0.0
2025-09-18,SHUFFLED,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,SHUFFLED,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,SHUFFLED,0,REC_BUY_GT30,36554,1.7290503140860023,1.7290503140860023,0.0
2025-09-18,SHUFFLED,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,SHUFFLED,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-09-18,SHUFFLED,1,REC_BUY_GT30,36616,1.7240587104479583,1.7240587104479583,0.0
2025-09-18,CONTROL_ONLY,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,CONTROL_ONLY,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,CONTROL_ONLY,0,REC_BUY_GT30,36554,1.7290503140860023,1.7290503140860023,0.0
2025-09-18,CONTROL_ONLY,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,CONTROL_ONLY,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-09-18,CONTROL_ONLY,1,REC_BUY_GT30,36616,1.7240587104479583,1.7240587104479583,0.0
2025-10-02,REAL,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,REAL,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,REAL,0,REC_BUY_GT30,37638,1.7157877230907166,1.7157877230907166,0.0
2025-10-02,REAL,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,REAL,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-02,REAL,1,REC_BUY_GT30,37907,1.7204597019622012,1.7204597019622012,0.0
2025-10-02,SHUFFLED,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,SHUFFLED,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,SHUFFLED,0,REC_BUY_GT30,37638,1.7157877230907166,1.7157877230907166,0.0
2025-10-02,SHUFFLED,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
