cutoff,arm,recipient_side,scale,donor_score,selected,n_donor,n_recipient
2025-09-04,REAL,0,0.0,1.7680144376125488,True,94349,94169
2025-09-04,REAL,0,0.25,1.7688219208107219,False,94349,94169
2025-09-04,REAL,0,0.5,1.7715615839993688,False,94349,94169
2025-09-04,REAL,0,0.75,1.776214231862101,False,94349,94169
2025-09-04,REAL,0,1.0,1.7825988627097191,False,94349,94169
2025-09-04,REAL,1,0.0,1.765742687191174,True,94169,94349
2025-09-04,REAL,1,0.25,1.766243206109012,False,94169,94349
2025-09-04,REAL,1,0.5,1.7686735606997122,False,94169,94349
2025-09-04,REAL,1,0.75,1.773014673669565,False,94169,94349
2025-09-04,REAL,1,1.0,1.7791284860360446,False,94169,94349
2025-09-04,PLACEBO,0,0.0,1.7680144376125488,True,94349,94169
2025-09-04,PLACEBO,0,0.25,1.7688304281843643,False,94349,94169
2025-09-04,PLACEBO,0,0.5,1.7715822052179004,False,94349,94169
2025-09-04,PLACEBO,0,0.75,1.7762508779782151,False,94349,94169
2025-09-04,PLACEBO,0,1.0,1.7826581544975362,False,94349,94169
2025-09-04,PLACEBO,1,0.0,1.765742687191174,True,94169,94349
2025-09-04,PLACEBO,1,0.25,1.7662031192161531,False,94169,94349
2025-09-04,PLACEBO,1,0.5,1.7685983416939903,False,94169,94349
2025-09-04,PLACEBO,1,0.75,1.7729095352072024,False,94169,94349
2025-09-04,PLACEBO,1,1.0,1.7790011400516477,False,94169,94349
2025-09-04,CONTROL_ONLY,0,0.0,1.7680144376125488,True,94349,94169
2025-09-04,CONTROL_ONLY,0,0.25,1.768893607562984,False,94349,94169
2025-09-04,CONTROL_ONLY,0,0.5,1.7717085471430811,False,94349,94169
2025-09-04,CONTROL_ONLY,0,0.75,1.776439477637765,False,94349,94169
2025-09-04,CONTROL_ONLY,0,1.0,1.7829007865434596,False,94349,94169
2025-09-04,CONTROL_ONLY,1,0.0,1.765742687191174,True,94169,94349
2025-09-04,CONTROL_ONLY,1,0.25,1.7663178712666636,False,94169,94349
2025-09-04,CONTROL_ONLY,1,0.5,1.7688262650103135,False,94169,94349
2025-09-04,CONTROL_ONLY,1,0.75,1.773248358300233,False,94169,94349
2025-09-04,CONTROL_ONLY,1,1.0,1.7794427647878293,False,94169,94349
2025-09-18,REAL,0,0.0,1.759886879180855,True,95629,95396
2025-09-18,REAL,0,0.25,1.7602709197728186,False,95629,95396
2025-09-18,REAL,0,0.5,1.762579963554847,False,95629,95396
2025-09-18,REAL,0,0.75,1.7667996379761524,False,95629,95396
2025-09-18,REAL,0,1.0,1.7728202084006215,False,95629,95396
2025-09-18,REAL,1,0.0,1.7611286876405652,True,95396,95629
2025-09-18,REAL,1,0.25,1.7615879693860996,False,95396,95629
2025-09-18,REAL,1,0.5,1.763971254674041,False,95396,95629
2025-09-18,REAL,1,0.75,1.7682573000888953,False,95396,95629
2025-09-18,REAL,1,1.0,1.7743269928797578,False,95396,95629
2025-09-18,PLACEBO,0,0.0,1.759886879180855,True,95629,95396
2025-09-18,PLACEBO,0,0.25,1.7602751257306957,False,95629,95396
2025-09-18,PLACEBO,0,0.5,1.7625909896719154,False,95629,95396
2025-09-18,PLACEBO,0,0.75,1.7668200864645542,False,95629,95396
2025-09-18,PLACEBO,0,1.0,1.7728524269363117,False,95629,95396
2025-09-18,PLACEBO,1,0.0,1.7611286876405652,True,95396,95629
2025-09-18,PLACEBO,1,0.25,1.7615835671387732,False,95396,95629
2025-09-18,PLACEBO,1,0.5,1.763964520404372,False,95396,95629
2025-09-18,PLACEBO,1,0.75,1.7682501854178139,False,95396,95629
2025-09-18,PLACEBO,1,1.0,1.7743214041918092,False,95396,95629
2025-09-18,CONTROL_ONLY,0,0.0,1.759886879180855,True,95629,95396
2025-09-18,CONTROL_ONLY,0,0.25,1.7602821236149278,False,95629,95396
2025-09-18,CONTROL_ONLY,0,0.5,1.7626084771539177,False,95629,95396
2025-09-18,CONTROL_ONLY,0,0.75,1.766851155456804,False,95629,95396
2025-09-18,CONTROL_ONLY,0,1.0,1.7728995757721282,False,95629,95396
