oracle,fold,baseline,oracle_rmsle,delta,gain,n,share_etx_winner,share_seq_winner,mean_advantage,median_advantage,p10_advantage,p90_advantage
ETX_vs_SEQ,2025-09-04,1.7668833567997195,1.7443381484405027,-0.022545208359216806,0.022545208359216806,,,,,,,
ETX_vs_SEQ,2025-09-18,1.7605095767798136,1.7393076593821843,-0.021201917397629222,0.021201917397629222,,,,,,,
ETX_vs_SEQ,2025-10-02,1.748629223964952,1.7290568064025682,-0.019572417562383704,0.019572417562383704,,,,,,,
ETX_vs_SEQ,2025-10-16,1.7412785664479717,1.7213612095051218,-0.019917356942849906,0.019917356942849906,,,,,,,
ETX_vs_SEQ,wCV,1.747509863,1.7273380250702128,-0.020171837929787287,0.020171837929787287,,,,,,,
,2025-09-04,,,,,188518.0,0.49478564381120105,0.5052037471222907,-0.0034726131929624557,-0.0007488361498457661,-0.26456053006631,0.24477437447727057
,2025-09-18,,,,,191025.0,0.4718701740609868,0.5281298259390133,-0.00259490158626919,-0.004059874180730595,-0.24482150632398303,0.2336138681546065
,2025-10-02,,,,,193694.0,0.4889206686835937,0.5110793313164063,-0.0008734967250748838,-0.0012478423325923277,-0.22226750064551296,0.21126645048914897
,2025-10-16,,,,,197379.0,0.4695788305746812,0.5304211694253188,0.0008833546358669328,-0.004310383677941232,-0.21259703430054622,0.22155763602970635
ETX_weight_grid,2025-09-04,1.7668833567997195,1.7443359013292168,-0.022547455470502742,0.022547455470502742,,,,,,,
ETX_weight_grid,2025-09-18,1.7605095767798136,1.7393054963319117,-0.021204080447901896,0.021204080447901896,,,,,,,
ETX_weight_grid,2025-10-02,1.748629223964952,1.7290549389251793,-0.019574285039772654,0.019574285039772654,,,,,,,
ETX_weight_grid,2025-10-16,1.7412785664479717,1.7213594107902055,-0.019919155657766252,0.019919155657766252,,,,,,,
ETX_weight_grid,wCV,1.747509863,1.7273361295474983,-0.02017373345250181,0.02017373345250181,,,,,,,
