control,direction,fold_scores,scale,selected,selection_wcv_3f
REAL,0->1,"[1.7656097132443185, 1.7576446035420972, 1.7434931015167188]",0.0,True,1.75069590377077
REAL,0->1,"[1.7710744044899627, 1.7627057178482464, 1.747767299987197]",0.25,False,1.755365005733606
REAL,0->1,"[1.791852019452953, 1.783648175465149, 1.7667138494964443]",0.5,False,1.7751433954812899
REAL,0->1,"[1.8769288244159972, 1.8706328791780538, 1.8464671834373882]",1.0,False,1.8577233309316656
REAL,1->0,"[1.7681523128094905, 1.7633689669815633, 1.7537449833031387]",0.0,True,1.7585528828550245
REAL,1->0,"[1.7743634716532817, 1.7686926996256849, 1.758471605555058]",0.25,False,1.763662184732126
REAL,1->0,"[1.7963396038639254, 1.7903266817967594, 1.778806600525692]",0.5,False,1.7846027670800304
REAL,1->0,"[1.884976576600063, 1.8798474780308974, 1.8638677076118704]",1.0,False,1.8714489090156197
SHUFFLED,0->1,"[1.7656097132443185, 1.7576446035420972, 1.7434931015167188]",0.0,True,1.75069590377077
SHUFFLED,0->1,"[1.7713362615609973, 1.7628684211017223, 1.7481806793015098]",0.25,False,1.7556851172814973
SHUFFLED,0->1,"[1.7898321265851236, 1.7812312297341426, 1.7661619691322263]",0.5,False,1.7738489232260448
SHUFFLED,0->1,"[1.8629834512443277, 1.855408161998588, 1.8401556911547017]",1.0,False,1.847774648551473
SHUFFLED,1->0,"[1.7681523128094905, 1.7633689669815633, 1.7537449833031387]",0.0,True,1.7585528828550245
SHUFFLED,1->0,"[1.7743996663852846, 1.7687784216885274, 1.7586186557262535]",0.25,False,1.7637758760953361
SHUFFLED,1->0,"[1.7937580774234587, 1.7880860368209046, 1.7776777068607705]",0.5,False,1.7829487112154787
SHUFFLED,1->0,"[1.869600264962612, 1.8662988090893482, 1.8562768727826837]",1.0,False,1.861043624896006
