component,scope,n,var_diff,pearson,spearman,corr_residuals
S1-E02,ALL,770616,0.06024684480659265,0.9873059866897277,0.9876396929555745,0.9903182179416473
S1-E02,2025-09-04,188518,0.05580385905873451,0.9879886396611586,0.9883455407608683,0.9911570858495458
S1-E02,2025-09-18,191025,0.05721618510551781,0.98786608736987,0.9883164836427588,0.9908745618492029
S1-E02,2025-10-02,193694,0.05890297877806088,0.9876666823410925,0.988138750816601,0.9904698856222901
S1-E02,2025-10-16,197379,0.05906442204995088,0.987823842970397,0.9884111421423544,0.9903634588403688
S1-DIST,ALL,770616,0.04869617416592857,0.9893584477175963,0.9902918440705509,0.9921734828985117
S1-DIST,2025-09-04,188518,0.049497633989648876,0.9891262692653721,0.9898590474314718,0.9921550268040304
S1-DIST,2025-09-18,191025,0.04862121139240782,0.9893228590812265,0.9901767017985026,0.9922471098159685
S1-DIST,2025-10-02,193694,0.04787679798653848,0.989518958050181,0.9905616176367774,0.9922542022343003
S1-DIST,2025-10-16,197379,0.0483971191949126,0.9895427180042913,0.9906415086175717,0.9921047599868841
STRONGEST_CURRENT,ALL,770616,0.04482284588685884,0.990515852024918,0.9911250655733433,0.9927954713977948
STRONGEST_CURRENT,2025-09-04,188518,0.042621821457792405,0.990847470616569,0.9912903812764554,0.9932452419941005
STRONGEST_CURRENT,2025-09-18,191025,0.043423878358822166,0.9907899699844046,0.9913752012333908,0.9930771360651565
STRONGEST_CURRENT,2025-10-02,193694,0.04323737506238794,0.9908729921151458,0.9916625978775291,0.9930045523142288
STRONGEST_CURRENT,2025-10-16,197379,0.04494438231477004,0.9906324116839266,0.9914956303098891,0.9926673355635028
