landmark,panel_n,n_k0,pi_k0,n_k1,pi_k1,n_k2,pi_k2,n_k3,pi_k3
2025-04-03,170705,1094,0.006408716792126769,3309,0.019384317975454732,11801,0.0691309569139744,154501,0.9050760083184441
2025-04-10,171772,1075,0.006258295880585893,3344,0.01946766644156207,11680,0.06799711245138905,155673,0.906276925226463
2025-04-17,172812,1076,0.006226419461611462,3323,0.019228988727634656,11761,0.06805661643867324,156652,0.9064879753720806
2025-04-24,173979,1059,0.006086941527425724,3380,0.01942763207053725,11878,0.06827260761356256,157662,0.9062128187884745
2025-05-01,174724,1029,0.005889288248895401,3385,0.019373411780865823,11883,0.06801011881596117,158427,0.9067271811542776
2025-05-08,175624,1013,0.005768004372978636,3365,0.019160251446271582,11870,0.06758757345237552,159376,0.9074841707283743
2025-05-15,176474,1012,0.005734555798587894,3254,0.018438976846447637,11701,0.06630438478189421,160507,0.9095220825730702
2025-05-22,177173,927,0.0052321742026155225,3167,0.017875184142053246,11612,0.06554046045390663,161467,0.9113521812014246
2025-05-29,178041,884,0.004965148477036188,3077,0.01728253604506827,11559,0.06492324801590645,162521,0.9128290674619891
2025-06-05,178866,857,0.004791296277660372,2980,0.016660516811467803,11423,0.0638634508514754,163606,0.9146847360593964
2025-06-12,179561,834,0.0046446611457944655,2954,0.01645123384253819,10959,0.061032184048874755,164814,0.9178719209627926
2025-06-19,180117,746,0.004141752305445905,2733,0.015173470577457986,10766,0.05977225914266838,165872,0.9209125179744277
2025-06-26,180791,697,0.003855280406657411,2606,0.014414434346842487,10386,0.057447549933348455,167102,0.9242827353131516
2025-07-03,181338,652,0.0035954957041546727,2371,0.013075031157286393,10130,0.055862532949519685,168185,0.9274669401890393
2025-07-10,181704,553,0.0030434112622727072,2310,0.012712983753797385,9747,0.05364218729362039,169094,0.9306014176903095
2025-07-17,182332,470,0.002577715376346445,2200,0.012065901761621657,9343,0.051241690981286885,170319,0.934114691880745
