comparison,model,reference,delta_standard,delta_survivor_conditioned,delta_pseudo_matched,selection_penalty
CAP - STRONGEST,CAP,STRONGEST,0.0131322249942738,0.013162670333694226,0.011743086139789805,0.0014195841939044218
DIST - STRONGEST,DIST,STRONGEST,0.0031062514712889566,0.0031307908171009924,0.002991528656343334,0.0001392621607576583
ETX-AVG3 - STRONGEST,ETX-AVG3,STRONGEST,0.0010998685999410451,0.0011095629651762806,0.0016536147221017927,-0.0005440517569255121
SEQ-AVG3 - STRONGEST,SEQ-AVG3,STRONGEST,0.0021243805390980253,0.0021283203135407103,0.0018826844842929624,0.00024563582924774785
BTYD - STRONGEST,BTYD,STRONGEST,0.05319069130812104,0.05308336087451071,0.05176736670931814,0.0013159941651925688
BTYD05 - STRONGEST,BTYD05,STRONGEST,-0.00032098489213594483,-0.000336654102117917,-0.00033971253595055373,3.058433832636709e-06
FRESH - STRONGEST,FRESH,STRONGEST,-0.00022495612774720009,-0.00021987924328703556,-0.0002517635055891976,3.1884262302162014e-05
ZERO2D - STRONGEST,ZERO2D,STRONGEST,-2.4755804536313875e-05,-1.6308661944686165e-05,-5.632209005268507e-05,4.0013428107998905e-05
SEQ_SLOT_25 - STRONGEST,SEQ_SLOT_25,STRONGEST,5.2594480483003636e-05,5.157620258589013e-05,-3.963653628091812e-05,9.121273886680825e-05
SEQ_SLOT_50 - STRONGEST,SEQ_SLOT_50,STRONGEST,0.0,0.0,0.0,0.0
SEQ_SLOT_75 - STRONGEST,SEQ_SLOT_75,STRONGEST,0.00010014225798693488,0.00010140003313141577,0.00019557227415134548,-9.417224101992971e-05
BTYD05_FRESH1 - STRONGEST,BTYD05_FRESH1,STRONGEST,-0.00046694304035299616,-0.0004774559127171951,-0.0005513057581150171,7.384984539782202e-05
DIST - CAP,DIST,CAP,-0.010025973522984843,-0.010031879516593234,-0.00875155748344647,-0.0012803220331467635
DIST - UNC,DIST,UNC,-0.0008898792570606329,-0.0008196817045089677,-0.001377420068285229,0.0005577383637762612
ETX-AVG3 - SEQ-AVG3,ETX-AVG3,SEQ-AVG3,-0.0010245119391569801,-0.0010187573483644297,-0.0002290697621911697,-0.00078968758617326
